--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',2.3326244518
1,l_15,2,'1 ',19.8596588741
1,l_16,3,'1 ',16.1023227143
1,l_18,8,'1 ',7.1690375196
1,l_17,6,'1 ',-10.1869611041
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,1,1.1000000000,51.2681628180
0,14,1.0617242654,45.7813046014
0,12,1.0838159165,48.8798486561
0,4,1.0685180921,47.3285990613
0,7,1.0890985129,46.5283616401
0,10,1.0756040638,46.2114487506
0,11,1.0823596134,48.0401077854
0,5,1.0716657356,48.4732544760
0,13,1.0779930158,48.4890058726
0,2,1.0906729432,49.7658453844
0,3,1.0698704073,46.0182514819
0,6,1.1000000000,50.1883531674
0,8,1.1000000000,47.0993293099
0,9,1.0806648366,45.7397875822
1,1,1.1000000000,-10.7944883566
1,14,1.0578641977,-16.5769534438
1,12,1.0500185836,-14.6862903542
1,4,1.0682823729,-14.7438744786
1,7,1.0885740244,-15.6026004664
1,10,1.0747151621,-15.9196990965
1,11,1.0818226010,-14.0165960805
1,5,1.0715647713,-13.5864880283
1,13,1.0702718390,-14.0919646638
1,2,1.0906729432,-12.2978305280
1,3,1.0698704073,-16.0443337507
1,6,1.1000000000,-11.7939788628
1,8,1.1000000000,-15.0305233839
1,9,1.0796807816,-16.4236336460
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0032993394
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_3,2,4,'BL',29.6053909859,2.5230120192,-29.1671415202,-5.1564628449
0,i_6,4,5,'BL',-51.5058398135,8.8844061532,51.8252611303,-7.8768532205
0,i_7,6,11,'BL',22.2289335784,-0.4383340243,-21.8409146693,1.2508941531
0,i_17,4,7,'BL',7.9468812615,1.8609772547,-7.9468812615,-1.7442723516
0,i_13,9,14,'BL',2.6629225399,6.3184664944,-2.6117512340,-6.2096182709
0,i_10,7,8,'BL',-6.7773341641,-6.7063912629,6.7773341641,6.8413963534
0,i_18,4,9,'BL',5.9405660916,4.4515061536,-5.9405660916,-4.1994485040
0,i_14,10,11,'BL',-17.6121850230,4.0492505509,17.8438021145,-3.5070604866
0,i_19,5,6,'BL',-15.0211344579,22.9719020066,15.0211344579,-21.5359472333
0,i_9,6,13,'BL',29.1234339771,4.1943999295,-28.6501239495,-3.2623047322
0,i_5,3,4,'BL',-12.9042081997,5.3440697716,13.0233110501,-6.5033492014
0,i_8,6,12,'BL',11.4105083884,1.5983442152,-11.2756584378,-1.3176838468
0,i_12,9,10,'BL',-7.7687784498,9.4433517927,7.8095082537,-9.3351572492
0,i_16,13,14,'BL',14.6559583566,-1.7918511121,-14.3352882163,2.4447477496
0,i_11,7,9,'BL',14.7242154256,8.4506636146,-14.7242154256,-8.1833529560
0,i_15,12,13,'BL',3.3723568540,-0.5563714440,-3.3503856517,0.5762501509
0,i_1,1,5,'BL',27.6844742558,4.9197501925,-27.3143989132,-9.1938806036
0,i_4,2,5,'BL',17.2718334228,4.3785368615,-17.1091822380,-7.9267299293
0,i_2,2,3,'BL',39.3290360939,0.7808259213,-38.7135047995,-3.2994542206
0,i_0,1,2,'BL',53.3437344617,-2.6296916715,-52.8879244045,-2.3135110705
1,i_3,2,4,'BL',29.7358324114,2.6300232129,-29.2933209099,-5.2496857121
1,i_6,4,5,'BL',-52.1335848196,8.7552852560,52.4604912496,-7.7241219774
1,i_7,6,11,'BL',22.9787267433,-0.4699836569,-22.5640779990,1.3383099911
1,i_17,4,7,'BL',8.5216819051,2.0170083412,-8.5216819051,-1.8826003519
1,i_13,9,14,'BL',4.2805976579,6.7009275519,-4.2116555885,-6.5542785335
1,i_10,7,8,'BL',-6.7872321821,-7.0271543434,6.7872321821,7.1690375196
1,i_18,4,9,'BL',6.2734214025,4.6069778276,-6.2734214025,-4.3297604175
1,i_14,10,11,'BL',-18.3162230846,4.1814365320,18.5669654442,-3.5944763247
1,i_19,5,6,'BL',-15.6974134761,22.9410663480,15.6974134761,-21.4679344665
1,i_9,6,13,'BL',39.2357195823,5.9056775543,-38.3750486464,-4.2107478064
1,i_5,3,4,'BL',-12.7521500518,5.4292800705,12.8695794915,-6.5925081975
1,i_12,9,10,'BL',-8.4688995953,9.5859426596,8.5135463154,-9.4673432303
1,i_16,13,14,'BL',12.9950006488,-2.2608183311,-12.7353838618,2.7894080121
1,i_11,7,9,'BL',15.3089140872,8.9097546952,-15.3089140872,-8.6184850477
1,i_15,12,13,'BL',-7.9033015837,-1.8740552908,8.0354967531,1.9936604441
1,i_1,1,5,'BL',27.6679502573,4.9721803480,-27.2979123699,-9.2459330582
1,i_4,2,5,'BL',17.2473013308,4.4488467466,-17.0846198824,-7.9965730592
1,i_2,2,3,'BL',39.3182722521,0.7826475580,-38.7030704844,-3.3026641613
1,i_0,1,2,'BL',53.3767551569,-2.6395558962,-52.9203824484,-2.3019289885
--end of line flow
