--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',23.1724131982
1,l_17,6,'1 ',-11.3138950892
1,l_15,2,'1 ',18.4255280832
1,l_18,8,'1 ',7.1832810999
1,l_14,1,'1 ',2.0802085562
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,3,1.0672929317,2.8452226951
0,9,1.0795848961,3.8404957756
0,12,1.0849585613,8.7268877917
0,4,1.0699660154,5.0152829921
0,2,1.0921512933,7.3509397979
0,14,1.0640981137,5.0514930658
0,5,1.0739663393,6.3339869962
0,13,1.0785879161,8.2593518505
0,8,1.1000000000,4.9400300647
0,1,1.1000000000,8.6031745769
0,6,1.1000000000,9.9982574920
0,7,1.0889949091,4.4516942947
0,10,1.0742284436,4.7574342966
0,11,1.0821438310,7.2597256790
1,3,1.0672929317,-7.3590344440
1,9,1.0787267708,-6.4590756599
1,12,1.0532753536,-2.9413358210
1,4,1.0697517951,-5.1974489782
1,2,1.0921512933,-2.8535628074
1,14,1.0606451649,-5.4345941483
1,5,1.0738727128,-3.8660041696
1,13,1.0714759878,-2.4421853069
1,8,1.1000000000,-5.3277731999
1,1,1.1000000000,-1.6002374060
1,6,1.1000000000,-0.1237790019
1,7,1.0885366384,-5.8170147647
1,10,1.0734308276,-5.5101951334
1,11,1.0816411732,-2.9348481812
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0027689597
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_19,5,6,'BL',-32.1440977241,24.9527774999,32.1440977241,-21.8099869785
0,i_5,3,4,'BL',-22.3221793528,6.8275961319,22.6488908474,-7.4554510909
0,i_2,2,3,'BL',47.2785621851,1.6992023160,-46.3906602547,-3.0653300743
0,i_1,1,5,'BL',22.8422117753,4.7447800301,-22.5826059538,-9.4870803071
0,i_11,7,9,'BL',11.3999227629,9.3758270058,-11.3999227629,-9.1737268361
0,i_9,6,13,'BL',29.4398732905,3.5504661265,-28.9591585348,-2.6037887083
0,i_17,4,7,'BL',5.6039473609,2.6642271586,-5.6039473609,-2.5969573253
0,i_6,4,5,'BL',-59.7848213522,9.5117652462,60.2121672641,-8.1637849954
0,i_14,10,11,'BL',-23.7369297894,6.2902373760,24.1656846222,-5.2865696035
0,i_4,2,5,'BL',14.2224797866,4.8065890023,-14.1033666806,-8.5018351147
0,i_10,7,8,'BL',-5.7959754020,-6.7788696805,5.7959754020,6.8970245176
0,i_13,9,14,'BL',-4.9367868611,8.5993906411,5.0440163168,-8.3712992223
0,i_7,6,11,'BL',27.3900967358,-2.5208159055,-26.7962190481,3.7644700651
0,i_8,6,12,'BL',10.9796158924,1.3073530323,-10.8554248481,-1.0488768217
0,i_3,2,4,'BL',28.6121637776,2.8349787499,-28.2018150175,-5.5638368402
0,i_15,12,13,'BL',3.8804851834,-0.8114476377,-3.8509888741,0.8381347746
0,i_16,13,14,'BL',16.8492398401,-3.2680622206,-16.4164209622,4.1492979654
0,i_12,9,10,'BL',-16.9226386337,13.3897566601,17.0497312144,-13.0521482643
0,i_0,1,2,'BL',44.5319692824,-2.7039531319,-44.2143075659,-2.6695561099
0,i_18,4,9,'BL',4.3943413311,4.9311661729,-4.3943413311,-4.7321562752
1,i_19,5,6,'BL',-32.8241155342,24.9488682524,32.8241155342,-21.7220346827
1,i_5,3,4,'BL',-22.1881441740,6.9049350118,22.5120372215,-7.5396901517
1,i_2,2,3,'BL',47.2761370467,1.6995797840,-46.3883241697,-3.0660827265
1,i_1,1,5,'BL',22.8209114208,4.7948278357,-22.5613936815,-9.5369970297
1,i_11,7,9,'BL',11.9609821268,9.7737727024,-11.9609821268,-9.5522585688
1,i_9,6,13,'BL',39.1193807621,4.9617747226,-38.2693012389,-3.2877027727
1,i_17,4,7,'BL',6.1566998458,2.7945570382,-6.1566998458,-2.7146543805
1,i_6,4,5,'BL',-60.4031892480,9.4173065481,60.8391678283,-8.0420962098
1,i_14,10,11,'BL',-24.4074327264,6.4485566830,24.8612477950,-5.3862256624
1,i_4,2,5,'BL',14.1906936919,4.8748573521,-14.0715617072,-8.5696979302
1,i_10,7,8,'BL',-5.8042822810,-7.0591183220,5.8042822810,7.1832810999
1,i_13,9,14,'BL',-3.3929165613,8.8766713917,3.4915624695,-8.6668383286
1,i_7,6,11,'BL',28.1174845338,-2.5538272188,-27.4917822210,3.8641261240
1,i_3,2,4,'BL',28.7336305132,2.9314131320,-28.3194268446,-5.6477952535
1,i_15,12,13,'BL',-6.9749396648,-1.8603244594,7.0787109473,1.9542127627
1,i_16,13,14,'BL',15.2296827227,-3.7002261442,-14.8639671149,4.4448370717
1,i_12,9,10,'BL',-17.5853687055,13.5687237855,17.7202341514,-13.2104675713
1,i_0,1,2,'BL',44.5671144353,-2.7146192795,-44.2489528345,-2.6573637419
1,i_18,4,9,'BL',4.7144221951,5.0634924654,-4.7144221951,-4.8450623522
--end of line flow
