--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',26.5877154552
1,l_14,1,'1 ',-0.8697282054
1,l_17,6,'1 ',-5.8322751243
1,l_15,2,'1 ',13.3655405721
1,l_18,8,'1 ',9.2916595813
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,3,1.0596742638,-9.5517482414
0,1,1.0814057126,-5.5570223760
0,5,1.0673294500,-6.4205528786
0,6,1.1000000000,-3.6435778481
0,8,1.1000000000,-0.8661086402
0,7,1.0886020357,-5.1862489237
0,10,1.0780626601,-6.4681915950
0,2,1.0807694033,-5.6258935467
0,11,1.0851095969,-5.1623704925
0,4,1.0665883523,-7.2398296668
0,14,1.0623166893,-7.1903306022
0,9,1.0832121248,-6.8363036801
0,12,1.0877633288,-4.4913117637
0,13,1.0820748780,-4.8104443591
1,3,1.0596742638,-5.3611685436
1,1,1.0814057126,-1.3649051781
1,5,1.0672634332,-2.2253875673
1,6,1.1000000000,0.6070804760
1,8,1.1000000000,3.2862346036
1,7,1.0882153207,-1.0358058070
1,10,1.0774006166,-2.3175449394
1,2,1.0807694033,-1.4346227344
1,11,1.0847253055,-0.9618119090
1,4,1.0664326185,-3.0533837733
1,14,1.0594358902,-3.1853946569
1,9,1.0824645935,-2.7074371931
1,12,1.0635888395,-1.2156915530
1,13,1.0764114697,-0.9443023316
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0014270060
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_14,10,11,'BL',-13.1095061151,1.8030470580,13.2331298449,-1.5136575422
0,i_6,4,5,'BL',-35.5856876526,9.6808880982,35.7452924360,-9.1774455943
0,i_19,5,6,'BL',-24.2169561154,21.1277854430,24.2169561154,-19.1430406086
0,i_16,13,14,'BL',13.5936538578,-0.2483501445,-13.3238047355,0.7977732507
0,i_9,6,13,'BL',20.9794422545,4.6722692206,-20.7268875152,-4.1749100991
0,i_8,6,12,'BL',7.6964149107,1.6151213063,-7.6335952854,-1.4843761402
0,i_4,2,5,'BL',10.7993038493,2.8597628980,-10.7308288728,-6.6422453445
0,i_18,4,9,'BL',-1.5097898131,3.4683149892,1.5097898131,-3.4026296308
0,i_5,3,4,'BL',-24.3827767975,5.0886235393,24.7576837085,-5.5784794863
0,i_13,9,14,'BL',5.3799475617,5.8501754270,-5.3115166248,-5.7046136559
0,i_0,1,2,'BL',2.4886833143,-2.7380758022,-2.4876367037,-3.4297308999
0,i_15,12,13,'BL',3.0210666858,-0.2342376689,-3.0039235670,0.2497481097
0,i_1,1,5,'BL',8.9418614038,1.8406987227,-8.8946378275,-7.3249871190
0,i_3,2,4,'BL',19.2705539473,0.6150334505,-19.0824437908,-3.9639055412
0,i_7,6,11,'BL',16.2365126500,0.6924785221,-16.0292020269,-0.2583441471
0,i_17,4,7,'BL',-20.3435956904,1.3967347408,20.3435956904,-0.6656337095
0,i_11,7,9,'BL',30.8649928042,5.7780463702,-30.8649928042,-4.8626997233
0,i_12,9,10,'BL',-5.5907906969,8.7343129700,5.6199466689,-8.6568631231
0,i_2,2,3,'BL',40.3878303903,0.7293691872,-39.7272764511,-2.9636683413
0,i_10,7,8,'BL',-51.2085884946,-5.1124126607,51.2085884946,9.0491566428
1,i_14,10,11,'BL',-13.5972903819,1.8702059707,13.7304486388,-1.5584971785
1,i_6,4,5,'BL',-36.0157945809,9.5961652528,36.1788693059,-9.0817774872
1,i_19,5,6,'BL',-24.6989716242,21.1179808944,24.6989716242,-19.0884722955
1,i_16,13,14,'BL',12.5001887507,-0.6383576896,-12.2690749221,1.1089142604
1,i_9,6,13,'BL',27.7386201320,6.1658887205,-27.2971923089,-5.2965795368
1,i_4,2,5,'BL',10.7700235129,2.9097586073,-10.7016173059,-6.6922072311
1,i_18,4,9,'BL',-1.2932775744,3.5825140315,1.2932775744,-3.5158989079
1,i_5,3,4,'BL',-24.3060137473,5.1530378378,24.6791392265,-5.6472279459
1,i_13,9,14,'BL',6.4531284519,6.2005643491,-6.3662464382,-6.0157546656
1,i_0,1,2,'BL',2.5150454940,-2.7466749400,-2.5139780065,-3.4210680217
1,i_15,12,13,'BL',-4.6125285995,-1.7186138091,4.6598463337,1.7614250925
1,i_1,1,5,'BL',8.9226342540,1.8769467346,-8.8754107554,-7.3608887909
1,i_3,2,4,'BL',19.3465909736,0.6869471021,-19.1568313566,-4.0302496129
1,i_7,6,11,'BL',16.7470306568,0.6752796883,-16.5265208209,-0.2135045108
1,i_17,4,7,'BL',-19.9770689530,1.5023510751,19.9770689530,-0.7964899882
1,i_11,7,9,'BL',31.2358005595,6.1442923739,-31.2358005595,-5.2028468264
1,i_12,9,10,'BL',-6.0766515931,8.8065811195,6.1077309357,-8.7240220358
1,i_2,2,3,'BL',40.3945281170,0.7282572171,-39.7337594561,-2.9616517436
1,i_10,7,8,'BL',-51.2128695126,-5.3478023857,51.2128695126,9.2916595813
--end of line flow
