--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_18,8,'1 ',4.1195772312
1,l_14,1,'1 ',1.1718916533
1,l_16,3,'1 ',17.9565666473
1,l_17,6,'1 ',0.9421842664
1,l_15,2,'1 ',15.8891225518
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,2,1.0919655577,30.4608363797
0,10,1.0853291532,24.1486341727
0,1,1.1000000000,31.8694571203
0,13,1.0819735959,24.3105842564
0,11,1.0890314511,24.5630233208
0,4,1.0687739967,27.6773312899
0,14,1.0704951422,23.5299413169
0,7,1.0940514717,25.8511809439
0,5,1.0686736952,28.2826618568
0,6,1.1000000000,25.2109828574
0,9,1.0917409617,24.3361884661
0,3,1.0872558562,29.4530201325
0,12,1.0852197929,24.3434200704
0,8,1.1000000000,26.7306212278
1,2,1.0919655577,4.9195998461
1,10,1.0844850701,-1.4391215128
1,1,1.1000000000,6.3289482527
1,13,1.0750389975,-1.5703297773
1,11,1.0885669309,-0.9739781243
1,4,1.0685683172,2.1309175712
1,14,1.0668823661,-2.2032810918
1,7,1.0935321440,0.2646382699
1,5,1.0685877696,2.7444169805
1,6,1.1000000000,-0.2743840191
1,9,1.0907591084,-1.2732783310
1,3,1.0872558562,3.9123147266
1,12,1.0569187141,-2.1041986334
1,8,1.1000000000,1.1450353714
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0021416123
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_0,1,2,'BL',49.6679851976,-3.9123181822,-49.2727894998,-1.2233973482
0,i_12,9,10,'BL',6.7543364905,5.7489086934,-6.7333403631,-5.6931346361
0,i_1,1,5,'BL',34.9164686236,5.0471792305,-34.3433305133,-8.4672970547
0,i_2,2,3,'BL',10.5901671937,-2.4344494471,-10.5459578227,-2.5794812364
0,i_7,6,11,'BL',7.9201151843,2.3225129740,-7.8666420005,-2.2105334389
0,i_13,9,14,'BL',8.3007401098,4.7191239349,-8.2035092834,-4.5123009404
0,i_11,7,9,'BL',28.7053225561,2.6773359479,-28.7053225561,-1.9134241668
0,i_16,13,14,'BL',5.0774024506,1.1057076455,-5.0379757322,-1.0254333430
0,i_6,4,5,'BL',-25.9215140794,8.6237603268,26.0087347729,-8.3486394729
0,i_15,12,13,'BL',1.0284293328,0.6258874939,-1.0257104625,-0.6234275636
0,i_18,4,9,'BL',12.6180598266,2.5940451874,-12.6180598266,-1.8353732195
0,i_3,2,4,'BL',33.4960697078,2.0772776157,-32.9410699885,-4.3622055523
0,i_14,10,11,'BL',-4.5137688023,-0.1477333504,4.5279756997,0.1809901301
0,i_9,6,13,'BL',17.6042003065,6.3950416699,-17.4124175549,-6.0173615633
0,i_8,6,12,'BL',8.2423066888,2.4488682587,-8.1672070782,-2.2925650173
0,i_19,5,6,'BL',26.8183481014,21.9419574459,-26.8183481014,-19.6405079864
0,i_5,3,4,'BL',22.3530565764,2.5608320210,-22.0635812567,-3.3096205518
0,i_10,7,8,'BL',-10.4861111928,-3.6140931243,10.4861111928,3.7951368815
0,i_4,2,5,'BL',27.5065372941,4.0402857883,-27.1273808165,-6.9212458855
0,i_17,4,7,'BL',18.2192113633,-0.3552892130,-18.2192113633,0.9367571765
1,i_0,1,2,'BL',49.6914494575,-3.9193695092,-49.2958787214,-1.2152009741
1,i_12,9,10,'BL',6.2213414760,5.7626165419,-6.2021144370,-5.7115418863
1,i_1,1,5,'BL',34.9037124251,5.0912611625,-34.3306552658,-8.5112613910
1,i_2,2,3,'BL',10.5848832745,-2.4332930154,-10.5407178346,-2.5808227508
1,i_7,6,11,'BL',8.4618855437,2.3270658366,-8.4014290133,-2.2004623000
1,i_13,9,14,'BL',9.4517732139,5.2455509197,-9.3269321365,-4.9799972221
1,i_11,7,9,'BL',29.0995476811,3.1470441291,-29.0995476811,-2.3589256343
1,i_16,13,14,'BL',3.9380317607,0.6055409597,-3.9145528792,-0.5577370613
1,i_6,4,5,'BL',-26.3520679806,8.4603956106,26.4416273429,-8.1778978765
1,i_15,12,13,'BL',-7.1387777454,-1.6666775234,7.2450571741,1.7628351018
1,i_18,4,9,'BL',12.8418727912,2.7598061164,-12.8418727912,-1.9707215892
1,i_3,2,4,'BL',33.5830515807,2.1787463977,-33.0247974524,-4.4530523259
1,i_14,10,11,'BL',-5.0449947284,-0.1293261002,5.0627627124,0.1709189911
1,i_9,6,13,'BL',24.9243663922,8.6528830120,-24.5438145017,-7.9034575430
1,i_19,5,6,'BL',26.3549903827,21.8737139020,-26.3549903827,-19.6248609414
1,i_5,3,4,'BL',22.4532909920,2.6543503042,-22.1609131445,-3.3954493481
1,i_10,7,8,'BL',-10.4925360296,-3.9345990153,10.4925360296,4.1195772312
1,i_4,2,5,'BL',27.4886191949,4.0987457959,-27.1095909154,-6.9797796016
1,i_17,4,7,'BL',18.6070116516,-0.1810098559,-18.6070116516,0.7875548862
--end of line flow
