--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_18,8,'1 ',5.6666655784
1,l_15,2,'1 ',21.2636639728
1,l_14,1,'1 ',-3.5757014243
1,l_16,3,'1 ',24.1968372773
1,l_17,6,'1 ',3.9747055344
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,8,1.1000000000,14.2830508374
0,6,1.1000000000,12.0917361143
0,7,1.0915562874,13.4181405493
0,11,1.0886237085,11.6559066741
0,1,1.1000000000,21.4289521162
0,12,1.0857986148,11.2850256213
0,14,1.0703599456,10.6221194995
0,2,1.0934664132,19.7988197299
0,9,1.0891339418,11.7130191834
0,13,1.0811421206,11.2567072433
0,4,1.0640729788,15.6247816107
0,10,1.0840694905,11.5236566492
0,5,1.0648526514,16.5524758069
0,3,1.0737628862,15.7261888340
1,8,1.1000000000,-13.9259669639
1,6,1.1000000000,-16.0232453665
1,7,1.0910501633,-14.7917414713
1,11,1.0881789285,-16.5075299197
1,1,1.1000000000,-6.7380945153
1,12,1.0588984034,-17.7142770790
1,14,1.0668892251,-17.7243028855
1,2,1.0934664132,-8.3689439726
1,9,1.0881780706,-16.5183797399
1,13,1.0745058404,-17.2260690243
1,4,1.0638755847,-12.5476504864
1,10,1.0832523385,-16.6872516597
1,5,1.0647718014,-11.6123110108
1,3,1.0737628862,-12.4415113488
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0018348997
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_11,7,9,'BL',32.1561332449,2.8820512087,-32.1561332449,-1.9196807871
0,i_6,4,5,'BL',-40.0523896703,11.0802323666,40.2560104459,-10.4379499052
0,i_9,6,13,'BL',17.0445091147,7.3654876321,-16.8560277012,-6.9943088907
0,i_10,7,8,'BL',-10.2893539891,-5.1546872242,10.2893539891,5.3504881742
0,i_2,2,3,'BL',42.6566520463,-0.3627914598,-41.9395501932,-1.7595530036
0,i_12,9,10,'BL',6.1996140489,4.2014402609,-6.1845734293,-4.1614863989
0,i_3,2,4,'BL',49.2648408693,1.7100591968,-48.0784890309,-2.0678407634
0,i_4,2,5,'BL',39.8880309446,3.9358934302,-39.1130354720,-5.5998470555
0,i_16,13,14,'BL',4.3004672366,1.2577586358,-4.2711090408,-1.1979842293
0,i_15,12,13,'BL',1.3891498286,0.9942207957,-1.3836815159,-0.9892732747
0,i_5,3,4,'BL',3.0917164453,4.1353359378,-3.0723584732,-5.5484680222
0,i_8,6,12,'BL',7.7425594406,2.4328708455,-7.6756536489,-2.2936212272
0,i_7,6,11,'BL',6.1824821743,3.3566824449,-6.1436342536,-3.2753300398
0,i_13,9,14,'BL',9.6646618718,3.0971008562,-9.5542934696,-2.8623324777
0,i_0,1,2,'BL',56.0616445999,-8.5873602614,-55.5536016848,3.7875246368
0,i_1,1,5,'BL',46.5702733933,4.9771650395,-45.5735972852,-6.6288307986
0,i_19,5,6,'BL',38.7861530566,20.7989466331,-38.7861530566,-17.0594868830
0,i_14,10,11,'BL',-2.1273816027,-1.6600345963,2.1324653413,1.6719350675
0,i_17,4,7,'BL',21.8667792558,-1.4243567003,-21.8667792558,2.2726360155
0,i_18,4,9,'BL',14.6698596319,2.2740886974,-14.6698596319,-1.2576413176
1,i_11,7,9,'BL',32.5181265831,3.3384781978,-32.5181265831,-2.3509549519
1,i_6,4,5,'BL',-40.4512256500,10.9183435105,40.6582890554,-10.2652019374
1,i_9,6,13,'BL',23.9129174535,9.5844192796,-23.5500826723,-8.8698843294
1,i_10,7,8,'BL',-10.2948586882,-5.4656286280,10.2948586882,5.6666655784
1,i_2,2,3,'BL',42.6560206872,-0.3626882973,-41.9389398194,-1.7597445778
1,i_12,9,10,'BL',5.6947447693,4.2055566937,-5.6812816010,-4.1697931689
1,i_3,2,4,'BL',49.3426248474,1.8104300901,-48.1521752792,-2.1550640632
1,i_4,2,5,'BL',39.8684942870,3.9910849113,-39.0939238412,-5.6560383585
1,i_16,13,14,'BL',3.2431447275,0.7712008093,-3.2266926096,-0.7377036698
1,i_15,12,13,'BL',-6.2865038203,-1.2994004315,6.3676959644,1.3728599905
1,i_5,3,4,'BL',3.1814748821,4.2241962958,-3.1612817060,-5.6349278560
1,i_7,6,11,'BL',6.6926266575,3.3631363295,-6.6485889552,-3.2709158727
1,i_13,9,14,'BL',10.7364813112,3.6156712857,-10.5987099008,-3.3226130372
1,i_0,1,2,'BL',56.0848257188,-8.5942289018,-55.5763545518,3.7957007935
1,i_1,1,5,'BL',46.5562667729,5.0185274775,-45.5598785433,-6.6709580583
1,i_19,5,6,'BL',38.3510440743,20.7245172281,-38.3510440743,-17.0552631264
1,i_14,10,11,'BL',-2.6306734310,-1.6517278262,2.6374200429,1.6675209004
1,i_17,4,7,'BL',22.2232678948,-1.2515967641,-22.2232678948,2.1271504302
1,i_18,4,9,'BL',14.8748164536,2.4369007509,-14.8748164536,-1.3885973817
--end of line flow
