--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',1.2987616095
1,l_16,3,'1 ',20.7954319785
1,l_17,6,'1 ',-3.8228639621
1,l_18,8,'1 ',10.9039565179
1,l_15,2,'1 ',10.1387978926
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,2,1.0772692457,2.1163310048
0,12,1.0868748417,3.0166845380
0,8,1.1000000000,3.5132453398
0,11,1.0794866624,1.7763823077
0,6,1.1000000000,4.0765416068
0,7,1.0841069043,0.8691265890
0,10,1.0697836292,-0.1535576566
0,13,1.0777842911,2.5119666362
0,14,1.0571505465,-0.4592444329
0,1,1.0875306039,3.7255216940
0,4,1.0627161233,0.5030599695
0,9,1.0739674433,-0.6269461819
0,5,1.0652539074,1.4967089951
0,3,1.0613187618,-0.7121791564
1,2,1.0772692457,-1.5183330912
1,12,1.0598513501,-1.8156631555
1,8,1.1000000000,-0.1714405486
1,11,1.0790534839,-1.8475270568
1,6,1.1000000000,0.5139366111
1,7,1.0836938334,-2.8170156221
1,10,1.0690737863,-3.8391309335
1,13,1.0716692695,-1.5332853283
1,14,1.0541028547,-4.3281938358
1,1,1.0875306039,0.0918917982
1,4,1.0625374791,-3.1377714657
1,9,1.0731859399,-4.3392810144
1,5,1.0651805027,-2.1333748996
1,3,1.0613187618,-4.3475662518
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0017609395
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_0,1,2,'BL',56.0250608490,-1.8313259645,-55.5104652827,-2.7836698933
0,i_13,9,14,'BL',1.5659791365,5.9453904874,-1.5243220577,-5.8567802997
0,i_8,6,12,'BL',9.2577588663,1.2757527471,-9.1690466496,-1.0911178748
0,i_15,12,13,'BL',4.7943229701,-0.3331387916,-4.7511290717,0.3722189853
0,i_16,13,14,'BL',16.3745843794,-1.2121972100,-15.9778784059,2.0199057041
0,i_5,3,4,'BL',-12.3689951624,3.4065117949,12.4701454596,-4.5920336887
0,i_7,6,11,'BL',24.1097172213,0.3127190368,-23.6533608828,0.6429482165
0,i_14,10,11,'BL',-18.9527886418,3.0331036775,19.2169173714,-2.4148074546
0,i_1,1,5,'BL',21.6557241506,3.0994780009,-21.4249906780,-7.8480146670
0,i_18,4,9,'BL',4.1763728253,4.5265612670,-4.1763728253,-4.3511601433
0,i_2,2,3,'BL',29.0874029866,-0.0625017306,-28.7423308228,-3.4920262714
0,i_12,9,10,'BL',-8.0706718234,8.4021007158,8.1081053388,-8.3026624243
0,i_10,7,8,'BL',-31.2310300581,-9.0605693421,31.2310300581,10.6454879227
0,i_11,7,9,'BL',27.6319666622,10.3528300948,-27.6319666622,-9.5378259513
0,i_4,2,5,'BL',8.6590128136,2.6389441090,-8.6116229185,-6.4650786679
0,i_9,6,13,'BL',27.4645983700,5.1519464559,-27.0377139877,-4.3112778469
0,i_3,2,4,'BL',19.2084818802,0.8455157629,-19.0197527599,-4.1656520950
0,i_17,4,7,'BL',-3.5990633959,1.3182799339,3.5990633959,-1.2922607527
0,i_19,5,6,'BL',-22.4552058135,19.9964945051,22.4552058135,-18.2523794252
0,i_6,4,5,'BL',-44.0909940773,7.9777704844,44.3283155411,-7.2291857024
1,i_0,1,2,'BL',56.0576218549,-1.8409867450,-55.5424323527,-2.7721957387
1,i_13,9,14,'BL',2.8500158173,6.2345827355,-2.7981526117,-6.1242627488
1,i_15,12,13,'BL',-4.3747236795,-1.4242566664,4.4163529277,1.4619212243
1,i_16,13,14,'BL',15.0446996430,-1.5938081126,-14.7040478519,2.2873881532
1,i_5,3,4,'BL',-12.2754591754,3.4793702691,12.3755990841,-4.6672279982
1,i_7,6,11,'BL',24.7245848645,0.2844439857,-24.2446721144,0.7205533401
1,i_14,10,11,'BL',-19.5273581783,3.1498992628,19.8082286030,-2.4924125782
1,i_1,1,5,'BL',21.6319678420,3.1397483545,-21.4014823201,-7.8889238760
1,i_18,4,9,'BL',4.4366263136,4.6488716278,-4.4366263136,-4.4578516359
1,i_2,2,3,'BL',29.0943743388,-0.0637967786,-28.7491405410,-3.4900502555
1,i_12,9,10,'BL',-8.6419629418,8.5276050821,8.6826748752,-8.4194580095
1,i_10,7,8,'BL',-31.2363128765,-9.3104490114,31.2363128765,10.9039565179
1,i_11,7,9,'BL',28.0844587363,10.7242891648,-28.0844587363,-9.8777132168
1,i_4,2,5,'BL',8.6242108615,2.6952492422,-8.5768578018,-6.5212257230
1,i_9,6,13,'BL',35.5903811746,6.4275650862,-34.8753112508,-5.0193691833
1,i_3,2,4,'BL',19.3017374000,0.9258561713,-19.1109800262,-4.2391928554
1,i_17,4,7,'BL',-3.1518541402,1.4350890646,3.1518541402,-1.4138401534
1,i_19,5,6,'BL',-23.0405506364,19.9861890903,23.0405506364,-18.1912475379
1,i_6,4,5,'BL',-44.6126831794,7.8873860627,44.8553868893,-7.1218240235
--end of line flow
