--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',-1.7012190650
1,l_16,3,'1 ',17.6795444972
1,l_18,8,'1 ',6.5211506436
1,l_17,6,'1 ',-0.4952247966
1,l_15,2,'1 ',20.3680010041
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,14,1.0667274355,-14.2243387654
0,13,1.0795080207,-12.6264719883
0,1,1.1000000000,-5.1245658512
0,12,1.0859399462,-12.3004706617
0,4,1.0645200524,-10.7971264719
0,3,1.0638330858,-12.2839081610
0,8,1.0999999476,-11.8214731186
0,10,1.0784618472,-13.7684211429
0,11,1.0844689089,-12.7462514299
0,9,1.0854370808,-13.8797585532
0,5,1.0664194764,-9.7345698072
0,6,1.1000000000,-11.4099071481
0,7,1.0901208619,-12.5240797423
0,2,1.0868061822,-7.7314399519
1,14,1.0633570360,0.0911236279
1,13,1.0729516579,1.5403696915
1,1,1.1000000000,9.3887355319
1,12,1.0587151845,1.2691872792
1,4,1.0643254971,3.7101800221
1,3,1.0638330858,2.2282288471
1,8,1.0999999476,2.6458547616
1,10,1.0776673199,0.6980193915
1,11,1.0840173535,1.7731343127
1,9,1.0845287254,0.5638448635
1,5,1.0663396716,4.7815289378
1,6,1.1000000000,3.1626909798
1,7,1.0896393192,1.9424821602
1,2,1.0868061822,6.7810043896
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0018028791
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_12,9,10,'BL',0.5973379423,8.7377208518,-0.5766281552,-8.6827074279
0,i_16,13,14,'BL',9.0529524031,-0.3533403476,-8.9325574996,0.5984689635
0,i_17,4,7,'BL',17.0996123962,-0.6034716216,-17.0996123962,1.1202194842
0,i_5,3,4,'BL',-14.9633673781,4.9339885868,15.1148960022,-5.9968052433
0,i_7,6,11,'BL',14.7933896780,1.6882236706,-14.6193686720,-1.3238019177
0,i_18,4,9,'BL',11.5294575372,2.9054315367,-11.5294575372,-2.2539347935
0,i_8,6,12,'BL',8.2786481481,2.1246435987,-8.2044449155,-1.9702059701
0,i_9,6,13,'BL',22.4542482195,6.1068134906,-22.1582207118,-5.5238429174
0,i_2,2,3,'BL',47.1302134759,0.6806943831,-46.2422759914,-2.0050182476
0,i_10,7,8,'BL',-8.3476338309,-6.0625818726,8.3476338309,6.2203537524
0,i_1,1,5,'BL',44.1072992930,4.6015959090,-43.2129541345,-6.6839064085
0,i_14,10,11,'BL',-10.3698406977,1.1538409571,10.4466399624,-0.9740623493
0,i_13,9,14,'BL',5.0041304789,5.1661853267,-4.9483195132,-5.0474679254
0,i_6,4,5,'BL',-46.6761403054,10.4595065380,46.9456917176,-9.6092586002
0,i_19,5,6,'BL',14.6011672945,20.2934912228,-14.6011672945,-19.0903835162
0,i_11,7,9,'BL',25.4472462271,4.9423623884,-25.4472462271,-4.3202838612
0,i_0,1,2,'BL',90.8655304978,-6.3368141188,-89.5415371312,4.0665314459
0,i_3,2,4,'BL',36.0162668803,0.7979441178,-35.3742122181,-2.7841887674
0,i_15,12,13,'BL',3.2452961828,-0.0829737815,-3.2255530578,0.1008366089
0,i_4,2,5,'BL',24.9309650764,2.9407706596,-24.6193005334,-6.0000239001
1,i_12,9,10,'BL',0.0679228288,8.7846033334,-0.0470514177,-8.7291605720
1,i_16,13,14,'BL',7.8919838232,-0.8132413615,-7.7985255767,1.0035259161
1,i_17,4,7,'BL',17.4919936805,-0.4441078330,-17.4919936805,0.9847162813
1,i_5,3,4,'BL',-14.8716752291,5.0175932634,15.0221484242,-6.0828386233
1,i_7,6,11,'BL',15.3441434885,1.6881286777,-15.1570937063,-1.2964230378
1,i_18,4,9,'BL',11.7554819196,3.0573148732,-11.7554819196,-2.3771417964
1,i_9,6,13,'BL',29.7586691811,8.0915715533,-29.2387345856,-7.0676580273
1,i_2,2,3,'BL',47.1332255740,0.6802280879,-46.2451763444,-2.0040811682
1,i_10,7,8,'BL',-8.3530424683,-6.3576678160,8.3530424683,6.5211506436
1,i_1,1,5,'BL',44.0886413273,4.6432837998,-43.1947480476,-6.7270409872
1,i_14,10,11,'BL',-10.8994174351,1.2002941013,10.9843649967,-1.0014412292
1,i_13,9,14,'BL',6.1573598963,5.6120779224,-6.0823514361,-5.4525248779
1,i_6,4,5,'BL',-47.1212986811,10.3190620548,47.3955255568,-9.4540662694
1,i_19,5,6,'BL',14.1078323532,20.2389443036,-14.1078323532,-19.0671798620
1,i_11,7,9,'BL',25.8450361487,5.3729515347,-25.8450361487,-4.7273028414
1,i_0,1,2,'BL',90.8932028590,-6.3445028648,-89.5683961612,4.0767034125
1,i_3,2,4,'BL',36.1000051837,0.8932441612,-35.4547119310,-2.8689580294
1,i_15,12,13,'BL',-4.9591487327,-2.0531797516,5.0159293959,2.1045527326
1,i_4,2,5,'BL',24.9053284080,2.9975328085,-24.5940055182,-6.0575347331
--end of line flow
