--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',23.6771252781
1,l_17,6,'1 ',-8.2333622768
1,l_18,8,'1 ',7.4922859564
1,l_14,1,'1 ',0.4154266587
1,l_15,2,'1 ',19.7176145608
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,1,1.0924903905,188.5982716526
0,5,1.0721798190,186.9792103523
0,4,1.0703050973,185.9303766126
0,6,1.1000000000,189.9679253322
0,11,1.0866254184,188.3007897774
0,7,1.0916886241,188.3034602896
0,12,1.0865483034,189.1211739507
0,13,1.0818795979,188.9416398434
0,10,1.0824458147,186.9626388951
0,8,1.0999997460,192.7345121552
0,9,1.0880215046,186.7636231178
0,14,1.0695777327,187.0577584208
0,2,1.0869809248,187.7170134127
0,3,1.0579112913,182.1787779016
1,1,1.0924903905,3.1232719852
1,5,1.0721053683,1.5071504546
1,4,1.0701368868,0.4495578928
1,6,1.1000000000,4.5513838045
1,11,1.0862083020,2.8334765907
1,7,1.0912667755,2.7860326479
1,12,1.0605162519,2.7524522015
1,13,1.0756333718,3.1411296045
1,10,1.0817245758,1.4448583151
1,8,1.0999997460,7.2192189086
1,9,1.0872025927,1.2241193039
1,14,1.0664159953,1.3976547381
1,2,1.0869809248,2.2411798605
1,3,1.0579112913,-3.2974921476
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0016525042
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_3,2,4,'BL',21.7077366279,1.4382709639,-21.4701346342,-4.6733651124
0,i_11,7,9,'BL',29.0137580360,4.0289797069,-29.0137580360,-3.2369573067
0,i_19,5,6,'BL',-26.1802804082,23.6927372122,26.1802804082,-21.3185664678
0,i_17,4,7,'BL',-23.6558303566,1.8992095826,23.6558303566,-0.9158220458
0,i_12,9,10,'BL',-1.8703304024,7.8917483126,1.8880057596,-7.8447955405
0,i_16,13,14,'BL',10.3905440377,-1.0993570330,-10.2311134479,1.4239637953
0,i_14,10,11,'BL',-12.8846750631,3.3156957096,13.0086291432,-3.0255328801
0,i_0,1,2,'BL',30.9561718020,-2.8801956920,-30.8005586730,-2.9148602094
0,i_18,4,9,'BL',-3.1422554492,3.3045371158,3.1422554492,-3.2097433063
0,i_2,2,3,'BL',57.2646747440,2.4926785124,-55.9502375194,-1.9934642651
0,i_4,2,5,'BL',10.5478726893,3.8094948662,-10.4777308693,-7.6281355151
0,i_5,3,4,'BL',-39.6752374993,8.5810499321,40.6694904819,-7.4928392037
0,i_6,4,5,'BL',-46.5681670876,10.4549789048,46.8336281780,-9.6176330982
0,i_1,1,5,'BL',16.3402125827,3.2637431953,-16.2019430796,-8.4569938907
0,i_9,6,13,'BL',19.2443609333,5.6752930350,-19.0242867842,-5.2418983349
0,i_15,12,13,'BL',2.0935598474,0.2268624166,-2.0852617671,-0.2193546297
0,i_8,6,12,'BL',7.8875072677,2.0455998748,-7.8200619293,-1.9052273093
0,i_13,9,14,'BL',1.0501819852,6.9338222327,-0.9973739401,-6.8214924455
0,i_7,6,11,'BL',17.2120551810,-0.5681343941,-16.9792540090,1.0556491667
0,i_10,7,8,'BL',-52.6695883926,-3.1131576612,52.6695883926,7.2276807463
1,i_3,2,4,'BL',21.7879173430,1.5172861443,-21.5483291471,-4.7457415921
1,i_11,7,9,'BL',29.3961029239,4.4322509400,-29.3961029239,-3.6158333769
1,i_19,5,6,'BL',-26.6643001025,23.6802318714,26.6643001025,-21.2581454794
1,i_17,4,7,'BL',-23.2784429813,2.0144666059,23.2784429813,-1.0609186036
1,i_12,9,10,'BL',-2.3690808840,7.9503510313,2.3876017502,-7.9011522514
1,i_16,13,14,'BL',9.2667167903,-1.5499275847,-9.1363028236,1.8154553955
1,i_14,10,11,'BL',-13.3842710537,3.3720524205,13.5178572856,-3.0593417859
1,i_0,1,2,'BL',30.9826810549,-2.8884288307,-30.8268020271,-2.9058152423
1,i_18,4,9,'BL',-2.9183049024,3.4290355250,2.9183049024,-3.3365784157
1,i_2,2,3,'BL',57.2689403140,2.4920931305,-55.9543111553,-1.9920702598
1,i_4,2,5,'BL',10.5210673380,3.8642450345,-10.4508873426,-7.6824929429
1,i_5,3,4,'BL',-39.5897780320,8.6479544917,40.5807227130,-7.5679571313
1,i_6,4,5,'BL',-47.0025427278,10.3627178797,47.2726015196,-9.5108695110
1,i_1,1,5,'BL',16.3219658507,3.3038554894,-16.1837402536,-8.4968947093
1,i_9,6,13,'BL',26.1882880482,7.5521051370,-25.7821703898,-6.7523326901
1,i_15,12,13,'BL',-5.7265020819,-1.6783648927,5.7964490859,1.7416502773
1,i_13,9,14,'BL',2.1552279015,7.3470856704,-2.0921845643,-7.2129840457
1,i_7,6,11,'BL',17.7356501769,-0.5718573117,-17.4884821515,1.0894580725
1,i_10,7,8,'BL',-52.6745459052,-3.3713323363,52.6745459052,7.4922859564
--end of line flow
