--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_17,6,'1 ',2.3039830260
1,l_15,2,'1 ',13.8828312672
1,l_18,8,'1 ',7.6447310146
1,l_14,1,'1 ',0.8070283693
1,l_16,3,'1 ',22.4097566670
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,3,1.0390235936,-1.0033433505
0,8,1.0833526398,8.5314003483
0,5,1.0558376039,3.3500250885
0,7,1.0737648209,4.7165089928
0,14,1.0585005287,4.1645815734
0,13,1.0777179528,6.6262587571
0,4,1.0518882625,2.1804669930
0,1,1.0754319791,5.4724900663
0,6,1.1000000000,8.0398377278
0,9,1.0690777102,3.6456777820
0,10,1.0670626448,4.1696751515
0,2,1.0622721912,3.3593169706
0,12,1.0846748411,6.9037786701
0,11,1.0789835738,5.9458886850
1,3,1.0390235936,-4.5039058918
1,8,1.0833526398,4.9760001083
1,5,1.0557487696,-0.1462691650
1,7,1.0733035765,1.1588369126
1,14,1.0549211313,0.4114125890
1,13,1.0705103007,2.6824180585
1,4,1.0516913548,-1.3276450501
1,1,1.0754319791,1.9728329991
1,6,1.1000000000,4.6149582284
1,9,1.0681819389,0.0591940774
1,10,1.0662560835,0.6123612195
1,2,1.0622721912,-0.1413871904
1,12,1.0536131112,2.1322652813
1,11,1.0784996336,2.4550857908
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0024139896
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_11,7,9,'BL',19.5011124436,4.7571450148,-19.5011124436,-4.3726977640
0,i_19,5,6,'BL',-40.4284127532,16.4324709767,40.4284127532,-12.6926604138
0,i_1,1,5,'BL',20.0511759925,2.0946930650,-19.8519533676,-6.8598003195
0,i_5,3,4,'BL',-33.0878091775,5.4439035748,33.7907256276,-5.0489108892
0,i_10,7,8,'BL',-43.9374630365,-4.3812144925,43.9374630365,7.3599444856
0,i_18,4,9,'BL',-5.3354355469,3.2812989589,5.3354355469,-3.0961232457
0,i_3,2,4,'BL',13.6602098654,-0.0302102820,-13.5622805385,-3.4719630213
0,i_6,4,5,'BL',-51.6004453001,7.0429126543,51.9276843568,-6.0107001691
0,i_9,6,13,'BL',25.5548420451,6.1153776186,-25.1773782297,-5.3720335334
0,i_17,4,7,'BL',-24.4363505929,1.4592403786,24.4363505929,-0.3759305223
0,i_2,2,3,'BL',43.3143833239,1.3378746427,-42.5270767914,-2.8564362855
0,i_13,9,14,'BL',-1.4874607561,4.8986421513,1.5166092087,-4.8366394873
0,i_15,12,13,'BL',3.1567031475,0.2931186704,-3.1378305394,-0.2760434535
0,i_8,6,12,'BL',10.1212888046,1.8185888302,-10.0138718108,-1.5950240985
0,i_12,9,10,'BL',-9.9547578364,6.3533452241,9.9935730186,-6.2502366767
0,i_7,6,11,'BL',22.4291556216,1.3109037703,-22.0329198704,-0.4811365465
0,i_4,2,5,'BL',1.2572531040,1.5670912700,-1.2502047020,-5.4263334463
0,i_16,13,14,'BL',13.8171860932,-0.5327351583,-13.5358066290,1.1056344804
0,i_0,1,2,'BL',71.7580705046,-1.3249917050,-70.8947317323,-2.0714446518
0,i_14,10,11,'BL',-18.0012069179,1.3551392156,18.2360383700,-0.8054246877
1,i_11,7,9,'BL',20.0003684625,5.1888171955,-20.0003684625,-4.7811062272
1,i_19,5,6,'BL',-41.0391816255,16.4390153324,41.0391816255,-12.6004274779
1,i_1,1,5,'BL',20.0310169319,2.1412746960,-19.8319557774,-6.9065870629
1,i_5,3,4,'BL',-32.9701974032,5.5125915898,33.6688174826,-5.1282994605
1,i_10,7,8,'BL',-43.9447050052,-4.6586323982,43.9447050052,7.6447310146
1,i_18,4,9,'BL',-5.0449333761,3.4086797983,5.0449333761,-3.2336491181
1,i_3,2,4,'BL',13.7676489897,0.0546771160,-13.6680333607,-3.5510296060
1,i_6,4,5,'BL',-52.1553005539,6.9617592381,52.4894735690,-5.9076749185
1,i_9,6,13,'BL',34.4945077048,7.8992247261,-33.8098995892,-6.5510176329
1,i_17,4,7,'BL',-23.9443365427,1.5714681113,23.9443365427,-0.5301847973
1,i_2,2,3,'BL',43.3130590035,1.3380841573,-42.5257995793,-2.8568442685
1,i_13,9,14,'BL',-0.0781269520,5.2835099649,0.1092318849,-5.2173456052
1,i_15,12,13,'BL',-6.8571686634,-1.3019054281,6.9541173267,1.3896208854
1,i_12,9,10,'BL',-10.5743334508,6.4780363253,10.6172057971,-6.3641503380
1,i_7,6,11,'BL',23.0935519902,1.2865669407,-22.6736246888,-0.4071866476
1,i_4,2,5,'BL',1.2284632221,1.6307854380,-1.2212226321,-5.4891163091
1,i_16,13,14,'BL',12.3577595866,-1.0194153978,-12.1284293053,1.4863405983
1,i_0,1,2,'BL',71.7902995130,-1.3342463267,-70.9261908523,-2.0598394471
1,i_14,10,11,'BL',-18.6248396964,1.4690528768,18.8767431884,-0.8793745866
--end of line flow
