--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',26.0002484909
1,l_15,2,'1 ',17.2692342709
1,l_17,6,'1 ',-0.5279740516
1,l_18,8,'1 ',5.1849543503
1,l_14,1,'1 ',4.0504469244
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,2,1.0862303284,13.3099114577
0,14,1.0550240548,12.1007441391
0,1,1.0987585538,15.2318968476
0,10,1.0730344635,12.8165709580
0,4,1.0694006293,12.1334671388
0,7,1.0826615049,14.3002882936
0,8,1.0866584512,19.1230728025
0,12,1.0825650719,14.5843876943
0,9,1.0778788618,12.4231361544
0,6,1.1000000000,15.7807403395
0,3,1.0677901718,10.1320376414
0,5,1.0722421901,13.0719079501
0,11,1.0812633179,14.1244496373
0,13,1.0749330156,14.3340188575
1,2,1.0862303284,-0.5329012426
1,14,1.0508016444,-2.0127010107
1,1,1.0987585538,1.3900736439
1,10,1.0720619714,-1.0883708580
1,4,1.0691668960,-1.7171473797
1,7,1.0820899543,0.3972014629
1,8,1.0866584512,5.2233270721
1,12,1.0478269176,-0.5803773651
1,9,1.0767784427,-1.5122430859
1,6,1.1000000000,2.0146603953
1,3,1.0677901718,-3.7098260254
1,5,1.0721373265,-0.7668949977
1,11,1.0807000565,0.2890019356
1,13,1.0666672657,0.0192495060
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0030482703
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_16,13,14,'BL',12.7617113495,0.1288983701,-12.5207665113,0.3616745111
0,i_15,12,13,'BL',3.2043776257,0.5974568413,-3.1843487962,-0.5793355194
0,i_6,4,5,'BL',-42.4983634772,6.6221010097,42.7143185776,-5.9409122997
0,i_5,3,4,'BL',-20.4176375169,6.6718162313,20.6948413136,-7.4259352980
0,i_17,4,7,'BL',-21.4040330529,6.0494097314,21.4040330529,-5.1841252991
0,i_9,6,13,'BL',26.8803383493,7.8062914418,-26.4520084747,-6.9627762073
0,i_3,2,4,'BL',15.3245646135,3.4505528408,-15.1942418203,-7.0050953604
0,i_18,4,9,'BL',-1.0813064824,5.1090120823,1.0813064824,-4.9844784234
0,i_19,5,6,'BL',-23.7318916150,23.6027541279,23.7318916150,-21.4696475852
0,i_13,9,14,'BL',5.4487583862,6.5562537109,-5.3692495364,-6.3871277349
0,i_2,2,3,'BL',33.2224575811,0.5491343636,-32.7789811361,-3.7617155042
0,i_7,6,11,'BL',18.2010440611,1.9205252246,-17.9381092613,-1.3699068663
0,i_1,1,5,'BL',21.8798189289,5.1678947205,-21.6359328363,-9.9592693899
0,i_8,6,12,'BL',10.8625421811,2.3794425176,-10.7369336774,-2.1180161787
0,i_14,10,11,'BL',-13.2638547759,1.2263300398,13.3902956308,-0.9303459448
0,i_10,7,8,'BL',-56.1520183738,-0.0919707177,56.1520183738,4.8303428454
0,i_4,2,5,'BL',5.0993497134,5.0328011117,-5.0626450363,-8.9509416020
0,i_12,9,10,'BL',-6.1840416013,8.5397469337,6.2144791722,-8.4588926507
0,i_0,1,2,'BL',68.3131835688,-1.1627866483,-67.5633938023,-2.8501145951
0,i_11,7,9,'BL',34.7479853209,5.2760960168,-34.7479853209,-4.1167714537
1,i_16,13,14,'BL',11.2044232532,-0.4377906883,-11.0155363257,0.8223716776
1,i_15,12,13,'BL',-7.5325560517,-1.5205593374,7.6513753209,1.6280624857
1,i_6,4,5,'BL',-43.0865678333,6.4920896593,43.3082974129,-5.7926864684
1,i_5,3,4,'BL',-20.2765620110,6.7588271999,20.5511531995,-7.5192945342
1,i_17,4,7,'BL',-20.8703570977,6.2023757709,20.8703570977,-5.3729100814
1,i_9,6,13,'BL',36.5157269034,10.1499513562,-35.7304444955,-8.6034851539
1,i_3,2,4,'BL',15.4461289910,3.5562987507,-15.3133900960,-7.1026604721
1,i_18,4,9,'BL',-0.7639416918,5.2769817412,0.7639416918,-5.1470991447
1,i_19,5,6,'BL',-24.3661355156,23.5796106905,24.3661355156,-21.3900699825
1,i_13,9,14,'BL',6.9828634254,7.0783715595,-6.8744797220,-6.8478249014
1,i_2,2,3,'BL',33.2131640468,0.5508023788,-32.7699293295,-3.7644019243
1,i_7,6,11,'BL',18.9120742617,1.9137189622,-18.6284460272,-1.3197659632
1,i_1,1,5,'BL',21.8632723465,5.2224764849,-21.6193112781,-10.0129884750
1,i_14,10,11,'BL',-13.9406693781,1.3081248365,14.0806323967,-0.9804868479
1,i_10,7,8,'BL',-56.1611631847,-0.4397520550,56.1611631847,5.1849543503
1,i_4,2,5,'BL',5.0760925897,5.1057331483,-5.0390015292,-9.0223049109
1,i_12,9,10,'BL',-6.8579610837,8.6292323190,6.8912937745,-8.5406874474
1,i_0,1,2,'BL',68.3449715028,-1.1720295605,-67.5944903858,-2.8387608882
1,i_11,7,9,'BL',35.2908060871,5.8126621364,-35.2908060871,-4.6108034603
--end of line flow
