--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',-3.2109255337
1,l_18,8,'1 ',5.9137093809
1,l_15,2,'1 ',15.8311511961
1,l_17,6,'1 ',3.3525310926
1,l_16,3,'1 ',28.7656322945
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,12,1.0843222078,-10.9717135937
0,7,1.0793554814,-11.0530604012
0,11,1.0823011842,-11.2183931486
0,3,1.0454389916,-15.2122725433
0,13,1.0787265334,-11.1076285300
0,5,1.0575422220,-11.4180733780
0,4,1.0553746251,-12.3971516634
0,14,1.0583144999,-12.7424825410
0,9,1.0764478599,-12.3939674617
0,1,1.0721829826,-9.7357554346
0,2,1.0743928864,-9.4601030064
0,8,1.0866863010,-7.8004627087
0,6,1.1000000000,-9.9929687254
0,10,1.0732920097,-12.1776775352
1,12,1.0539078508,-2.3804689898
1,7,1.0788404668,-1.4685685230
1,11,1.0818100830,-1.5765473016
1,3,1.0454389916,-5.5775505137
1,13,1.0713770402,-1.8550711690
1,5,1.0574516423,-1.7798058997
1,4,1.0551687599,-2.7688173281
1,14,1.0545382539,-3.3264668320
1,9,1.0754535923,-2.8353383750
1,1,1.0721829826,-0.1003485756
1,2,1.0743928864,0.1744347072
1,8,1.0866863010,1.7861654781
1,6,1.1000000000,-0.2932105211
1,10,1.0724244772,-2.5937076582
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0022495533
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_5,3,4,'BL',-29.2654472399,5.4720445721,29.8139121776,-5.4845197279
0,i_16,13,14,'BL',10.0963206636,1.5016574816,-9.9432738173,-1.1900482646
0,i_9,6,13,'BL',21.4084500721,7.2646554759,-21.1290363243,-6.7144025821
0,i_19,5,6,'BL',-12.3173937832,15.7774977793,12.3173937832,-14.9932848928
0,i_1,1,5,'BL',15.7580270812,0.6118962727,-15.6357577148,-5.6863697865
0,i_7,6,11,'BL',14.2832485409,3.1044504347,-14.1155430602,-2.7532541819
0,i_12,9,10,'BL',-3.1919574580,5.2315997935,3.2022680304,-5.2042108163
0,i_18,4,9,'BL',-0.0117148960,2.4850238187,0.0117148960,-2.4560690307
0,i_10,7,8,'BL',-37.7798712757,-3.4193023967,37.7798712757,5.5950952603
0,i_15,12,13,'BL',2.1358905725,0.6765036965,-2.1264587665,-0.6679701577
0,i_14,10,11,'BL',-10.3508515299,-0.5278249557,10.4273623386,0.7069283200
0,i_2,2,3,'BL',58.0044478575,2.2744092379,-56.6254341152,-1.3860966233
0,i_17,4,7,'BL',-13.0648075216,0.0292364767,13.0648075216,0.2772901391
0,i_4,2,5,'BL',23.3556554648,1.1468943515,-23.0816556146,-4.2421147904
0,i_6,4,5,'BL',-42.6063787027,8.4618248233,42.8325399714,-7.7484427240
0,i_8,6,12,'BL',9.1288893721,2.4233906109,-9.0382717468,-2.2347900516
0,i_11,7,9,'BL',24.7150637541,3.1420122577,-24.7150637541,-2.5558882138
0,i_0,1,2,'BL',-9.6367018204,-3.8604637795,9.6524724357,-2.1736727600
0,i_3,2,4,'BL',33.4186781059,-0.5428078663,-32.8554477377,-1.6040436270
0,i_13,9,14,'BL',4.8815959523,4.9322047729,-4.8287697068,-4.8198362712
1,i_5,3,4,'BL',-29.1563347600,5.5514518826,29.7014961638,-5.5720805948
1,i_16,13,14,'BL',8.8095297514,0.9640516658,-8.6925773639,-0.7259321439
1,i_9,6,13,'BL',29.4959307956,9.5275501237,-28.9706756619,-8.4931587969
1,i_19,5,6,'BL',-12.8476500631,15.7458949257,12.8476500631,-14.9373746241
1,i_1,1,5,'BL',15.7426458153,0.6584019329,-15.6204527824,-5.7327192817
1,i_7,6,11,'BL',14.8815711000,3.1035111837,-14.7001726913,-2.7236402268
1,i_12,9,10,'BL',-3.7664849583,5.2852636205,3.7780693442,-5.2544908883
1,i_18,4,9,'BL',0.2444616844,2.6377497638,-0.2444616844,-2.6048342540
1,i_10,7,8,'BL',-37.7866199356,-3.7316860285,37.7866199356,5.9137093809
1,i_15,12,13,'BL',-6.9023811743,-1.5582863551,7.0019714834,1.6483918729
1,i_14,10,11,'BL',-10.9266528437,-0.4775448837,11.0119919697,0.6773143649
1,i_2,2,3,'BL',58.0026876305,2.2746441181,-56.6237560950,-1.3866778427
1,i_17,4,7,'BL',-12.6302306391,0.1764392099,12.6302306391,0.1102007517
1,i_4,2,5,'BL',23.3316539271,1.2092395274,-23.0580116032,-4.3052201415
1,i_6,4,5,'BL',-43.0928522917,8.3360142462,43.3238473074,-7.6073850242
1,i_11,7,9,'BL',25.1563892965,3.6214852768,-25.1563892965,-3.0109331981
1,i_0,1,2,'BL',-9.6100727879,-3.8693274666,9.6257594807,-2.1650653009
1,i_3,2,4,'BL',33.5138943383,-0.4453400826,-32.9473115977,-1.6906008614
1,i_13,9,14,'BL',6.1536255752,5.4416994034,-6.0794661602,-5.2839523919
--end of line flow
