--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_15,2,'1 ',11.0268270867
1,l_16,3,'1 ',21.0933019751
1,l_17,6,'1 ',-3.6296798334
1,l_18,8,'1 ',5.7227497723
1,l_14,1,'1 ',-0.5396886746
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,1,1.0839462714,-12.2410928253
0,3,1.0582483505,-16.9588232932
0,9,1.0791743630,-17.6392690916
0,14,1.0633746015,-17.1006782256
0,7,1.0840304777,-16.6873678523
0,10,1.0733843120,-17.1721219757
0,12,1.0848965088,-14.1638333728
0,8,1.0926976804,-16.0398723383
0,13,1.0809824731,-14.4208590990
0,4,1.0596748513,-15.6603409786
0,5,1.0624755178,-14.6038217339
0,6,1.1000000000,-13.0505191124
0,11,1.0817712013,-15.3088546738
0,2,1.0794933804,-12.9756859558
1,1,1.0839462714,1.6122076474
1,3,1.0582483505,-3.1060699811
1,9,1.0782562033,-3.8729956423
1,14,1.0598217945,-3.4973559991
1,7,1.0835416264,-2.8929826919
1,10,1.0725575295,-3.3775396239
1,12,1.0542364758,-1.5530320735
1,8,1.0926976804,-2.2445385274
1,13,1.0738690876,-1.0031084563
1,4,1.0594610757,-1.8152275231
1,5,1.0623837065,-0.7475465616
1,6,1.1000000000,0.8743137378
1,11,1.0812750105,-1.4489907589
1,2,1.0794933804,0.8766584873
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0025670538
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_9,6,13,'BL',23.9421991041,4.1618083617,-23.6193490832,-3.5260158869
0,i_2,2,3,'BL',40.8614880237,0.7274735081,-40.1838740416,-2.8772477163
0,i_3,2,4,'BL',31.2292366332,0.5723805756,-30.7396525000,-2.9768306462
0,i_8,6,12,'BL',9.9337749484,1.8097494526,-9.8302104970,-1.5942029364
0,i_11,7,9,'BL',17.6664882282,4.9319370399,-17.6664882282,-4.6169864999
0,i_0,1,2,'BL',25.3582080473,-3.0875694897,-25.2521422111,-2.7668439205
0,i_1,1,5,'BL',22.5949977471,2.5096420214,-22.3468176643,-7.1524681440
0,i_4,2,5,'BL',20.1294865327,2.2225555530,-19.9226821146,-5.5600364781
0,i_7,6,11,'BL',23.2980172634,-0.5794681016,-22.8716799945,1.4722716685
0,i_14,10,11,'BL',-18.2007780192,3.4077811002,18.4449590310,-2.8361802844
0,i_17,4,7,'BL',10.0673603365,-0.1783462921,-10.0673603365,0.3589370497
0,i_10,7,8,'BL',-7.5991278917,-5.2908740897,7.5991278917,5.4193979018
0,i_18,4,9,'BL',7.3273365200,2.9581795593,-7.3273365200,-2.6677870984
0,i_13,9,14,'BL',-0.8322421897,6.7162000580,0.8822297195,-6.6098698850
0,i_5,3,4,'BL',-13.1234192094,3.7107835098,13.2382013067,-4.8532167488
0,i_6,4,5,'BL',-46.6958200261,8.2106474565,46.9630688288,-7.3676626564
0,i_16,13,14,'BL',14.7485845786,-1.4133898156,-14.4274759678,2.0671791956
0,i_12,9,10,'BL',-7.3362547487,10.2019392372,7.3793831246,-10.0873731333
0,i_15,12,13,'BL',2.2445972224,-0.3505305477,-2.2349099903,0.3592951862
0,i_19,5,6,'BL',-13.4877944878,18.2743902163,13.4877944878,-17.2739928113
1,i_9,6,13,'BL',32.7214322970,5.9360331691,-32.1168275176,-4.7453776194
1,i_2,2,3,'BL',40.8575349491,0.7281257841,-40.1800495055,-2.8784415277
1,i_3,2,4,'BL',31.3374737037,0.6712855320,-30.8442558279,-3.0639398024
1,i_11,7,9,'BL',18.1644982770,5.3612191660,-18.1644982770,-5.0251240101
1,i_0,1,2,'BL',25.3881309868,-3.0969468544,-25.2818147152,-2.7567019393
1,i_1,1,5,'BL',22.5779100766,2.5572581798,-22.3298474306,-7.2000891789
1,i_4,2,5,'BL',20.1036490631,2.2867097459,-19.8970848803,-5.6245866594
1,i_7,6,11,'BL',23.9580979794,-0.5933691992,-23.5072628141,1.5374744252
1,i_14,10,11,'BL',-18.8191360869,3.5133051015,19.0805418507,-2.9013830411
1,i_17,4,7,'BL',10.5576692238,-0.0292184865,-10.5576692238,0.2278475032
1,i_10,7,8,'BL',-7.6068290532,-5.5890666692,7.6068290532,5.7227497723
1,i_18,4,9,'BL',7.6111145768,3.1048730966,-7.6111145768,-2.7905021932
1,i_13,9,14,'BL',0.5646164193,7.0951591332,-0.5092302135,-6.9773452530
1,i_5,3,4,'BL',-13.0008163451,3.7930121302,13.1141216788,-4.9389245888
1,i_6,4,5,'BL',-47.2412240143,8.0876431098,47.5144357355,-7.2258494337
1,i_16,13,14,'BL',13.3036447141,-1.8897523640,-13.0360160348,2.4346545635
1,i_12,9,10,'BL',-7.9513252523,10.3161963151,7.9977411923,-10.1928971346
1,i_15,12,13,'BL',-7.5856132746,-1.9447334841,7.7075083086,2.0550194672
1,i_19,5,6,'BL',-14.0817288625,18.2447482098,14.0817288625,-17.2145181068
--end of line flow
