--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',14.5555893901
1,l_14,1,'1 ',-0.5879533758
1,l_17,6,'1 ',0.8214874595
1,l_15,2,'1 ',8.3277974569
1,l_18,8,'1 ',12.7663868826
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,1,1.0705450424,-0.4444832087
0,5,1.0579424284,-1.2028953941
0,9,1.0681432853,-2.2511921589
0,13,1.0745537371,2.1234324374
0,10,1.0637323735,-1.3490278606
0,8,1.1000000000,-1.9946467473
0,14,1.0519769325,-1.4460245433
0,3,1.0535372182,-3.2497134473
0,12,1.0851249186,2.7366667528
0,11,1.0760267068,1.1791731505
0,7,1.0800132342,-2.1620590546
0,2,1.0650415094,-1.2658600056
0,4,1.0551227120,-2.1969485105
0,6,1.1000000000,3.8998774111
1,1,1.0705450424,-0.5545892369
1,5,1.0578506369,-1.3088797644
1,9,1.0672810522,-2.4490345919
1,13,1.0676253006,1.5621660552
1,10,1.0629354853,-1.5164176725
1,8,1.1000000000,-2.1639704753
1,14,1.0485700431,-1.8165498889
1,3,1.0535372182,-3.3616034174
1,12,1.0547961614,1.3196254621
1,11,1.0755297721,1.0811038617
1,7,1.0795610118,-2.3319747047
1,2,1.0650415094,-1.3771232921
1,4,1.0549192612,-2.3151960128
1,6,1.1000000000,3.8697747425
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0020464939
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_3,2,4,'BL',11.1480375373,0.4730869838,-11.0814162029,-4.0918570085
0,i_15,12,13,'BL',5.6821881818,-0.5079308608,-5.6211272739,0.5631764441
0,i_11,7,9,'BL',1.6313331140,11.6544839415,-1.6313331140,-11.5238707873
0,i_2,2,3,'BL',20.0413766366,-0.7123410985,-19.8736860573,-3.4960909087
0,i_4,2,5,'BL',0.6431868975,2.1756648045,-0.6343821910,-6.0474334199
0,i_9,6,13,'BL',31.2119972947,6.0737231287,-30.6592463159,-4.9851838994
0,i_12,9,10,'BL',-16.6501408013,12.0103468900,16.7676514162,-11.6981920028
0,i_13,9,14,'BL',-2.3081341297,7.5126859084,2.3769492313,-7.3663069676
0,i_0,1,2,'BL',27.9509726995,-2.0250415859,-27.8186927836,-3.5912917855
0,i_18,4,9,'BL',0.1979791866,4.0594799651,-0.1979791866,-3.9819928463
0,i_14,10,11,'BL',-24.4806098896,4.2289698375,24.9281467439,-3.1813354242
0,i_17,4,7,'BL',-0.3392885175,-0.5961035147,0.3392885175,0.5969487661
0,i_7,6,11,'BL',28.4184433348,0.3584649004,-27.7844036236,0.9692935599
0,i_1,1,5,'BL',7.7430425032,1.3984482441,-7.7063908396,-6.8198071739
0,i_10,7,8,'BL',-1.9706216315,-12.2514327076,1.9706216315,12.4839694021
0,i_5,3,4,'BL',-10.6469335078,2.5941896121,10.7219629130,-3.8255553880
0,i_8,6,12,'BL',10.2302156929,1.5771903993,-10.1213795555,-1.3506720339
0,i_16,13,14,'BL',19.2997800555,-1.8781114909,-18.7431584765,3.0114142576
0,i_6,4,5,'BL',-43.7084561617,7.1905193635,43.9437462866,-6.4483420483
0,i_19,5,6,'BL',-44.0669640710,17.7872330469,44.0669640710,-13.3702968694
1,i_3,2,4,'BL',11.2531966874,0.5625724342,-11.1851442714,-4.1762704137
1,i_15,12,13,'BL',-4.4391913737,-1.8586028947,4.4851801628,1.9002117991
1,i_11,7,9,'BL',2.1398286262,12.0528773012,-2.1398286262,-11.9114293671
1,i_2,2,3,'BL',20.0472900128,-0.7135300522,-19.8795029742,-3.4944955696
1,i_4,2,5,'BL',0.6059786769,2.2441434475,-0.5969104145,-6.1147713861
1,i_9,6,13,'BL',40.1886437550,7.6608144217,-39.2735786876,-5.8587656487
1,i_12,9,10,'BL',-17.2712180136,12.1682815186,17.3958683143,-11.8371607888
1,i_13,9,14,'BL',-0.8885435761,7.8288037105,0.9578177842,-7.6814481886
1,i_0,1,2,'BL',27.9862839258,-2.0360487750,-27.8536737055,-3.5792761281
1,i_18,4,9,'BL',0.4879970158,4.1868496523,-0.4879970158,-4.1034701340
1,i_14,10,11,'BL',-25.1088267877,4.3679386235,25.5805262408,-3.2637422317
1,i_17,4,7,'BL',0.1630675130,-0.4701111787,-0.1630675130,0.4705561957
1,i_7,6,11,'BL',29.1016609416,0.3406369523,-28.4367831205,1.0517003674
1,i_1,1,5,'BL',7.7179637464,1.4480953992,-7.6812962788,-6.8689113279
1,i_10,7,8,'BL',-1.9767611132,-12.5234334969,1.9767611132,12.7663868826
1,i_5,3,4,'BL',-10.5403267669,2.6764036197,10.6143246551,-3.9101273968
1,i_16,13,14,'BL',17.8078049905,-2.3415650966,-17.3240270295,3.3265554786
1,i_6,4,5,'BL',-44.2894636950,7.1061427543,44.5308332132,-6.3447891652
1,i_19,5,6,'BL',-44.7166173350,17.8001222840,44.7166173350,-13.2686902030
--end of line flow
