--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',3.2248623646
1,l_17,6,'1 ',1.4250493313
1,l_16,3,'1 ',23.5072194236
1,l_15,2,'1 ',17.8039472695
1,l_18,8,'1 ',0.1873448802
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,5,1.0608183011,-1.3557986267
0,6,1.1000000000,2.4971137925
0,8,1.0704577902,-3.0000824119
0,2,1.0727207784,-0.8601534102
0,1,1.0873504504,1.4516774900
0,11,1.0744809618,-0.2315586592
0,4,1.0555326685,-2.7101304744
0,12,1.0850109389,1.3162604289
0,7,1.0706162562,-3.1388616849
0,3,1.0467438512,-5.6328463854
0,9,1.0661932676,-3.4541854495
0,14,1.0509527218,-2.9039073349
0,13,1.0776950270,0.8942271445
0,10,1.0617223086,-2.6551588344
1,5,1.0607252696,-4.3319385296
1,6,1.1000000000,-0.4042060192
1,8,1.0704577902,-6.0411579475
1,2,1.0727207784,-3.8410859454
1,1,1.0873504504,-1.5281355532
1,11,1.0739781801,-3.2016055931
1,4,1.0553229154,-5.6985174844
1,12,1.0541944900,-2.9997453709
1,7,1.0701526737,-6.1806230088
1,3,1.0467438512,-8.6139893460
1,9,1.0653164383,-6.5250313113
1,14,1.0474968328,-6.1521038612
1,13,1.0706826536,-2.5457718826
1,10,1.0609142247,-5.6952987555
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0023671885
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_4,2,5,'BL',7.2921541598,2.9883790207,-7.2535678545,-6.8081601693
0,i_19,5,6,'BL',-33.3827345708,18.3831125174,33.3827345708,-15.5578757075
0,i_14,10,11,'BL',-23.5962872538,3.5586279307,24.0107745586,-2.5883588675
0,i_1,1,5,'BL',27.0283706308,4.0995253498,-26.6720891994,-8.3056276851
0,i_12,9,10,'BL',-14.4597632755,11.2149486971,14.5534665672,-10.9660355204
0,i_5,3,4,'BL',-30.0974016020,6.5523647103,30.6835890326,-6.4705212520
0,i_9,6,13,'BL',27.9837360439,4.9804965393,-27.5420646148,-4.1107076191
0,i_13,9,14,'BL',-0.9384291224,6.4701096897,0.9862230288,-6.3684456474
0,i_2,2,3,'BL',48.2795649737,2.0628233584,-47.3191597263,-2.9362345584
0,i_15,12,13,'BL',3.9232509346,-0.3490497021,-3.8941381913,0.3753898032
0,i_3,2,4,'BL',21.9082985403,1.6152778700,-21.6594782059,-4.7105903564
0,i_18,4,9,'BL',2.7116813612,4.5433501115,-2.7116813612,-4.4121289576
0,i_0,1,2,'BL',80.2418472376,-0.9140233255,-79.1856499580,-2.0205312093
0,i_16,13,14,'BL',20.9277836055,-1.2827375400,-20.2807876752,2.6000459334
0,i_7,6,11,'BL',28.7861895668,1.0406828079,-28.1348875846,0.3232250069
0,i_10,7,8,'BL',-1.5758768795,0.0982220141,1.5758768795,-0.0943907381
0,i_8,6,12,'BL',10.3663782322,1.5637084565,-10.2547363551,-1.3313505638
0,i_11,7,9,'BL',5.7104388185,4.3201617716,-5.7104388185,-4.2709518743
0,i_17,4,7,'BL',4.1345619389,4.4851885314,-4.1345619389,-4.4183837857
0,i_6,4,5,'BL',-60.7107162255,6.7407342207,61.1578008770,-5.3304919232
1,i_4,2,5,'BL',7.2591091389,3.0561227863,-7.2204246675,-6.8752627630
1,i_19,5,6,'BL',-34.0270067760,18.3804340396,34.0270067760,-15.4703939275
1,i_14,10,11,'BL',-24.2313169396,3.6971160366,24.6693090784,-2.6718247494
1,i_1,1,5,'BL',27.0049898108,4.1488661850,-26.6489685568,-8.3555570218
1,i_12,9,10,'BL',-15.0884484755,11.3702902783,15.1884962530,-11.1045236264
1,i_5,3,4,'BL',-29.9788913824,6.6299803184,30.5614168420,-6.5571999639
1,i_9,6,13,'BL',37.1075051687,6.5441543139,-36.3313126064,-5.0155888552
1,i_13,9,14,'BL',0.5065594400,6.7916519614,-0.4546097935,-6.6811481032
1,i_2,2,3,'BL',48.2815690496,2.0625209937,-47.3210859117,-2.9356040394
1,i_15,12,13,'BL',-6.3314854205,-1.6804002660,6.4167889042,1.7575796084
1,i_3,2,4,'BL',22.0186134396,1.7091694562,-21.7670029283,-4.7952631715
1,i_18,4,9,'BL',3.0091045743,4.6758570265,-3.0091045743,-4.5308768969
1,i_0,1,2,'BL',80.2770640002,-0.9240038204,-79.2199473305,-2.0077436810
1,i_16,13,14,'BL',19.4061045016,-1.7600461092,-18.8399548530,2.9127483892
1,i_7,6,11,'BL',29.4762550238,1.0232466523,-28.7934221044,0.4066908888
1,i_10,7,8,'BL',-1.5829784450,-0.1834388612,1.5829784450,0.1873448802
1,i_11,7,9,'BL',6.2293189676,4.7233040879,-6.2293189676,-4.6645982205
1,i_17,4,7,'BL',4.6463405226,4.6169209269,-4.6463405226,-4.5398652267
1,i_6,4,5,'BL',-61.2902211093,6.6478464372,61.7458092526,-5.2107815149
--end of line flow
