--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',-0.1571328577
1,l_17,6,'1 ',1.7500558276
1,l_15,2,'1 ',8.9028285991
1,l_16,3,'1 ',15.6086231251
1,l_18,8,'1 ',6.2886827190
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,7,1.0818898676,-4.0222470646
0,13,1.0793721976,-3.5668324009
0,14,1.0607716671,-5.2910916329
0,5,1.0568999707,-1.5519902746
0,4,1.0550892204,-2.3947911016
0,6,1.1000000000,-2.3429945294
0,3,1.0581368543,-2.2996098234
0,8,1.0914761278,-3.5471732263
0,1,1.0811137207,1.7904322819
0,11,1.0828131786,-3.7343402000
0,9,1.0779884064,-5.1794197644
0,10,1.0744721345,-4.8839274925
0,12,1.0845311716,-3.4257060694
0,2,1.0703516118,0.0157082031
1,7,1.0813643265,-25.2843257337
1,13,1.0720614133,-25.1982592509
1,14,1.0570373260,-26.7385338546
1,5,1.0568080855,-22.7538325041
1,4,1.0548682750,-23.6071670080
1,6,1.1000000000,-23.4795805332
1,3,1.0581368543,-23.5044334343
1,8,1.0914761278,-24.8083597802
1,1,1.0811137207,-19.4141285379
1,11,1.0823142793,-24.9337929730
1,9,1.0770016741,-26.4691239343
1,10,1.0736040330,-26.1461697461
1,12,1.0535435581,-25.8301814610
1,2,1.0703516118,-21.1897654115
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0025774720
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_11,7,9,'BL',21.4097206435,4.0530874443,-21.4097206435,-3.6068355102
0,i_1,1,5,'BL',31.0979862313,2.1997336146,-30.6390296186,-5.9283026665
0,i_0,1,2,'BL',60.7929572936,-2.3953328339,-60.1800799742,-1.8436352125
0,i_8,6,12,'BL',9.7884108099,2.0318875308,-9.6868916669,-1.8205978720
0,i_14,10,11,'BL',-11.9190147683,0.5474610042,12.0201923427,-0.3106154623
0,i_15,12,13,'BL',2.0428345082,0.5431204717,-2.0344422477,-0.5355274740
0,i_17,4,7,'BL',15.8513416723,-1.3568460449,-15.8513416723,1.8116219576
0,i_9,6,13,'BL',22.5915577122,6.1542268918,-22.2918309750,-5.5639713807
0,i_4,2,5,'BL',18.5959954490,0.4513070395,-18.4211507036,-3.8319241737
0,i_7,6,11,'BL',15.6052792856,2.2296535088,-15.4102201184,-1.8211752149
0,i_12,9,10,'BL',-4.7067133370,6.2758693233,4.7235591030,-6.2311202748
0,i_5,3,4,'BL',1.5808294279,0.5504745539,-1.5783729645,-1.9732397024
0,i_16,13,14,'BL',10.3170614402,0.8506328656,-10.1598333441,-0.5305104645
0,i_19,5,6,'BL',6.8331041876,15.3519070716,-6.8331041876,-14.7985298877
0,i_6,4,5,'BL',-36.6186396755,7.3586435118,36.7859413412,-6.8309226772
0,i_10,7,8,'BL',-5.5583789712,-5.8647094020,5.5583789712,5.9629669196
0,i_18,4,9,'BL',10.2526894635,2.3742884778,-10.2526894635,-1.8547144332
0,i_3,2,4,'BL',27.2218258434,-1.0873498768,-26.8455849945,-1.6111149802
0,i_13,9,14,'BL',3.3182771525,5.3050356007,-3.2754487639,-5.2139338802
0,i_2,2,3,'BL',23.4682709250,-1.0082730954,-23.2414479958,-2.9971369731
1,i_11,7,9,'BL',21.8900651423,4.5146889298,-21.8900651423,-4.0447153370
1,i_1,1,5,'BL',31.0824637646,2.2465399154,-30.6237327005,-5.9755622719
1,i_0,1,2,'BL',60.8213671203,-2.4036727732,-60.2079188177,-1.8335519773
1,i_14,10,11,'BL',-12.5348391506,0.6214424160,12.6469619650,-0.3589752746
1,i_15,12,13,'BL',-7.6440571587,-1.2774774004,7.7636048243,1.3856395741
1,i_17,4,7,'BL',16.3239537551,-1.1881797054,-16.3239537551,1.6697085996
1,i_9,6,13,'BL',31.2728249688,8.1185091328,-30.7021310023,-6.9946345595
1,i_4,2,5,'BL',18.5737664993,0.5140014093,-18.3991788559,-3.8950675308
1,i_7,6,11,'BL',16.2480692751,2.2148423494,-16.0369897406,-1.7728154026
1,i_12,9,10,'BL',-5.3205442692,6.3551461304,5.3393834853,-6.3051016866
1,i_5,3,4,'BL',1.7016897409,0.6399651126,-1.6988553239,-2.0614672494
1,i_16,13,14,'BL',8.9293143956,0.3601289964,-8.8105404892,-0.1183007926
1,i_19,5,6,'BL',6.2688735837,15.2987532777,-6.2688735837,-14.7629632173
1,i_6,4,5,'BL',-37.1411688687,7.2090686789,37.3129031794,-6.6673659208
1,i_10,7,8,'BL',-5.5661113872,-6.1843975295,5.5661113872,6.2886827190
1,i_18,4,9,'BL',10.5253200849,2.5360813561,-10.5253200849,-1.9859755729
1,i_3,2,4,'BL',27.3270636037,-0.9847777351,-26.9478161460,-1.7037718180
1,i_13,9,14,'BL',4.6850832049,5.7544981903,-4.6247416188,-5.6261435521
1,i_2,2,3,'BL',23.4620729261,-1.0070641061,-23.2353678127,-2.9988423233
--end of line flow
