--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_17,6,'1 ',-3.2931588036
1,l_18,8,'1 ',6.3641921790
1,l_14,1,'1 ',-0.1720676635
1,l_16,3,'1 ',26.4854219937
1,l_15,2,'1 ',18.1321123002
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,11,1.0779384103,0.8908080144
0,8,1.0876361399,-1.7255796481
0,4,1.0557045572,-1.4112750657
0,9,1.0708298522,-2.3067482491
0,1,1.0791294375,1.7174493193
0,6,1.1000000000,3.6813204402
0,12,1.0850535459,2.4794833873
0,10,1.0670995054,-1.6136919253
0,14,1.0527224006,-1.5302944903
0,13,1.0775882760,2.0039229803
0,3,1.0491457381,-3.7187021245
0,7,1.0777960013,-1.9170652680
0,5,1.0598224707,-0.1780414361
0,2,1.0726195599,0.6785100923
1,11,1.0774362153,-3.3361138996
1,8,1.0876361399,-6.0239412980
1,4,1.0554942936,-5.6565324248
1,9,1.0699602670,-6.6350824428
1,1,1.0791294375,-2.5190751850
1,6,1.1000000000,-0.4759546015
1,12,1.0541445108,-3.1230418802
1,10,1.0662973003,-5.9113125611
1,14,1.0492733470,-6.0374323861
1,13,1.0705810139,-2.7017203322
1,3,1.0491457381,-7.9564705047
1,7,1.0773349630,-6.2161341383
1,5,1.0597297153,-4.4109129383
1,2,1.0726195599,-3.5591218949
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0024197839
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_5,3,4,'BL',-23.7915789176,5.1188706370,24.1568230639,-5.6043960385
0,i_10,7,8,'BL',-2.2240793332,-6.0170964683,2.2240793332,6.0794987162
0,i_7,6,11,'BL',28.6530104528,-0.7746879764,-28.0080922107,2.1252274411
0,i_11,7,9,'BL',7.1352686830,6.8491782097,-7.1352686830,-6.7565376130
0,i_9,6,13,'BL',28.9721308395,4.6025719546,-28.5016632738,-3.6760744522
0,i_4,2,5,'BL',11.1831808079,2.3140848116,-11.1121032365,-6.0306344000
0,i_6,4,5,'BL',-54.7588287816,7.6517866429,55.1250159809,-6.4967197542
0,i_14,10,11,'BL',-24.0998593320,4.8453628639,24.5352784720,-3.8260946832
0,i_15,12,13,'BL',4.2116624167,-0.5823052771,-4.1777418289,0.6129953327
0,i_1,1,5,'BL',18.2222082958,2.3428913509,-18.0555658484,-7.2828287677
0,i_18,4,9,'BL',3.2782041286,3.6786036636,-3.2782041286,-3.5648397817
0,i_0,1,2,'BL',35.6405870696,-2.5535576461,-35.4291461171,-2.9125692092
0,i_13,9,14,'BL',-1.8513373499,8.0800151698,1.9275074648,-7.9179911302
0,i_3,2,4,'BL',24.3105687683,0.7492201366,-24.0083691603,-3.6828145821
0,i_12,9,10,'BL',-12.7353924606,9.6204620420,12.8060609584,-9.4327384310
0,i_8,6,12,'BL',10.4997199967,1.4848766187,-10.3854959970,-1.2471446087
0,i_16,13,14,'BL',19.4803759223,-1.2485440441,-18.9194731322,2.3905635199
0,i_19,5,6,'BL',-33.4071400264,17.8874967609,33.4071400264,-15.0888061705
0,i_17,4,7,'BL',4.9111893497,0.8767487298,-4.9111893497,-0.8320817414
0,i_2,2,3,'BL',44.4916684201,1.3114045081,-43.6771900838,-2.8101583957
1,i_5,3,4,'BL',-23.6711506449,5.1971617609,24.0334738768,-5.6898581270
1,i_10,7,8,'BL',-2.2313386851,-6.2964665309,2.2313386851,6.3641921790
1,i_7,6,11,'BL',29.3528558367,-0.7957745717,-28.6760460945,2.2130988267
1,i_11,7,9,'BL',7.6616123575,7.2500980735,-7.6616123575,-7.1446384523
1,i_9,6,13,'BL',38.2153994538,6.1179587113,-37.3965356156,-4.5053601897
1,i_4,2,5,'BL',11.1500442452,2.3813400725,-11.0790441538,-6.0977861055
1,i_6,4,5,'BL',-55.3463065720,7.5577964896,55.7202195689,-6.3783600626
1,i_14,10,11,'BL',-24.7434445278,4.9902786602,25.2032323558,-3.9139660688
1,i_15,12,13,'BL',-6.1738335803,-1.8294498858,6.2562657220,1.9040313474
1,i_1,1,5,'BL',18.1999610794,2.3920534282,-18.0334558928,-7.3320738322
1,i_18,4,9,'BL',3.5786866961,3.8106276363,-3.5786866961,-3.6825252832
1,i_0,1,2,'BL',35.6749332057,-2.5641210917,-35.4630864333,-2.9007667355
1,i_13,9,14,'BL',-0.3865305918,8.3906270659,0.4648652445,-8.2239987643
1,i_3,2,4,'BL',24.4223210039,0.8433377006,-24.1171090730,-3.7670373753
1,i_12,9,10,'BL',-13.3733729766,9.7802660948,13.4496461542,-9.5776542272
1,i_16,13,14,'BL',17.9412407132,-1.7102943213,-17.4568309119,2.6965711540
1,i_19,5,6,'BL',-34.0575126528,17.8855338394,34.0575126528,-15.0009608363
1,i_17,4,7,'BL',5.4302736724,1.0083997922,-5.4302736724,-0.9536315426
1,i_2,2,3,'BL',44.4929689585,1.3111995630,-43.6784439971,-2.8097570182
--end of line flow
