--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_17,6,'1 ',-6.8455535827
1,l_14,1,'1 ',0.4823091406
1,l_16,3,'1 ',28.7584120090
1,l_15,2,'1 ',19.2317883611
1,l_18,8,'1 ',7.2181860732
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,3,1.0617753583,-12.0682346396
0,9,1.0807689922,-9.7327504198
0,12,1.0854527700,-6.8397867144
0,2,1.0910197609,-6.4785149330
0,7,1.0894522075,-8.6555339127
0,6,1.1000000000,-5.9035235834
0,1,1.1000000000,-4.8984990768
0,5,1.0728109392,-7.6766816481
0,8,1.1000000000,-6.8646743120
0,10,1.0774009931,-9.2613996261
0,11,1.0843190515,-7.7340923349
0,13,1.0792461807,-7.1497416705
0,14,1.0577442870,-9.7502706484
0,4,1.0703617242,-8.7700390699
1,3,1.0617753583,-3.5927208396
1,9,1.0798532680,-1.3285771730
1,12,1.0571638768,0.6403954309
1,2,1.0910197609,1.9974187841
1,7,1.0889737094,-0.2271805287
1,6,1.1000000000,2.6372581115
1,1,1.1000000000,3.5783501104
1,5,1.0727254827,0.8033225101
1,8,1.1000000000,1.5649424697
1,10,1.0765914870,-0.8326527655
1,11,1.0838486533,0.7507277409
1,13,1.0724826092,0.9651090141
1,14,1.0542920055,-1.4835967720
1,4,1.0701664407,-0.2995751379
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0018831725
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_8,6,12,'BL',8.6625099442,2.1556122305,-8.5815663523,-1.9871460336
0,i_6,4,5,'BL',-48.9316555887,9.7836595131,49.2218066516,-8.8684339509
0,i_18,4,9,'BL',3.6064284950,4.7641563692,-3.6064284950,-4.6014094698
0,i_0,1,2,'BL',55.6733652509,-3.9632705969,-55.1768344741,-0.8576033382
0,i_12,9,10,'BL',-8.4934338999,7.5517071097,8.5286100641,-7.4582652400
0,i_17,4,7,'BL',-1.1394793379,2.6112045308,1.1394793379,-2.5970336421
0,i_19,5,6,'BL',-15.5460640257,23.5731733101,15.5460640257,-22.0565321214
0,i_13,9,14,'BL',3.6494437021,7.4878441248,-3.5739366741,-7.3272305599
0,i_5,3,4,'BL',-34.5791068266,8.5967956910,35.3414440545,-8.1058244199
0,i_3,2,4,'BL',27.8447296938,2.1118889470,-27.4578757680,-4.9092763801
0,i_11,7,9,'BL',20.1216539711,8.7883299629,-20.1216539711,-8.3414744971
0,i_10,7,8,'BL',-21.2611333091,-6.1912963207,21.2611333091,6.9190566004
0,i_9,6,13,'BL',22.9187259809,6.1021506235,-22.6112081655,-5.4965520473
0,i_7,6,11,'BL',19.0901792102,-0.1378079684,-18.8040979327,0.7368979464
0,i_1,1,5,'BL',27.4339693832,4.4087994922,-27.0735460583,-8.7288156009
0,i_4,2,5,'BL',16.1350728716,4.2285109475,-15.9915995530,-7.8408156096
0,i_15,12,13,'BL',3.1082596170,-0.0563668078,-3.0901382672,0.0727623148
0,i_16,13,14,'BL',14.7626046114,-0.2448831414,-14.4426983696,0.8962244524
0,i_2,2,3,'BL',58.2027454230,2.4773707896,-56.8552463565,-1.8760681744
0,i_14,10,11,'BL',-15.0336214484,2.7576404192,15.1987504545,-2.3710916294
1,i_6,4,5,'BL',-49.4092719632,9.6656721666,49.7047365328,-8.7336861720
1,i_18,4,9,'BL',3.8507664963,4.9093901927,-3.8507664963,-4.7318689166
1,i_0,1,2,'BL',55.7028862485,-3.9720458045,-55.2058266846,-0.8472136654
1,i_12,9,10,'BL',-9.0387210743,7.6224971606,9.0768578762,-7.5211906605
1,i_17,4,7,'BL',-0.7199755990,2.7559406419,0.7199755990,-2.7417702197
1,i_19,5,6,'BL',-16.0774679237,23.5461913595,16.0774679237,-21.9997584287
1,i_13,9,14,'BL',4.8642221342,7.9235398704,-4.7699939626,-7.7231039249
1,i_5,3,4,'BL',-34.4824139646,8.6765784481,35.2416695515,-8.1932049403
1,i_3,2,4,'BL',27.9339945195,2.2057398847,-27.5443266309,-4.9938784478
1,i_11,7,9,'BL',20.5468072275,9.2256899229,-20.5468072275,-8.7550929938
1,i_10,7,8,'BL',-21.2667828265,-6.4839197032,21.2667828265,7.2181860732
1,i_9,6,13,'BL',30.5445870882,8.1110456311,-29.9985703030,-7.0357681315
1,i_7,6,11,'BL',19.6683970828,-0.1349176226,-19.3647247924,0.7708453819
1,i_1,1,5,'BL',27.4138642479,4.4543549451,-27.0536319291,-8.7747085004
1,i_4,2,5,'BL',16.1064461861,4.2904971241,-15.9630396653,-7.9026885383
1,i_15,12,13,'BL',-5.4733067353,-2.0435128415,5.5407789964,2.1045591729
1,i_16,13,14,'BL',13.5190494853,-0.7374639154,-13.2466410810,1.2920978174
1,i_2,2,3,'BL',58.2068797705,2.4768071997,-56.8591929739,-1.8747136729
1,i_14,10,11,'BL',-15.5818692605,2.8205658398,15.7593773142,-2.4050390649
--end of line flow
