--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_18,8,'1 ',9.3632094908
1,l_17,6,'1 ',-3.4859192197
1,l_16,3,'1 ',24.4237579930
1,l_15,2,'1 ',15.4950417894
1,l_14,1,'1 ',2.0362490997
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,3,1.0575041612,-4.4269772914
0,5,1.0682604167,-0.6979404406
0,7,1.0851555924,-1.1407349511
0,13,1.0736880952,2.5842680107
0,12,1.0823535864,3.0751557991
0,1,1.0893400271,0.9895508600
0,9,1.0751936806,-1.9001794790
0,2,1.0790917484,-0.5800641793
0,8,1.0990406524,0.7214976994
0,11,1.0798670446,1.6375730534
0,4,1.0646358759,-1.9465487070
0,14,1.0540303073,-0.9061079929
0,10,1.0706743915,-0.9491742057
0,6,1.1000000000,4.4136023818
1,3,1.0575041612,-3.0581472144
1,5,1.0681454826,0.6749775340
1,7,1.0846075755,0.1582124088
1,13,1.0653361156,3.4274214461
1,12,1.0463192944,2.9326087330
1,1,1.0893400271,2.3588022211
1,9,1.0741482768,-0.6352885284
1,2,1.0790917484,0.7880290693
1,8,1.0990406524,2.0222050993
1,11,1.0792715710,3.0161664831
1,4,1.0643903515,-0.5873884901
1,14,1.0499109002,0.1595952289
1,10,1.0697131292,0.3504147067
1,6,1.1000000000,5.8699169949
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0032218019
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_1,1,5,'BL',16.9202375366,3.5036691554,-16.7711015794,-8.6145157924
0,i_9,6,13,'BL',32.1645615575,6.3469457155,-31.5769512498,-5.1897575857
0,i_0,1,2,'BL',54.9465759398,-1.5166266000,-54.4530798894,-3.1835629679
0,i_3,2,4,'BL',16.7009421754,1.5487052283,-16.5555372913,-5.0139216625
0,i_6,4,5,'BL',-55.9324071862,9.2097043030,56.3108706582,-8.0159142800
0,i_10,7,8,'BL',-22.0017872332,-8.1961776665,22.0017872332,9.0207938389
0,i_7,6,11,'BL',28.1553932068,-1.6097434785,-27.5311018813,2.9170875996
0,i_4,2,5,'BL',3.2204918255,3.6540103031,-3.1997044328,-7.5792635629
0,i_16,13,14,'BL',18.5883015901,-2.4617526728,-18.0669957630,3.5231512216
0,i_12,9,10,'BL',-17.8468676180,12.6565338174,17.9785878106,-12.3066326455
0,i_15,12,13,'BL',4.5872555666,-0.3564078701,-4.5473331940,0.3925281121
0,i_11,7,9,'BL',14.0574730389,9.9197491274,-14.0574730389,-9.6432076173
0,i_13,9,14,'BL',-2.6909436399,9.7439708410,2.8033001724,-9.5049734431
0,i_8,6,12,'BL',11.8439842940,2.0243357795,-11.6973273717,-1.7191018091
0,i_2,2,3,'BL',39.5459628712,1.1289640954,-38.9094081728,-3.4463752176
0,i_18,4,9,'BL',-0.1718920698,4.6426797788,0.1718920698,-4.5432324670
0,i_17,4,7,'BL',-7.9443141943,1.8409259946,7.9443141943,-1.7235714609
0,i_5,3,4,'BL',-25.9860920269,5.6728178571,26.4151769993,-6.0187912115
0,i_14,10,11,'BL',-24.6045955512,5.9998149838,25.0636686130,-4.9251755813
0,i_19,5,6,'BL',-44.5730167047,23.0025945088,44.5730167047,-18.1764391009
1,i_1,1,5,'BL',16.8997693005,3.5637555413,-16.7505954492,-8.6738417052
1,i_9,6,13,'BL',42.6241117243,8.4432873515,-41.5918961899,-6.4105327381
1,i_0,1,2,'BL',54.9831531854,-1.5275064417,-54.4890061802,-3.1706956651
1,i_3,2,4,'BL',16.8346756486,1.6572804963,-16.6866444317,-5.1136393550
1,i_6,4,5,'BL',-56.5937173058,9.1053728149,56.9808989880,-7.8840828796
1,i_10,7,8,'BL',-22.0114526389,-8.5287928068,22.0114526389,9.3632094908
1,i_7,6,11,'BL',28.9442990085,-1.6177694442,-28.2846278824,2.9992032932
1,i_4,2,5,'BL',3.1910122928,3.7348805749,-3.1698657434,-7.6586124614
1,i_16,13,14,'BL',16.8351360331,-3.0241212047,-16.3945096479,3.9212533323
1,i_12,9,10,'BL',-18.5636535636,12.8273837741,18.7040259890,-12.4544988340
1,i_15,12,13,'BL',-7.1100718051,-2.0755096792,7.2207773031,2.1756717965
1,i_11,7,9,'BL',14.6661334855,10.4135618129,-14.6661334855,-10.1110015905
1,i_13,9,14,'BL',-1.0162519086,10.1467645931,1.1308140573,-9.9030755538
1,i_2,2,3,'BL',39.5388494577,1.1301552431,-38.9025182396,-3.4485078931
1,i_18,4,9,'BL',0.1773532693,4.7980366396,-0.1773532693,-4.6917738769
1,i_17,4,7,'BL',-7.3453191534,1.9869955429,7.3453191534,-1.8847690061
1,i_5,3,4,'BL',-25.8343082161,5.7602200800,26.2593538794,-6.1161684401
1,i_14,10,11,'BL',-25.3300337296,6.1476811723,25.8171946141,-5.0072912748
1,i_19,5,6,'BL',-45.2933898541,23.0094379196,45.2933898541,-18.0574284512
--end of line flow
