--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_15,2,'1 ',13.2173029196
1,l_18,8,'1 ',1.5044389575
1,l_17,6,'1 ',3.6758622192
1,l_16,3,'1 ',29.2378733852
1,l_14,1,'1 ',-2.0002206082
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,10,1.0549374842,22.2184577886
0,4,1.0482504585,21.1078989541
0,5,1.0537747140,22.4843215848
0,1,1.0698847640,24.0747469985
0,6,1.1000000000,27.3800772241
0,13,1.0769672736,25.7791655048
0,7,1.0629773611,22.1450602358
0,11,1.0710947297,24.6491214280
0,12,1.0855525073,26.2960875363
0,3,1.0344729404,17.0517810049
0,8,1.0644423396,24.0574659594
0,2,1.0669448063,23.5377301539
0,14,1.0513277008,22.7219935409
0,9,1.0579354852,21.4963260665
1,10,1.0541754626,-0.2804909214
1,4,1.0480602291,-1.3445250502
1,5,1.0536888999,0.0434575973
1,1,1.0698847640,1.6300259443
1,6,1.1000000000,5.0099841725
1,13,1.0702574916,2.9143238421
1,7,1.0625453224,-0.3554502033
1,11,1.0706221502,2.2154617506
1,12,1.0563987571,2.6471128808
1,3,1.0344729404,-5.3948869836
1,8,1.0644423396,1.5582336482
1,2,1.0669448063,1.0919158676
1,14,1.0480365262,0.0354668572
1,9,1.0571065012,-1.0312387195
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0018675826
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_8,6,12,'BL',9.6322813920,1.6679979121,-9.5352098554,-1.4659649629
0,i_0,1,2,'BL',17.9272765118,-3.4929870952,-17.8728252179,-2.3679500865
0,i_14,10,11,'BL',-24.1141096757,1.9562531737,24.5456450804,-0.9460763891
0,i_2,2,3,'BL',64.3526846165,3.3011082477,-62.6293826529,-0.8774226433
0,i_9,6,13,'BL',28.1927873787,5.4877403744,-27.7417927763,-4.5995912157
0,i_19,5,6,'BL',-42.1170585110,15.5555558333,42.1170585110,-11.5815961923
0,i_17,4,7,'BL',-9.8617637924,4.6269987712,9.8617637924,-4.4109955034
0,i_1,1,5,'BL',15.0644775078,1.4573225673,-14.9487387792,-6.5270767927
0,i_3,2,4,'BL',27.7900391013,0.7885839680,-27.3920258484,-3.3841545014
0,i_7,6,11,'BL',29.4606234529,2.5903514527,-28.7740685649,-1.1526196436
0,i_12,9,10,'BL',-13.3076842288,8.8680563209,13.3803682032,-8.6749788032
0,i_16,13,14,'BL',17.3017877921,-0.1004453448,-16.8606138235,0.9986923733
0,i_4,2,5,'BL',13.1585488439,1.9114473736,-13.0643927425,-5.5144149305
0,i_11,7,9,'BL',11.5740644444,4.9372635427,-11.5740644444,-4.7831067950
0,i_18,4,9,'BL',-1.3949822382,4.6436858607,1.3949822382,-4.5319528195
0,i_6,4,5,'BL',-60.9996427247,6.3438067889,61.4566021140,-4.9024165355
0,i_10,7,8,'BL',-21.4358282369,-0.5262680393,21.4358282369,1.2430331275
0,i_15,12,13,'BL',4.7068165310,-0.5158079946,-4.6647852666,0.5538362815
0,i_13,9,14,'BL',-6.1747343339,5.5824368554,6.2534276482,-5.4150456328
0,i_5,3,4,'BL',-41.1701675673,8.7004721815,42.2866944071,-7.2388909509
1,i_0,1,2,'BL',17.9606210354,-3.5035630984,-17.9059654294,-2.3567502884
1,i_14,10,11,'BL',-24.7001952173,2.0823348630,25.1538539385,-1.0203698348
1,i_2,2,3,'BL',64.3607091118,3.3001419791,-62.6369854231,-0.8746796367
1,i_9,6,13,'BL',36.6556181840,7.1056071523,-35.8934586598,-5.6046771263
1,i_19,5,6,'BL',-42.7208905958,15.5653771323,42.7208905958,-11.4891612479
1,i_17,4,7,'BL',-9.3990559504,4.7397651494,9.3990559504,-4.5379887120
1,i_1,1,5,'BL',15.0404708973,1.5033424902,-14.9248866602,-6.5732895770
1,i_3,2,4,'BL',27.8866846714,0.8748461846,-27.4856809675,-3.4606650300
1,i_7,6,11,'BL',30.0986107818,2.5784178496,-29.3822774230,-1.0783261979
1,i_12,9,10,'BL',-13.8884461239,9.0082797309,13.9664537449,-8.8010604925
1,i_16,13,14,'BL',15.9063489580,-0.5720864154,-15.5283033745,1.3418016436
1,i_4,2,5,'BL',13.1225030601,1.9748761522,-13.0285725758,-5.5782196940
1,i_11,7,9,'BL',12.0423750344,5.3241725295,-12.0423750344,-5.1552450944
1,i_18,4,9,'BL',-1.1240418724,4.7642220799,1.1240418724,-4.6503019443
1,i_6,4,5,'BL',-61.5357670827,6.2689567894,62.0007619132,-4.8022202867
1,i_10,7,8,'BL',-21.4414309848,-0.7861838175,21.4414309848,1.5044389575
1,i_15,12,13,'BL',-4.8283933244,-1.9817729575,4.8823194510,2.0305632626
1,i_13,9,14,'BL',-4.8547214831,5.8993874870,4.9211171992,-5.7581549031
1,i_5,3,4,'BL',-41.0705863523,8.7717264193,42.1828256764,-7.3208330202
--end of line flow
