--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_17,6,'1 ',-8.2275032346
1,l_16,3,'1 ',22.1516147633
1,l_18,8,'1 ',7.8285299686
1,l_15,2,'1 ',18.1217014770
1,l_14,1,'1 ',1.8445603583
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,1,1.0934512180,0.5551549677
0,8,1.1000000000,0.5193028994
0,11,1.0813236534,0.8256225948
0,9,1.0783806895,-2.0204497343
0,3,1.0620793309,-4.9457645576
0,5,1.0729639390,-0.7290351187
0,4,1.0704380342,-1.7801935240
0,6,1.1000000000,3.3359580451
0,10,1.0743211623,-1.3649172602
0,13,1.0771366272,1.7426372427
0,14,1.0592057577,-1.4012154454
0,2,1.0871972040,-0.3787022800
0,7,1.0883972348,-1.2161673546
0,12,1.0858537040,2.2483721875
1,1,1.0934512180,0.2012212356
1,8,1.1000000000,0.1118859397
1,11,1.0808596620,0.4819629314
1,9,1.0775524332,-2.4557057880
1,3,1.0620793309,-5.3013837628
1,5,1.0728812293,-1.0792845262
1,4,1.0702489319,-2.1415838383
1,6,1.1000000000,3.0557554250
1,10,1.0735660465,-1.7724083755
1,13,1.0705416534,0.9672800258
1,14,1.0559401090,-1.9963629175
1,2,1.0871972040,-0.7336870389
1,7,1.0879634013,-1.6247707620
1,12,1.0570936196,0.6784789162
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0019524835
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_10,7,8,'BL',-20.5838020938,-6.8573630433,20.5838020938,7.5573130110
0,i_0,1,2,'BL',33.0701199936,-2.1637950866,-32.8926938468,-3.5714486762
0,i_8,6,12,'BL',9.6077456191,1.5508485119,-9.5115366414,-1.3506107886
0,i_16,13,14,'BL',16.8761672798,-2.2456621733,-16.4491484375,3.1150888246
0,i_2,2,3,'BL',47.4816350465,1.7872450266,-46.5777502875,-3.0380792753
0,i_3,2,4,'BL',17.6924058620,2.6909242011,-17.5276552489,-6.1483504948
0,i_7,6,11,'BL',25.5687550348,-1.3070616436,-25.0542384554,2.3845237159
0,i_5,3,4,'BL',-33.2409999634,8.1256061682,33.9439097930,-7.7868295118
0,i_15,12,13,'BL',4.6921981518,-0.4277422815,-4.6506033320,0.4653756899
0,i_1,1,5,'BL',13.4638501732,3.9731916206,-13.3603281839,-9.3191873351
0,i_19,5,6,'BL',-35.6204725815,24.6750392488,35.6204725815,-21.1046373355
0,i_13,9,14,'BL',-0.7851955232,8.0415144949,0.8565518014,-7.8897301310
0,i_12,9,10,'BL',-12.0011756118,9.7883018175,12.0667809805,-9.6140278892
0,i_18,4,9,'BL',0.8981423997,5.2260832638,-0.8981423997,-5.0979288757
0,i_6,4,5,'BL',-47.1838142267,8.9966718197,47.4526291119,-8.1487471142
0,i_14,10,11,'BL',-20.8057063116,5.4131682073,21.1342712989,-4.6440338123
0,i_17,4,7,'BL',-5.6076919309,3.2308561591,5.6076919309,-3.1577415338
0,i_11,7,9,'BL',14.9761101629,10.0151045771,-14.9761101629,-9.7136739686
0,i_4,2,5,'BL',6.3407453543,4.7903849411,-6.2988636451,-8.6990329296
0,i_9,6,13,'BL',28.0411387259,5.4184411024,-27.5952194091,-4.5402867654
1,i_10,7,8,'BL',-20.5896595442,-7.1221540596,20.5896595442,7.8285299686
1,i_0,1,2,'BL',33.1035777856,-2.1741525374,-32.9257960841,-3.5600056645
1,i_16,13,14,'BL',15.4791630972,-2.6765915445,-15.1111179446,3.4259455140
1,i_2,2,3,'BL',47.4878453258,1.7862852669,-46.5837294374,-3.0361457619
1,i_3,2,4,'BL',17.7915534988,2.7766230127,-17.6246735981,-6.2269003504
1,i_7,6,11,'BL',26.2092842985,-1.3272075824,-25.6686926328,2.4592741470
1,i_5,3,4,'BL',-33.1388610020,8.1991459489,33.8385194151,-7.8684088235
1,i_15,12,13,'BL',-4.8193384896,-1.7783530700,4.8715088545,1.8255548288
1,i_1,1,5,'BL',13.4401547986,4.0187128957,-13.3366354838,-9.3642830450
1,i_19,5,6,'BL',-36.2304242394,24.6765200249,36.2304242394,-21.0220813917
1,i_13,9,14,'BL',0.5584068807,8.3642233855,-0.4814786915,-8.2005868204
1,i_12,9,10,'BL',-12.5915553988,9.9209204771,12.6619553763,-9.7339101626
1,i_18,4,9,'BL',1.1731607942,5.3522179931,-1.1731607942,-5.2153377874
1,i_6,4,5,'BL',-47.7287706660,8.9098312378,48.0035276504,-8.0431633270
1,i_14,10,11,'BL',-21.4008807074,5.5330504807,21.7487254763,-4.7187842434
1,i_17,4,7,'BL',-5.1353451589,3.3516911791,5.1353451589,-3.2860229342
1,i_11,7,9,'BL',15.4543143853,10.4081769938,-15.4543143853,-10.0855202440
1,i_4,2,5,'BL',6.3055868617,4.8532773627,-6.2635032257,-8.7610017831
1,i_9,6,13,'BL',36.4740621582,6.9538755393,-35.7203274130,-5.4695365330
--end of line flow
