--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_18,8,'1 ',6.4298607490
1,l_16,3,'1 ',22.4519458321
1,l_14,1,'1 ',0.8921585176
1,l_17,6,'1 ',-6.8673241486
1,l_15,2,'1 ',18.6964524880
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,6,1.1000000000,2.6707908421
0,5,1.0696472224,0.8865914774
0,10,1.0782447762,-1.4977861435
0,2,1.0863740199,2.0944759517
0,3,1.0658842249,-1.6258860998
0,13,1.0800726306,1.2157199103
0,14,1.0619129347,-1.9375612053
0,8,1.1000000000,-0.8636667449
0,4,1.0675669395,-0.1078842965
0,1,1.0924482862,3.0427145913
0,11,1.0840248501,0.4672056421
0,7,1.0901521401,-1.2600538357
0,9,1.0835050044,-2.1219956077
0,12,1.0868884223,1.6874146032
1,6,1.1000000000,2.9064162651
1,5,1.0695713351,1.0587432529
1,10,1.0775266096,-1.3780676159
1,2,1.0863740199,2.2623219841
1,3,1.0658842249,-1.4587018554
1,13,1.0739829444,1.0048995940
1,14,1.0588615468,-1.9877208893
1,8,1.1000000000,-0.7445774732
1,4,1.0673845148,0.0542749992
1,1,1.0924482862,3.2115224711
1,11,1.0835917343,0.6449301624
1,7,1.0897296004,-1.1415540327
1,9,1.0827102573,-2.0275478246
1,12,1.0604225043,0.7686385580
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0017251630
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_9,6,13,'BL',25.3229875763,4.2619578371,-24.9624875792,-3.5520208058
0,i_4,2,5,'BL',15.8580703609,3.3634617472,-15.7226233681,-6.9710462554
0,i_5,3,4,'BL',-15.5564428378,4.5527468938,15.7156233558,-5.6029869065
0,i_19,5,6,'BL',-15.5967061121,21.9607882084,15.5967061121,-20.5726167643
0,i_3,2,4,'BL',26.3900624414,1.3698624843,-26.0415456651,-4.2562201174
0,i_12,9,10,'BL',-10.9416659369,10.9459868614,11.0065697519,-10.7735765386
0,i_15,12,13,'BL',4.0301531083,-0.7282507729,-3.9987868673,0.7566297529
0,i_13,9,14,'BL',2.2104500797,7.6157162561,-2.1423627222,-7.4708853244
0,i_8,6,12,'BL',8.7444515850,1.5054213075,-8.6644770681,-1.3389720262
0,i_7,6,11,'BL',22.3789141580,-1.4082669336,-21.9842377100,2.2347687814
0,i_0,1,2,'BL',33.3762508612,-2.5929191461,-33.1953051180,-3.1210674644
0,i_2,2,3,'BL',38.7323748589,0.6984038077,-38.1307800486,-3.2366061483
0,i_6,4,5,'BL',-44.1685077849,9.1371605365,44.4068031487,-8.3855037747
0,i_11,7,9,'BL',16.1519433638,6.7085226156,-16.1519433638,-6.4253686933
0,i_16,13,14,'BL',17.0326956473,-2.2308102398,-16.6003155091,3.1111526939
0,i_18,4,9,'BL',7.5432461586,3.7408038575,-7.5432461586,-3.4159535911
0,i_14,10,11,'BL',-18.6892142666,5.0968333227,18.9540528581,-4.4768753913
0,i_1,1,5,'BL',21.2586466714,3.4532231300,-21.0355668334,-8.2827999391
0,i_10,7,8,'BL',-4.7096707905,-6.0783179162,4.7096707905,6.1659561703
0,i_17,4,7,'BL',11.4422725733,0.8612841179,-11.4422725733,-0.6302046995
1,i_9,6,13,'BL',32.9932438267,5.7144943362,-32.3802850338,-4.5073871260
1,i_4,2,5,'BL',15.8255331313,3.4204643484,-15.6902846678,-7.0283741598
1,i_5,3,4,'BL',-15.4651949279,4.6291026739,15.6231848739,-5.6821321308
1,i_19,5,6,'BL',-16.1502306102,21.9397369753,16.1502306102,-20.5195101619
1,i_3,2,4,'BL',26.4791373122,1.4553333398,-26.1280140446,-4.3331201432
1,i_12,9,10,'BL',-11.4883279964,11.0553601242,11.5573073732,-10.8721234897
1,i_15,12,13,'BL',-4.6343239598,-2.0672227991,4.6849134863,2.1129942755
1,i_13,9,14,'BL',3.4356126472,7.9349483233,-3.3545418894,-7.7624999597
1,i_7,6,11,'BL',22.9664350612,-1.4258783756,-22.5508070819,2.2962553506
1,i_0,1,2,'BL',33.4068208840,-2.6023742552,-33.2255453157,-3.1106053507
1,i_2,2,3,'BL',38.7388555126,0.6973039768,-38.1370636803,-3.2346762588
1,i_6,4,5,'BL',-44.6629259426,9.0329080543,44.9062271673,-8.2654612700
1,i_11,7,9,'BL',16.5840108189,7.0813992690,-16.5840108189,-6.7801592544
1,i_16,13,14,'BL',15.7667927483,-2.6318084421,-15.3881363418,3.4027673293
1,i_18,4,9,'BL',7.7896792117,3.8692400176,-7.7896792117,-3.5224786320
1,i_14,10,11,'BL',-19.2399518879,5.1953802739,19.5206222299,-4.5383619606
1,i_1,1,5,'BL',21.2367024636,3.4945327728,-21.0138050542,-8.3244633063
1,i_10,7,8,'BL',-4.7148462795,-6.3373123206,4.7148462795,6.4298607490
1,i_17,4,7,'BL',11.8691645393,0.9931456899,-11.8691645393,-0.7440869484
--end of line flow
