--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_17,6,'1 ',-1.9512948538
1,l_15,2,'1 ',19.9711075326
1,l_16,3,'1 ',18.7551118746
1,l_18,8,'1 ',11.1940913570
1,l_14,1,'1 ',1.9207378798
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,5,1.0677066258,-34.5710575635
0,6,1.1000000000,-30.1852886431
0,7,1.0825715804,-36.2497168577
0,12,1.0845357387,-31.3162331222
0,14,1.0521221578,-35.4061673283
0,1,1.0893558490,-32.9637275007
0,2,1.0825265869,-33.9887870252
0,10,1.0645341745,-35.7797582120
0,4,1.0640306838,-35.7501272338
0,3,1.0631809730,-37.4010393526
0,8,1.1000000000,-35.9622434321
0,9,1.0689130457,-36.7019724231
0,11,1.0759059627,-33.1725166573
0,13,1.0754748625,-31.7694525365
1,5,1.0676088872,-2.2981287996
1,6,1.1000000000,2.1615067200
1,7,1.0820878726,-4.0397910453
1,12,1.0534908251,-0.2996854677
1,14,1.0485744684,-3.3912013352
1,1,1.0893558490,-0.6947213071
1,2,1.0825265869,-1.7208899970
1,10,1.0636921541,-3.5680371753
1,4,1.0638160179,-3.4890235549
1,3,1.0631809730,-5.1336501620
1,8,1.1000000000,-3.7516416388
1,9,1.0679972275,-4.5202355598
1,11,1.0753833065,-0.8925382339
1,13,1.0682731430,0.0617565644
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0021522255
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_5,3,4,'BL',-16.6061234378,5.5292432183,16.7927792990,-6.5008500630
0,i_8,6,12,'BL',10.1095330559,1.8832167506,-10.0021146283,-1.6596490346
0,i_12,9,10,'BL',-17.0996649929,12.1508050897,17.2221750294,-11.8253697522
0,i_6,4,5,'BL',-52.9557591289,8.0712958069,53.2941143407,-7.0040195544
0,i_17,4,7,'BL',4.9109060191,2.8278724171,-4.9109060191,-2.7711365785
0,i_0,1,2,'BL',36.0133068553,-2.0363112919,-35.8013035165,-3.5430095676
0,i_16,13,14,'BL',19.7298603113,-1.8189832742,-19.1497085597,3.0001943699
0,i_3,2,4,'BL',21.5793891492,2.5602010138,-21.3381976295,-5.7452094380
0,i_14,10,11,'BL',-24.9935308034,4.9914910822,25.4638576251,-3.8905078691
0,i_10,7,8,'BL',-3.3918755455,-10.7025387318,3.3918755455,10.8919951577
0,i_19,5,6,'BL',-38.2377758418,22.1962171813,38.2377758418,-18.4424685396
0,i_2,2,3,'BL',35.3656081007,0.6483906385,-34.8599413525,-3.5598609962
0,i_4,2,5,'BL',8.8400118345,4.3381572989,-8.7823431778,-8.1616030555
0,i_15,12,13,'BL',4.5327376329,-0.0752396721,-4.4941375616,0.1101635462
0,i_13,9,14,'BL',-5.1068642216,9.1452539818,5.2289215531,-8.8856216847
0,i_1,1,5,'BL',16.2829241151,3.9152361611,-16.1409422106,-9.0527901944
0,i_9,6,13,'BL',28.4594035594,6.6046777323,-27.9927675630,-5.6857257859
0,i_11,7,9,'BL',8.3027815646,13.4736753103,-8.3027815646,-13.2385576629
0,i_7,6,11,'BL',30.7464983536,-0.5487280462,-30.0042035431,2.1031862249
0,i_18,4,9,'BL',3.5057512280,5.7857770264,-3.5057512280,-5.5746747585
1,i_5,3,4,'BL',-16.4953258616,5.6171346354,16.6804636665,-6.5923236872
1,i_12,9,10,'BL',-17.7131625329,12.2949576585,17.8428218169,-11.9505310787
1,i_6,4,5,'BL',-53.5279481901,7.9705220368,53.8734366541,-6.8807453163
1,i_17,4,7,'BL',5.4104527266,2.9693320560,-5.4104527266,-2.9020110786
1,i_0,1,2,'BL',36.0483492607,-2.0470981731,-35.8359373723,-3.5309753242
1,i_16,13,14,'BL',18.2420732661,-2.3286157928,-17.7355239433,3.3599695360
1,i_3,2,4,'BL',21.6854254534,2.6593723908,-21.4415064105,-5.8353283210
1,i_14,10,11,'BL',-25.6141775910,5.1166524087,26.1089443872,-3.9584579109
1,i_10,7,8,'BL',-3.3983322221,-10.9948579293,3.3983322221,11.1940913570
1,i_19,5,6,'BL',-38.8769399388,22.1962255011,38.8769399388,-18.3471232329
1,i_2,2,3,'BL',35.3705464091,0.6475252060,-34.8647418209,-3.5584148404
1,i_4,2,5,'BL',8.8045633631,4.4100230219,-8.7467515317,-8.2326705813
1,i_15,12,13,'BL',-5.4693769953,-1.7348887067,5.5349137760,1.7941838891
1,i_13,9,14,'BL',-3.6990965303,9.4913794887,3.8147369367,-9.2453968508
1,i_1,1,5,'BL',16.2586428374,3.9678360530,-16.1166920731,-9.1050052265
1,i_9,6,13,'BL',37.3349891505,8.4374485586,-36.5340318553,-6.8601136102
1,i_11,7,9,'BL',8.8087849487,13.8968690079,-8.8087849487,-13.6425237215
1,i_7,6,11,'BL',31.4246804611,-0.5473722953,-30.6492903052,2.1711362667
1,i_18,4,9,'BL',3.7940179953,5.9266836649,-3.7940179953,-5.6981701777
--end of line flow
