--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_18,8,'1 ',2.9748628360
1,l_17,6,'1 ',0.9067088462
1,l_15,2,'1 ',19.5123551177
1,l_16,3,'1 ',31.6976440003
1,l_14,1,'1 ',-1.4384885319
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,9,1.0690323153,2.2360823509
0,7,1.0753479420,2.9665934631
0,8,1.0796946779,3.0975982273
0,10,1.0651101100,2.7179201002
0,4,1.0587881925,4.1827726649
0,13,1.0791046332,5.4018148338
0,14,1.0542939634,2.7837974648
0,12,1.0846294123,5.5966780865
0,1,1.0844633347,7.6420238668
0,5,1.0626627249,5.3321584838
0,3,1.0491887938,0.5556020287
0,2,1.0848872144,7.6009139761
0,6,1.1000000000,6.6587783378
0,11,1.0778264589,4.5214479869
1,9,1.0680811646,-2.0764167060
1,7,1.0748440872,-1.3188091388
1,8,1.0796946779,-1.1871421801
1,10,1.0642590770,-1.5668818025
1,4,1.0585736567,-0.0535532769
1,13,1.0719051528,0.7583607319
1,14,1.0506672181,-1.6846257037
1,12,1.0540406828,0.2013915968
1,1,1.0844633347,3.4132674965
1,5,1.0625698286,1.1065474511
1,3,1.0491887938,-3.6741988237
1,2,1.0848872144,3.3712026872
1,6,1.1000000000,2.4997253095
1,11,1.0773224723,0.2999776066
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0023026960
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_9,6,13,'BL',23.1022301628,6.1321945994,-22.7898945476,-5.5171082715
0,i_3,2,4,'BL',40.1549155076,1.9827713009,-39.3509960517,-3.4501039867
0,i_14,10,11,'BL',-18.3485427843,1.0826056131,18.5928869620,-0.5106228441
0,i_0,1,2,'BL',1.0587941464,-4.2279598922,-1.0584015531,-1.9828696760
0,i_13,9,14,'BL',-1.0125427753,6.3223295826,1.0581413344,-6.2253353383
0,i_11,7,9,'BL',13.3229410641,6.2584598991,-13.3229410641,-6.0523347163
0,i_18,4,9,'BL',7.1343014459,4.7631921219,-7.1343014459,-4.4203916342
0,i_4,2,5,'BL',27.9596792691,3.1925596718,-27.5681918597,-5.9870504614
0,i_1,1,5,'BL',22.1916706934,2.7508005556,-21.9507883814,-7.4274892856
0,i_5,3,4,'BL',-37.1807776360,9.2753210890,38.0829357519,-8.3947087723
0,i_12,9,10,'BL',-8.2734871144,8.1242884196,8.3109117712,-8.0248736600
0,i_16,13,14,'BL',15.2091938794,0.5642477591,-14.8691766724,0.1280402440
0,i_2,2,3,'BL',72.1315264256,4.2055456484,-70.0359177646,-0.3650284508
0,i_10,7,8,'BL',-1.5070629741,-2.6518413688,1.5070629741,2.6660132072
0,i_6,4,5,'BL',-51.3528569134,7.0759479290,51.6728647696,-6.0665448709
0,i_15,12,13,'BL',2.3896194374,0.3601959953,-2.3786524644,-0.3502734960
0,i_19,5,6,'BL',-11.5218512917,18.3190087795,11.5218512917,-17.4111121898
0,i_7,6,11,'BL',23.0325352475,1.6789399523,-22.6139038198,-0.8022733808
0,i_8,6,12,'BL',9.6350584484,2.0601920271,-9.5364473063,-1.8549547295
0,i_17,4,7,'BL',11.8158780900,3.8826232328,-11.8158780900,-3.6066185303
1,i_9,6,13,'BL',31.6120686522,8.0889492563,-31.0299738098,-6.9426227995
1,i_3,2,4,'BL',40.2560292828,2.0857026375,-39.4476854285,-3.5388383878
1,i_14,10,11,'BL',-18.9460486639,1.1719449716,19.2070722281,-0.5609175984
1,i_0,1,2,'BL',1.0887297961,-4.2377406872,-1.0883229728,-1.9730454346
1,i_13,9,14,'BL',0.3279509248,6.7345536205,-0.2772964888,-6.6268048486
1,i_11,7,9,'BL',13.7983317148,6.6988877690,-13.7983317148,-6.4748578605
1,i_18,4,9,'BL',7.4052529638,4.9151154791,-7.4052529638,-4.5469639887
1,i_4,2,5,'BL',27.9313689601,3.2578707625,-27.5403146288,-6.0533422809
1,i_1,1,5,'BL',22.1732485236,2.7992521552,-21.9324893521,-7.4759635503
1,i_5,3,4,'BL',-37.0665502226,9.3572360799,37.9645449330,-8.4869593265
1,i_12,9,10,'BL',-8.8676386459,8.2225382595,8.9084176508,-8.1142130185
1,i_16,13,14,'BL',13.8177842814,0.0488175803,-13.5337388493,0.5295097543
1,i_2,2,3,'BL',72.1323956028,4.2054495795,-70.0367374008,-0.3647236644
1,i_10,7,8,'BL',-1.5139710620,-2.9580269255,1.5139710620,2.9748628360
1,i_6,4,5,'BL',-51.8772107983,6.9482858946,52.2035837466,-5.9188053814
1,i_15,12,13,'BL',-7.1468278689,-1.4947587342,7.2528363957,1.5906712108
1,i_19,5,6,'BL',-12.0987465289,18.2860353741,12.0987465289,-17.3538998297
1,i_7,6,11,'BL',23.6700894385,1.6775826498,-23.2280890859,-0.7519786265
1,i_17,4,7,'BL',12.2843606528,4.0393468653,-12.2843606528,-3.7408608435
--end of line flow
