--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',19.7055851825
1,l_18,8,'1 ',6.5112530782
1,l_15,2,'1 ',9.7615301950
1,l_17,6,'1 ',2.1863149471
1,l_14,1,'1 ',-1.8699911987
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,8,1.0876929956,2.1988731612
0,14,1.0568936492,0.1035188458
0,10,1.0682327020,0.2974733939
0,9,1.0725232714,-0.3846338804
0,11,1.0790550809,2.3356754092
0,5,1.0570766860,0.9118849971
0,3,1.0437661920,-2.8216794878
0,7,1.0781098787,0.4482603225
0,2,1.0664453001,1.5130936927
0,1,1.0705734184,2.1755018318
0,4,1.0544947673,-0.0731141072
0,6,1.1000000000,4.7288290064
0,13,1.0775683094,3.3210838423
0,12,1.0853650288,3.6898398188
1,8,1.0876929956,1.0696101322
1,14,1.0534987854,-1.2065092380
1,10,1.0674399850,-0.8318067212
1,9,1.0716468672,-1.5413487284
1,11,1.0785767949,1.2689006493
1,5,1.0569899076,-0.1610523565
1,3,1.0437661920,-3.8997805430
1,7,1.0776518291,-0.6822497015
1,2,1.0664453001,0.4355061358
1,1,1.0705734184,1.0989456932
1,4,1.0542993908,-1.1569855546
1,6,1.1000000000,3.7238036966
1,13,1.0707582979,1.8429809299
1,12,1.0562052425,1.4735703876
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0019451046
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_3,2,4,'BL',18.1465215236,-0.4414903963,-17.9771321437,-2.8682908046
0,i_2,2,3,'BL',43.3382601698,1.0479782369,-42.5570693891,-2.6333927292
0,i_8,6,12,'BL',9.3620967536,1.8716262872,-9.2695060698,-1.6789192429
0,i_7,6,11,'BL',24.9981399116,0.1666227025,-24.5075919474,0.8606460917
0,i_19,5,6,'BL',-32.9549105317,16.4907352474,32.9549105317,-13.8303522073
0,i_5,3,4,'BL',-28.7253723151,4.7503033049,29.2511586197,-4.8172364914
0,i_17,4,7,'BL',-5.0581782670,0.0774764579,5.0581782670,-0.0314429384
0,i_6,4,5,'BL',-43.0988626496,7.5891587483,43.3287872905,-6.8639058175
0,i_9,6,13,'BL',25.5288071782,6.2526373514,-25.1511423572,-5.5088974236
0,i_0,1,2,'BL',22.3935761112,-2.7623339281,-22.3087698597,-3.0070032496
0,i_11,7,9,'BL',15.2788088007,5.5859895509,-15.2788088007,-5.3355111675
0,i_15,12,13,'BL',3.8074217758,0.0375991139,-3.7802331214,-0.0129998552
0,i_1,1,5,'BL',12.0795377053,0.8560450487,-12.0043827587,-6.1141045102
0,i_4,2,5,'BL',7.8539647889,1.2417678783,-7.8179189619,-5.0323724827
0,i_14,10,11,'BL',-20.0876406976,2.9418185582,20.3840014587,-2.2480707045
0,i_13,9,14,'BL',-0.5323752079,6.4653363197,0.5788784518,-6.3664176895
0,i_10,7,8,'BL',-20.3369870677,-5.5545466125,20.3369870677,6.2281055087
0,i_16,13,14,'BL',17.5349457262,-1.6949618418,-17.0780926782,2.6251320736
0,i_18,4,9,'BL',1.1409663975,3.0762824316,-1.1409663975,-3.0257231544
0,i_12,9,10,'BL',-12.3103814496,10.1761619986,12.3809254814,-9.9887690189
1,i_3,2,4,'BL',18.2423246565,-0.3529992677,-18.0710151263,-2.9502553107
1,i_2,2,3,'BL',43.3431025162,1.0472097639,-42.5617405582,-2.6319030818
1,i_7,6,11,'BL',25.6255092934,0.1585084078,-25.1100333264,0.9209627423
1,i_19,5,6,'BL',-33.5376083676,16.4868861467,33.5376083676,-13.7503975695
1,i_5,3,4,'BL',-28.6249047422,4.8269334566,29.1476641793,-4.9013284482
1,i_17,4,7,'BL',-4.6029094463,0.2066641526,4.6029094464,-0.1684623044
1,i_6,4,5,'BL',-43.6221343241,7.4929780592,43.8574200717,-6.7508145515
1,i_9,6,13,'BL',33.7562095191,8.0376824839,-33.0979426572,-6.7413495420
1,i_0,1,2,'BL',22.4250625346,-2.7722448223,-22.3400185316,-2.9963664651
1,i_11,7,9,'BL',15.7399129352,6.0004323545,-15.7399129352,-5.7316435615
1,i_15,12,13,'BL',-5.4620842940,-1.6413201290,5.5265011787,1.6996020724
1,i_1,1,5,'BL',12.0577768052,0.9022536236,-11.9827083315,-6.1602187525
1,i_4,2,5,'BL',7.8215249697,1.3050629867,-7.7855283344,-5.0955004057
1,i_14,10,11,'BL',-20.6720468578,3.0443536666,20.9864428377,-2.3083873551
1,i_13,9,14,'BL',0.7737004667,6.8363648450,-0.7213097810,-6.7249228373
1,i_10,7,8,'BL',-20.3428223816,-5.8319700501,20.3428223816,6.5112530782
1,i_16,13,14,'BL',16.1750117259,-2.1751116509,-15.7779044454,2.9836372214
1,i_18,4,9,'BL',1.4063466744,3.2093318889,-1.4063466744,-3.1516487061
1,i_12,9,10,'BL',-12.8899727128,10.2914873867,12.9653316416,-10.0913041273
--end of line flow
