--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',21.7958105494
1,l_14,1,'1 ',2.7888434122
1,l_15,2,'1 ',18.0937940182
1,l_18,8,'1 ',9.3988123286
1,l_17,6,'1 ',-8.0427350782
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,9,1.0725378327,-15.1551724682
0,4,1.0697935806,-14.6703588679
0,5,1.0735305431,-13.4540166367
0,10,1.0686191291,-14.2436808882
0,13,1.0760304625,-10.5937282575
0,6,1.1000000000,-8.8704489308
0,11,1.0786955917,-11.6767019212
0,12,1.0837314069,-10.2311246426
0,14,1.0552609644,-13.9424902524
0,3,1.0640479978,-17.6118697141
0,1,1.0958895386,-12.1143716499
0,8,1.1000000000,-13.4426985678
0,2,1.0892393158,-13.0949064438
0,7,1.0856400735,-14.5318713514
1,9,1.0716037546,-1.6891667614
1,4,1.0695645711,-1.1107244815
1,5,1.0734271819,0.1192028801
1,10,1.0677518319,-0.7433781231
1,13,1.0683028993,2.4397555268
1,6,1.1000000000,4.7853473275
1,11,1.0781491039,1.9018812790
1,12,1.0494878685,1.7614061221
1,14,1.0514963391,-0.6784465619
1,3,1.0640479978,-4.0426683875
1,1,1.0958895386,1.4553230953
1,8,1.1000000000,0.0582137139
1,2,1.0892393158,0.4736608999
1,7,1.0851456116,-1.0322535152
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0031457682
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_0,1,2,'BL',34.9089472291,-1.9920157581,-34.7120731962,-3.7096774492
0,i_7,6,11,'BL',28.6433807926,-1.1803445274,-27.9982731189,2.5312806854
0,i_12,9,10,'BL',-17.2021444268,11.6212893293,17.3213189964,-11.3047143174
0,i_5,3,4,'BL',-30.5253612031,8.5376642179,31.1276279369,-8.4575555707
0,i_8,6,12,'BL',11.7725254735,1.4706177735,-11.6295485646,-1.1730429377
0,i_14,10,11,'BL',-24.5388002123,5.4786687742,24.9930194955,-4.4153915320
0,i_2,2,3,'BL',47.1701297679,1.8841494748,-46.2809344997,-3.2157709655
0,i_1,1,5,'BL',14.1949881531,4.7370496533,-14.0777229491,-10.0424364636
0,i_4,2,5,'BL',6.7212490818,5.5997605135,-6.6714565829,-9.4940483259
0,i_17,4,7,'BL',-1.3725842161,4.3005107456,1.3725842161,-4.2648949287
0,i_18,4,9,'BL',1.8014426579,6.2564679640,-1.8014426579,-6.0630432857
0,i_19,5,6,'BL',-40.1766629775,25.3090316480,40.1766629775,-21.0262200718
0,i_11,7,9,'BL',11.5141803587,12.9926524937,-11.5141803587,-12.7113441606
0,i_10,7,8,'BL',-12.8867645748,-8.7277575650,12.8867645748,9.0898014094
0,i_6,4,5,'BL',-55.1640802199,8.6093764517,55.5276983720,-7.4624131269
0,i_9,6,13,'BL',30.0592276498,5.3869969853,-29.5493932518,-4.3829739009
0,i_15,12,13,'BL',3.7450352588,0.0478166735,-3.7186492119,-0.0239435834
0,i_13,9,14,'BL',-4.5807662623,9.1006010665,4.6954680192,-8.8566150622
0,i_16,13,14,'BL',18.1162321677,-1.9190186878,-17.6262831444,2.9165735881
0,i_3,2,4,'BL',20.0350521956,3.6427438774,-19.8227626010,-6.9611361588
1,i_0,1,2,'BL',34.9449929628,-2.0031421540,-34.7477168251,-3.6973233677
1,i_7,6,11,'BL',29.4177437446,-1.2083742987,-28.7372914704,2.6333264710
1,i_12,9,10,'BL',-17.9053280790,11.8098294867,18.0327727901,-11.4712856925
1,i_5,3,4,'BL',-30.3764309340,8.6159090739,30.9741909402,-8.5469894154
1,i_14,10,11,'BL',-25.2502540061,5.6452401492,25.7320378470,-4.5174373176
1,i_2,2,3,'BL',47.1639016995,1.8851176309,-46.2749356848,-3.2177049726
1,i_1,1,5,'BL',14.1746712604,4.7919855662,-14.0572838192,-10.0963218679
1,i_4,2,5,'BL',6.6906260261,5.6741978027,-6.6404811726,-9.5670258965
1,i_17,4,7,'BL',-0.7772251321,4.4345921112,0.7772251321,-4.3991510896
1,i_18,4,9,'BL',2.1470003219,6.3968188102,-2.1470003219,-6.1889754902
1,i_19,5,6,'BL',-40.8949540784,25.3143306193,40.8949540784,-20.9195499698
1,i_11,7,9,'BL',12.1189767473,13.4272481822,-12.1189767473,-13.1216033114
1,i_10,7,8,'BL',-12.8962018794,-9.0280970925,12.8962018794,9.3988123286
1,i_6,4,5,'BL',-55.8224630511,8.5146042793,56.1945749327,-7.3408491233
1,i_9,6,13,'BL',40.4609975882,6.9750919163,-39.5394109683,-5.1602001704
1,i_15,12,13,'BL',-7.8845133057,-1.1252262641,8.0117423989,1.2403383009
1,i_13,9,14,'BL',-2.9272285575,9.4101991477,3.0347319680,-9.1815249906
1,i_16,13,14,'BL',16.3758582734,-2.4060743026,-15.9655470932,3.2414835165
1,i_3,2,4,'BL',20.1673165445,3.7434137150,-19.9518595212,-7.0513623537
--end of line flow
