--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_18,8,'1 ',3.9682057473
1,l_15,2,'1 ',6.5398935990
1,l_14,1,'1 ',0.9329437067
1,l_16,3,'1 ',21.7790165149
1,l_17,6,'1 ',8.5501814718
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,8,1.0813509468,0.3831605104
0,3,1.0398385051,-1.6829730849
0,9,1.0755791938,-2.5060004749
0,12,1.0857672434,-1.0678552725
0,13,1.0783747012,-1.2762454286
0,5,1.0497466578,0.6657726736
0,4,1.0470174798,-0.3611762488
0,1,1.0779402354,5.2334716702
0,10,1.0722317381,-2.4364631642
0,6,1.1000000000,-0.2938192185
0,11,1.0820163017,-1.5346578316
0,14,1.0596772824,-2.6914878628
0,7,1.0757527055,-1.1408551544
0,2,1.0621546984,2.6184463229
1,8,1.0813509468,0.9538069680
1,3,1.0398385051,-1.0732791791
1,9,1.0746519812,-1.9572478594
1,12,1.0592468272,-1.2328198380
1,13,1.0717946682,-0.9634705283
1,5,1.0496657789,1.2797320319
1,4,1.0468289656,0.2447506521
1,1,1.0779402354,5.8445641954
1,10,1.0714280527,-1.8668675225
1,6,1.1000000000,0.3716465324
1,11,1.0815662501,-0.9170778246
1,14,1.0562750263,-2.2527147082
1,7,1.0752677089,-0.5712772275
1,2,1.0621546984,3.2287078046
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0014624745
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_14,10,11,'BL',-9.9859303826,-1.1215502090,10.0579950452,1.2902456357
0,i_5,3,4,'BL',-14.1550377038,0.6586432946,14.2803420427,-1.7324345461
0,i_3,2,4,'BL',32.5377110634,-2.6700138699,-31.9921023314,0.5440137029
0,i_10,7,8,'BL',-17.5635398461,-3.1852598791,17.5635398461,3.6702534482
0,i_12,9,10,'BL',-0.0455686308,4.2790514744,0.0506039053,-4.2656757844
0,i_17,4,7,'BL',7.4939657290,-2.6022370358,-7.4939657290,2.7170606322
0,i_2,2,3,'BL',42.6559386903,0.9491179033,-41.8932076425,-2.5743800737
0,i_4,2,5,'BL',22.0850271047,-1.2332558823,-21.8385517773,-1.8723478452
0,i_8,6,12,'BL',7.5299402011,2.5448439418,-7.4657667260,-2.4112810368
0,i_1,1,5,'BL',41.6497795750,2.2893393742,-40.8308338292,-4.4779193447
0,i_9,6,13,'BL',19.8377853191,8.3207969642,-19.5847897836,-7.8225697773
0,i_13,9,14,'BL',3.5541058566,4.6571913010,-3.5163958922,-4.5769771544
0,i_0,1,2,'BL',88.8335160989,-1.3906565370,-87.5168585316,-0.6353308758
0,i_19,5,6,'BL',8.2332233940,11.8398580152,-8.2332233940,-11.4267203672
0,i_16,13,14,'BL',8.8657194471,1.5393464150,-8.7467032414,-1.2970248804
0,i_18,4,9,'BL',7.8203252918,1.1049783099,-7.8203252919,-0.8078187282
0,i_6,4,5,'BL',-44.3413562882,7.6908488857,44.5879964764,-6.9128699850
0,i_7,6,11,'BL',14.4741650394,3.1742614676,-14.3018058613,-2.8133197902
0,i_15,12,13,'BL',2.9587739871,0.7493501080,-2.9413163709,-0.7335551220
0,i_11,7,9,'BL',25.0575055751,0.4681992469,-25.0575055751,0.1288835242
1,i_14,10,11,'BL',-10.4706789343,-1.0995685741,10.5499045108,1.2850269103
1,i_5,3,4,'BL',-14.0778869044,0.7420350137,14.2019852512,-1.8186517048
1,i_3,2,4,'BL',32.6098132245,-2.5778872510,-32.0618520240,0.4596960746
1,i_10,7,8,'BL',-17.5679272698,-3.4795515004,17.5679272698,3.9682057473
1,i_12,9,10,'BL',-0.5301788182,4.3014006600,0.5353524571,-4.2876574193
1,i_17,4,7,'BL',7.8383669619,-2.4473459971,-7.8383669619,2.5704215355
1,i_2,2,3,'BL',42.6612489118,0.9482720125,-41.8983315704,-2.5727493233
1,i_4,2,5,'BL',22.0603434608,-1.1772035723,-21.8143759516,-1.9296568771
1,i_1,1,5,'BL',41.6313925563,2.3307368694,-40.8129598693,-4.5210170829
1,i_9,6,13,'BL',26.4782634004,10.6168440151,-26.0333550031,-9.7406804941
1,i_13,9,14,'BL',4.5875032142,5.1530250124,-4.5351141653,-5.0415864864
1,i_0,1,2,'BL',88.8592154903,-1.3977931626,-87.5418002540,-0.6258809748
1,i_19,5,6,'BL',7.7907403345,11.7929626632,-7.7907403345,-11.3960507266
1,i_16,13,14,'BL',7.8205414115,1.0208639973,-7.7279849683,-0.8324155484
1,i_18,4,9,'BL',8.0203238055,1.2548653129,-8.0203238055,-0.9408153656
1,i_6,4,5,'BL',-44.7376495508,7.5566056309,44.9884297503,-6.7655678629
1,i_7,6,11,'BL',14.9778149885,3.1936287831,-14.7937153269,-2.8081010647
1,i_15,12,13,'BL',-4.5069927390,-1.6619309288,4.5524268842,1.7030380125
1,i_11,7,9,'BL',25.4062942317,0.9091299648,-25.4062942317,-0.2941834443
--end of line flow
