--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',-3.0018558444
1,l_17,6,'1 ',1.4063675206
1,l_15,2,'1 ',13.3295291272
1,l_18,8,'1 ',6.1911145935
1,l_16,3,'1 ',16.8843397222
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,4,1.0522603755,23.5347224791
0,9,1.0748498963,24.5662628687
0,12,1.0842935119,27.5308013575
0,8,1.0831723317,30.0181492330
0,11,1.0818179283,26.8019655324
0,7,1.0763593535,25.9050019247
0,14,1.0564732277,24.4614959534
0,2,1.0597634904,24.6035451683
0,1,1.0597373630,24.5616474799
0,10,1.0723851274,25.0870297428
0,13,1.0778397879,27.2028804895
0,6,1.1000000000,28.7883438065
0,3,1.0389005275,20.5826527671
0,5,1.0536355976,24.3505275335
1,4,1.0520527351,-1.5225159459
1,9,1.0739217237,-0.5775209998
1,12,1.0516481044,1.0426884779
1,8,1.0831723317,4.9088130624
1,11,1.0813138452,1.7617800327
1,7,1.0758786742,0.7930641528
1,14,1.0527461782,-0.8701266773
1,2,1.0597634904,-0.4451665969
1,1,1.0597373630,-0.4860267512
1,10,1.0715477445,-0.0252173641
1,13,1.0703839403,1.6591832111
1,6,1.1000000000,3.8200638483
1,3,1.0389005275,-4.4652608610
1,5,1.0535437407,-0.6939667916
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0029205650
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_18,4,9,'BL',-3.7780876890,2.1961988204,3.7780876890,-2.1061274091
0,i_14,10,11,'BL',-17.0914054502,2.3051654397,17.3036134177,-1.8084099940
0,i_13,9,14,'BL',3.4419358722,5.6879258699,-3.3933062741,-5.5844841993
0,i_2,2,3,'BL',39.7338395160,0.6463929040,-39.0692487835,-2.6697405521
0,i_15,12,13,'BL',3.2528067658,-0.0846651586,-3.2329113982,0.1026657293
0,i_10,7,8,'BL',-47.4734444543,-2.4583069699,47.4734444543,5.8941437932
0,i_17,4,7,'BL',-22.9033555915,0.2533495362,22.9033555915,0.6943664344
0,i_7,6,11,'BL',20.9370043926,0.4169872392,-20.5927748697,0.3038724376
0,i_12,9,10,'BL',-9.8069021141,6.8833646792,9.8464287173,-6.7783663147
0,i_6,4,5,'BL',-34.9762420909,7.9188327118,35.1312990059,-7.4297355815
0,i_19,5,6,'BL',-38.1807594834,15.1656727331,38.1807594834,-11.8375547333
0,i_11,7,9,'BL',24.5700888628,1.7639405355,-24.5700888628,-1.1877532201
0,i_3,2,4,'BL',12.0149643687,-1.2492997700,-11.9400463472,-2.3149765088
0,i_0,1,2,'BL',-1.2671702722,-2.5960837293,1.2674708312,-3.3328133256
0,i_1,1,5,'BL',2.4065433318,-0.4431054783,-2.4011684901,-5.0283572387
0,i_8,6,12,'BL',10.9937018261,1.5840073089,-10.8683838475,-1.3231856337
0,i_9,6,13,'BL',27.7140742930,4.9875404881,-27.2805755896,-4.1338462162
0,i_4,2,5,'BL',3.6676654326,0.5968765717,-3.6575732678,-4.4295797947
0,i_5,3,4,'BL',-31.0058179553,4.1903417474,31.6174776677,-4.0286015927
0,i_16,13,14,'BL',15.3744094834,-0.5593354253,-15.0261674440,1.2683695010
1,i_18,4,9,'BL',-3.4574678924,2.3296315960,3.4574678924,-2.2476211238
1,i_14,10,11,'BL',-17.7711225124,2.4365447820,18.0010407776,-1.8983314828
1,i_13,9,14,'BL',4.9892970903,6.0706138620,-4.9212453339,-5.9258586588
1,i_2,2,3,'BL',39.7264016149,0.6476151847,-39.0620549843,-2.6719912401
1,i_15,12,13,'BL',-7.6155770817,-1.4078507923,7.7353872807,1.5162504962
1,i_10,7,8,'BL',-47.4822061491,-2.7486403044,47.4822061491,6.1911145935
1,i_17,4,7,'BL',-22.3606965976,0.3695377583,22.3606965976,0.5342937925
1,i_7,6,11,'BL',21.6585319521,0.3775345829,-21.2902022295,0.3937939264
1,i_12,9,10,'BL',-10.4822228468,7.0264224193,10.5261457795,-6.9097456570
1,i_6,4,5,'BL',-35.5792178844,7.8297278801,35.7392981644,-7.3247855137
1,i_19,5,6,'BL',-38.8317384908,15.1713614192,38.8317384908,-11.7434469096
1,i_11,7,9,'BL',25.1215095516,2.2143465119,-25.1215095516,-1.6098994246
1,i_3,2,4,'BL',12.1353509506,-1.1624337306,-12.0588654021,-2.3963434880
1,i_0,1,2,'BL',-1.2361370808,-2.6062728790,1.2364229550,-3.3226690108
1,i_1,1,5,'BL',2.3901129653,-0.3955829654,-2.3846688869,-5.0751177825
1,i_9,6,13,'BL',37.4484414444,6.6345240740,-36.6577014689,-5.0773102174
1,i_4,2,5,'BL',3.6412553624,0.6613038989,-3.6310930221,-4.4934580048
1,i_5,3,4,'BL',-30.8691739302,4.2574176291,31.4759937257,-4.1077507795
1,i_16,13,14,'BL',13.7832366838,-1.0294561910,-13.4982283841,1.6097439605
--end of line flow
