--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',0.7920690252
1,l_16,3,'1 ',22.9918328380
1,l_17,6,'1 ',-4.8775590961
1,l_15,2,'1 ',16.7641918287
1,l_18,8,'1 ',10.3997911027
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,3,1.0573429029,-31.0178040917
0,6,1.1000000000,-22.2697540835
0,11,1.0784197702,-25.0819284141
0,14,1.0583084905,-27.0851116604
0,8,1.1000000000,-26.9378666455
0,5,1.0678777267,-26.9811278966
0,1,1.0881962730,-25.4290412050
0,7,1.0839600213,-27.9995335906
0,9,1.0722084255,-28.5016385724
0,2,1.0838198433,-26.1008678350
0,13,1.0789747945,-23.8512286073
0,10,1.0685392726,-27.6162356827
0,12,1.0856645640,-23.4155111613
0,4,1.0636508470,-28.3332774899
1,3,1.0573429029,-8.3773811228
1,6,1.1000000000,0.4486431691
1,11,1.0779469797,-2.4297923036
1,14,1.0550452983,-4.6970406859
1,8,1.1000000000,-4.3534665127
1,5,1.0677902920,-4.3356242331
1,1,1.0881962730,-2.7871722842
1,7,1.0835325026,-5.4161117240
1,9,1.0713961700,-5.9460740555
1,2,1.0838198433,-3.4600691329
1,13,1.0722712377,-1.6544133208
1,10,1.0677869644,-5.0312588508
1,12,1.0560803141,-2.0704798198
1,4,1.0634556690,-5.6996296313
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0022014008
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_9,6,13,'BL',27.2972866491,4.2393962990,-26.8800964545,-3.4178185718
0,i_13,9,14,'BL',-6.3251457794,8.6139108079,6.4514197216,-8.3453092147
0,i_15,12,13,'BL',3.8222524981,-0.5740457630,-3.7942517661,0.5993797586
0,i_1,1,5,'BL',15.6417666548,3.4022468661,-15.5119363724,-8.5846510248
0,i_16,13,14,'BL',17.6541641323,-1.7411281440,-17.1921089243,2.6818901723
0,i_19,5,6,'BL',-41.0769976748,22.5086256625,41.0769976748,-18.2969775502
0,i_3,2,4,'BL',26.8059334249,2.0624842402,-26.4423150400,-4.8794084108
0,i_2,2,3,'BL',50.7044670619,2.0177572092,-49.6675869970,-2.6702369940
0,i_6,4,5,'BL',-60.6961512267,9.3167755461,61.1411096905,-7.9132398974
0,i_7,6,11,'BL',28.7478507671,-1.0748529225,-28.0982234927,2.4352536898
0,i_10,7,8,'BL',-12.5419225094,-9.7541900325,12.5419225094,10.1326511274
0,i_17,4,7,'BL',-3.2837204489,1.8909459516,3.2837204489,-1.8655605501
0,i_0,1,2,'BL',23.5285593997,-2.6468187815,-23.4379214165,-3.3037786546
0,i_4,2,5,'BL',12.1977187801,3.9882858811,-12.1080126212,-7.7193935722
0,i_8,6,12,'BL',10.0268453674,1.4400360105,-9.9226143031,-1.2231020867
0,i_11,7,9,'BL',9.2582020605,11.6197505825,-9.2582020605,-11.4130828278
0,i_12,9,10,'BL',-16.7623832964,11.1278165095,16.8743920482,-10.8302767569
0,i_18,4,9,'BL',0.6218098727,5.0277743443,-0.6218098727,-4.9093042439
0,i_5,3,4,'BL',-27.7792459096,6.9904204254,28.2773777999,-7.1586049678
0,i_14,10,11,'BL',-24.2082972090,5.4314978784,24.6506368692,-4.3960295234
1,i_9,6,13,'BL',36.1136469645,5.6858269764,-35.3829769570,-4.2469096390
1,i_13,9,14,'BL',-4.9306811588,8.8964539292,5.0452445223,-8.6527623061
1,i_15,12,13,'BL',-6.1003618050,-1.7971478497,6.1804736810,1.8696300232
1,i_1,1,5,'BL',15.6190221802,3.4495055559,-15.4892429408,-8.6316610647
1,i_16,13,14,'BL',16.1823191878,-2.1822873414,-15.7859337249,2.9893432636
1,i_19,5,6,'BL',-41.7076524704,22.5167928710,41.7076524704,-18.2035100358
1,i_3,2,4,'BL',26.9118386459,2.1506467527,-26.5450480149,-4.9572397703
1,i_2,2,3,'BL',50.7081205254,2.0172154022,-49.6710942367,-2.6690791422
1,i_6,4,5,'BL',-61.2617615354,9.2389762484,61.7148556570,-7.8097782364
1,i_7,6,11,'BL',29.4129853048,-1.0970911669,-28.7329541623,2.5211614369
1,i_10,7,8,'BL',-12.5485267118,-10.0131037466,12.5485267118,10.3997911027
1,i_17,4,7,'BL',-2.7879372779,2.0064638519,2.7879372779,-1.9855968074
1,i_0,1,2,'BL',23.5623108783,-2.6574365307,-23.4714144257,-3.2923717600
1,i_4,2,5,'BL',12.1634797201,4.0531555098,-12.0737972236,-7.7840124019
1,i_11,7,9,'BL',9.7605894339,11.9987005540,-9.7605894339,-11.7745301382
1,i_12,9,10,'BL',-17.3669323734,11.2865446903,17.4858146654,-10.9707460840
1,i_18,4,9,'BL',0.9093380428,5.1484261769,-0.9093380428,-5.0222101735
1,i_5,3,4,'BL',-27.6673196802,7.0634615310,28.1624097424,-7.2391440434
1,i_14,10,11,'BL',-24.8197198261,5.5719672055,25.2853675388,-4.4819372705
--end of line flow
