--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_15,2,'1 ',18.2588783644
1,l_17,6,'1 ',-0.1635602571
1,l_18,8,'1 ',6.4546353607
1,l_14,1,'1 ',0.1611301230
1,l_16,3,'1 ',23.5669669360
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,6,1.1000000000,-1.5270886911
0,2,1.0876235045,1.9763864419
0,7,1.0938789185,0.6402175736
0,3,1.0696153581,-1.4502651707
0,4,1.0700887380,-0.2395375899
0,12,1.0847683747,-2.4920675484
0,5,1.0699516719,0.4534984971
0,8,1.1000000000,5.3423513324
0,10,1.0867649548,-2.1045455170
0,14,1.0684035159,-3.4392076427
0,11,1.0906592615,-1.9037394390
0,9,1.0933194865,-1.8486480377
0,13,1.0807022839,-2.5835829244
0,1,1.1000000000,4.1838598213
1,6,1.1000000000,0.5542541661
1,2,1.0876235045,3.9974942562
1,7,1.0933481730,2.6133670355
1,3,1.0696153581,0.5715927248
1,4,1.0698828288,1.7755756331
1,12,1.0550121160,-1.5086804567
1,5,1.0698663860,2.4776406237
1,8,1.1000000000,7.3184089004
1,10,1.0858958292,-0.1342485153
1,14,1.0646292581,-1.6337599030
1,11,1.0901840312,0.1214601844
1,9,1.0923063343,0.0981502487
1,13,1.0735026947,-0.9434345260
1,1,1.1000000000,6.2057472342
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0024560162
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_19,5,6,'BL',17.3177220269,22.1722594061,-17.3177220269,-20.6587109431
0,i_15,12,13,'BL',1.5198978568,0.5275684107,-1.5150383142,-0.5231716816
0,i_4,2,5,'BL',19.4027913166,2.8888084172,-19.2098205323,-6.3265872769
0,i_10,7,8,'BL',-55.9969048397,-1.5020863308,55.9969048397,6.1214757173
0,i_2,2,3,'BL',35.7091377265,-0.1224262907,-35.2001856694,-2.8294806186
0,i_8,6,12,'BL',8.9648893956,2.3084600669,-8.8778384085,-2.1272826768
0,i_16,13,14,'BL',5.5172961003,1.1462949574,-5.4708218820,-1.0516716762
0,i_6,4,5,'BL',-29.7256893116,9.9710478529,29.8402965799,-9.6095413309
0,i_9,6,13,'BL',20.0174353069,6.2854402422,-19.7767780663,-5.8115110097
0,i_11,7,9,'BL',47.2091739728,1.5817868840,-47.2091739728,0.4695346939
0,i_0,1,2,'BL',77.5859514969,-4.0971837385,-76.6216932058,0.7238849082
0,i_5,3,4,'BL',-12.3085393617,3.9436673901,12.4100807685,-5.1495695160
0,i_18,4,9,'BL',6.0958443342,2.2703550144,-6.0958443342,-2.0773779605
0,i_12,9,10,'BL',8.3015148965,5.3696282796,-8.2755026640,-5.3005294540
0,i_14,10,11,'BL',-2.6236896096,-1.0788666527,2.6292804762,1.0919542547
0,i_1,1,5,'BL',36.0754683051,4.2217508548,-35.4712005037,-7.5200864242
0,i_13,9,14,'BL',13.7643468767,3.7707389249,-13.5477636623,-3.3100374105
0,i_17,4,7,'BL',-8.7877308669,0.2146733606,8.7877308669,-0.0797005532
0,i_7,6,11,'BL',5.2426929581,2.6753262280,-5.2154994778,-2.6183796789
0,i_3,2,4,'BL',26.3840037162,0.6034781499,-26.0386860783,-3.5133248478
1,i_19,5,6,'BL',16.8164243493,22.1117727805,-16.8164243493,-20.6358318462
1,i_15,12,13,'BL',-7.3579405516,-1.5997142661,7.4704763643,1.7015323822
1,i_4,2,5,'BL',19.3850111504,2.9470186525,-19.1920941417,-6.3846459814
1,i_10,7,8,'BL',-56.0042728882,-1.8279450913,56.0042728882,6.4546353607
1,i_2,2,3,'BL',35.7017647926,-0.1211360194,-35.1930193525,-2.8316413722
1,i_16,13,14,'BL',4.2801121798,0.6587594542,-4.2522964617,-0.6021255910
1,i_6,4,5,'BL',-30.1935709246,9.8180065051,30.3111388191,-9.4471612590
1,i_9,6,13,'BL',27.9927099367,8.4695321315,-27.5251088243,-7.5486795704
1,i_11,7,9,'BL',47.6413504960,2.0813117342,-47.6413504960,0.0114096550
1,i_0,1,2,'BL',77.6110928867,-4.1043584306,-76.6462075685,0.7329740066
1,i_5,3,4,'BL',-12.1947468831,4.0261697379,12.2951110425,-5.2347945494
1,i_18,4,9,'BL',6.3474612900,2.4361964701,-6.3474612900,-2.2252994735
1,i_12,9,10,'BL',7.7229886152,5.3908992581,-7.6993387067,-5.3280757037
1,i_14,10,11,'BL',-3.1998535669,-1.0513204030,3.2077472809,1.0697987167
1,i_1,1,5,'BL',36.0626069961,4.2654885535,-35.4584714559,-7.5639211661
1,i_13,9,14,'BL',15.0266666369,4.3134414386,-14.7662890826,-3.7595834956
1,i_17,4,7,'BL',-8.3629223922,0.3758263396,8.3629223922,-0.2533666429
1,i_7,6,11,'BL',5.8261806722,2.6636851024,-5.7939662825,-2.5962241409
1,i_3,2,4,'BL',26.4803354858,0.7013227635,-26.1322601697,-3.6020529011
--end of line flow
