--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',26.7320478658
1,l_18,8,'1 ',7.4627784275
1,l_15,2,'1 ',10.0665497456
1,l_17,6,'1 ',-3.0779420827
1,l_14,1,'1 ',-0.6789762779
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,5,1.0645444394,-1.4557876222
0,14,1.0660198556,-3.4825639130
0,4,1.0620072356,-2.6127138349
0,9,1.0856274985,-3.3828359583
0,11,1.0853606634,-1.7294807635
0,12,1.0860685720,-1.0260767071
0,13,1.0807927755,-1.3094485096
0,3,1.0529082248,-5.0598083937
0,7,1.0894560950,-2.1237083743
0,1,1.0870621690,1.2726771227
0,2,1.0808573730,0.2444917400
0,10,1.0799651594,-3.0578004502
0,6,1.0999999761,-0.1222435515
0,8,1.1000000000,0.2732482939
1,5,1.0644650093,-25.4594896030
1,14,1.0627205159,-27.6901301051
1,4,1.0618223908,-26.6257175970
1,9,1.0847602514,-27.4594201320
1,11,1.0849186248,-25.7287980650
1,12,1.0589047914,-25.9963508777
1,13,1.0743078577,-25.6655197993
1,3,1.0529082248,-29.0676563030
1,7,1.0890033563,-26.1770659415
1,1,1.0870621690,-22.7339705837
1,2,1.0808573730,-23.7630287944
1,10,1.0792001559,-27.1109806927
1,6,1.0999999761,-24.0675059703
1,8,1.1000000000,-23.7786504184
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0018253263
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_17,4,7,'BL',-4.8282371269,-1.8275427088,4.8282371269,1.8748081069
0,i_14,10,11,'BL',-13.0005070372,2.6838902715,13.1244738436,-2.3936976513
0,i_2,2,3,'BL',54.2903758434,2.2762835741,-53.0954389630,-2.2283275312
0,i_13,9,14,'BL',3.6416367887,6.1615004510,-3.5863902640,-6.0439836911
0,i_9,6,13,'BL',21.6590406481,5.4161921108,-21.3865413595,-4.8795559456
0,i_10,7,8,'BL',-28.4531683179,-5.9259616709,28.4531683179,7.1795806957
0,i_16,13,14,'BL',12.0232387726,-1.0793217260,-11.8100020098,1.5134799089
0,i_15,12,13,'BL',2.7371143343,-0.1513908851,-2.7230398350,0.1641249560
0,i_3,2,4,'BL',32.9477084448,-0.4800393286,-32.4066167251,-1.7815460593
0,i_4,2,5,'BL',20.8177950299,1.5922310343,-20.6001661215,-4.9093734721
0,i_7,6,11,'BL',16.9495977541,0.2384201650,-16.7240432776,0.2339191209
0,i_6,4,5,'BL',-50.9425642929,10.2986762469,51.2622949394,-9.2901475932
0,i_11,7,9,'BL',23.6249311909,4.0511535639,-23.6249311909,-3.5186286858
0,i_1,1,5,'BL',25.9750837160,2.3636875664,-25.6538928068,-6.7325859565
0,i_18,4,9,'BL',2.8753654808,2.0598725408,-2.8753654808,-2.0019440358
0,i_12,9,10,'BL',-4.4881481625,8.9866707532,4.5153820081,-8.9143268378
0,i_19,5,6,'BL',-11.6024867894,19.2679179663,11.6024867894,-18.2907304002
0,i_0,1,2,'BL',35.6468276292,-3.0760527820,-35.4384325786,-2.4915723745
0,i_5,3,4,'BL',-25.9004324311,4.4329575511,26.3218999381,-4.7885877234
0,i_8,6,12,'BL',8.3462812785,2.0385332440,-8.2713000516,-1.8824763923
1,i_17,4,7,'BL',-4.4271973353,-1.6935653501,4.4271973353,1.7334253245
1,i_14,10,11,'BL',-13.5316074051,2.7448228775,13.6659101740,-2.4304349089
1,i_2,2,3,'BL',54.2935401743,2.2758361462,-53.0984668314,-2.2273051836
1,i_13,9,14,'BL',4.8118724462,6.5836243754,-4.7400397585,-6.4308266247
1,i_9,6,13,'BL',29.0121168215,7.3151248163,-28.5227085077,-6.3513270684
1,i_10,7,8,'BL',-28.4586442967,-6.2026690315,28.4586442967,7.4627784275
1,i_16,13,14,'BL',10.8336869575,-1.5392631538,-10.6563525152,1.9003228425
1,i_15,12,13,'BL',-5.5341857173,-2.0338672774,5.6026791284,2.0958375066
1,i_3,2,4,'BL',33.0333000384,-0.3919691158,-32.4892634345,-1.8600133861
1,i_4,2,5,'BL',20.7908746736,1.6490940195,-20.5735899065,-4.9669946351
1,i_7,6,11,'BL',17.5060830105,0.2331972406,-17.2654796080,0.2706563786
1,i_6,4,5,'BL',-51.3999389394,10.1876794894,51.7250541658,-9.1621662174
1,i_11,7,9,'BL',24.0314469614,4.4692437070,-24.0314469614,-3.9150004759
1,i_1,1,5,'BL',25.9567347135,2.4055325750,-25.6357770065,-6.7749776376
1,i_18,4,9,'BL',3.1097083525,2.1961003540,-3.1097083525,-2.1289696705
1,i_12,9,10,'BL',-5.0175251779,9.0521812681,5.0464823759,-8.9752594438
1,i_19,5,6,'BL',-12.1099380311,19.2399494346,12.1099380311,-18.2414493972
1,i_0,1,2,'BL',35.6743032631,-3.0845088530,-35.4655869476,-2.4821354346
1,i_5,3,4,'BL',-25.8075072438,4.5077321660,26.2265386307,-4.8693288109
--end of line flow
