--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_17,6,'1 ',-13.8542888996
1,l_18,8,'1 ',5.9941779507
1,l_16,3,'1 ',25.9094844341
1,l_15,2,'1 ',21.8541516634
1,l_14,1,'1 ',1.7172275970
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,11,1.0841523913,2.6338929108
0,8,1.1000000000,1.8419720811
0,4,1.0725762378,0.6794034688
0,14,1.0632107111,0.2031984135
0,1,1.1000000000,3.6719849019
0,7,1.0911576899,0.4543047213
0,3,1.0687795190,-1.9937043043
0,9,1.0830887927,-0.5457278677
0,10,1.0777271273,0.1760010789
0,12,1.0858331110,4.1463993365
0,13,1.0808339271,3.7220603700
0,6,1.1000000000,5.3403130507
0,2,1.0975936343,3.2952054929
0,5,1.0760142315,1.9446390868
1,11,1.0836770353,135.7393280761
1,8,1.1000000000,134.8793913199
1,4,1.0723757809,133.7676957099
1,14,1.0599482251,133.0336539594
1,1,1.1000000000,136.7689101622
1,7,1.0907215703,133.4905351359
1,3,1.0687795190,131.1022163169
1,9,1.0822710023,132.4612628822
1,10,1.0769705586,133.2127360099
1,12,1.0560326126,135.8734473455
1,13,1.0741657174,136.3532114502
1,6,1.1000000000,138.5142056697
1,2,1.0975936343,136.3911001728
1,5,1.0759278529,135.0448787415
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0025110097
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_7,6,11,'BL',26.7223232549,-3.3274467579,-26.1531069673,4.5194568613
0,i_14,10,11,'BL',-23.1624893802,6.8491058669,23.5746207692,-5.8843517427
0,i_0,1,2,'BL',13.4545191945,-3.0834963442,-13.4255234493,-3.2028144805
0,i_3,2,4,'BL',32.3228924296,3.5683552868,-31.8037263905,-5.9968017948
0,i_17,4,7,'BL',2.2481774782,2.9129622356,-2.2481774782,-2.8894212628
0,i_2,2,3,'BL',55.8639878533,2.5998711096,-54.6360175057,-2.5663356723
0,i_15,12,13,'BL',3.3164885014,-0.9337205749,-3.2942454882,0.9538452060
0,i_19,5,6,'BL',-29.8475622013,25.8615127350,29.8475622013,-22.9125422342
0,i_5,3,4,'BL',-27.6575246015,8.4619543356,28.1558365897,-8.6574438900
0,i_16,13,14,'BL',18.7399069612,-3.1083822470,-18.2119209269,4.1833819524
0,i_6,4,5,'BL',-57.3199088035,10.0833040659,57.7129802793,-8.8434359127
0,i_18,4,9,'BL',4.6087166677,4.7860719578,-4.6087166677,-4.5856684325
0,i_8,6,12,'BL',10.3216320079,1.2339489689,-10.2118675703,-1.0054985516
0,i_13,9,14,'BL',-1.4794025627,8.6946408606,1.5636874575,-8.5153555970
0,i_11,7,9,'BL',18.7494652131,8.1669374978,-18.7494652131,-7.7804957306
0,i_12,9,10,'BL',-12.9383640889,11.8526149482,13.0218522948,-11.6308370984
0,i_10,7,8,'BL',-16.5012877349,-5.2775162351,16.5012877349,5.7215727582
0,i_1,1,5,'BL',17.8715531162,4.7646997289,-17.7021757050,-9.8903010340
0,i_9,6,13,'BL',27.1703900390,2.7509356620,-26.7626667280,-1.9480011840
0,i_4,2,5,'BL',18.5430443720,5.6529338082,-18.3522011107,-9.1574071448
1,i_7,6,11,'BL',27.4100792510,-3.3590309016,-26.8114732697,4.6125866995
1,i_14,10,11,'BL',-23.7977312906,6.9963673560,24.2329870716,-5.9774815809
1,i_0,1,2,'BL',13.4877363311,-3.0941342975,-13.4585976066,-3.1917399904
1,i_3,2,4,'BL',32.4358308560,3.6598369322,-31.9126372858,-6.0753319733
1,i_17,4,7,'BL',2.7665186352,3.0358967023,-2.7665186352,-3.0065538761
1,i_2,2,3,'BL',55.8637293991,2.5999077259,-54.6357701651,-2.5664191110
1,i_15,12,13,'BL',-6.8953790688,-1.9392191266,6.9970169259,2.0311771877
1,i_19,5,6,'BL',-30.4917318592,25.8557634269,30.4917318592,-22.8333793666
1,i_5,3,4,'BL',-27.5341047119,8.5345736292,28.0292070839,-8.7379799241
1,i_16,13,14,'BL',17.2157324547,-3.5183407618,-16.7583315883,4.4496263730
1,i_6,4,5,'BL',-57.9038708120,9.9920566839,58.3046877328,-8.7277570184
1,i_18,4,9,'BL',4.9098779205,4.9134510858,-4.9098779205,-4.6943440270
1,i_13,9,14,'BL',-0.0228359549,8.9672183316,0.1100981189,-8.7816000177
1,i_11,7,9,'BL',19.2753393993,8.5516638499,-19.2753393993,-8.1404744951
1,i_12,9,10,'BL',-13.5678952577,12.0150464364,13.6570942053,-11.7780985875
1,i_10,7,8,'BL',-16.5088207641,-5.5451099737,16.5088207641,5.9941779507
1,i_1,1,5,'BL',17.8508910284,4.8113618945,-17.6815196325,-9.9365307621
1,i_9,6,13,'BL',36.2573980207,4.0483316242,-35.5297546356,-2.6153746510
1,i_4,2,5,'BL',18.5111477425,5.7166789339,-18.3203949788,-9.2211070030
--end of line flow
