--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_18,8,'1 ',7.2377673590
1,l_17,6,'1 ',-7.7078623490
1,l_14,1,'1 ',1.2802905549
1,l_16,3,'1 ',20.8996224675
1,l_15,2,'1 ',15.8924781211
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,4,1.0708492360,0.2108878733
0,8,1.1000000000,2.4475892618
0,5,1.0740732250,1.4165485090
0,12,1.0858900081,4.0535543956
0,13,1.0768278067,3.5225186203
0,3,1.0660661722,-2.3917564717
0,11,1.0830580572,2.5909652622
0,2,1.0924145625,2.4288315476
0,1,1.0944542376,2.7094668151
0,7,1.0894044050,0.6198176802
0,10,1.0764994283,0.3840684142
0,6,1.1000000000,5.1271375270
0,14,1.0571283682,0.1437025211
0,9,1.0803870922,-0.3242205600
1,4,1.0706574505,30.9899493021
1,8,1.1000000000,33.1811562426
1,5,1.0739894038,32.2066667193
1,12,1.0573203858,33.6444685077
1,13,1.0702629859,33.8936170678
1,3,1.0660661722,28.3929213085
1,11,1.0825906479,33.3876902842
1,2,1.0924145625,33.2142264006
1,1,1.0944542376,33.4959019953
1,7,1.0889644887,31.3521627938
1,10,1.0757368859,31.1175283729
1,6,1.1000000000,35.9868341864
1,14,1.0538612642,30.6909743862
1,9,1.0795496994,30.3816514538
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0019108244
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_7,6,11,'BL',25.4546921899,-2.1989794927,-24.9422893250,3.2720151826
0,i_10,7,8,'BL',-21.6982540721,-6.2067506057,21.6982540721,6.9627308671
0,i_16,13,14,'BL',18.1682009243,-2.2594110605,-17.6741009500,3.2654174554
0,i_18,4,9,'BL',2.0048478662,4.9212230076,-2.0048478662,-4.7926239175
0,i_13,9,14,'BL',0.7584507916,8.9512706246,-0.6705693576,-8.7643350404
0,i_4,2,5,'BL',14.2060994633,4.9110237781,-14.0865693693,-8.6063889126
0,i_8,6,12,'BL',9.5083562981,1.5808423127,-9.4139818334,-1.3844227227
0,i_11,7,9,'BL',17.6272130258,9.0748643375,-17.6272130258,-8.7105084428
0,i_6,4,5,'BL',-54.4097630946,9.6555070831,54.7652667111,-8.5341394957
0,i_12,9,10,'BL',-13.2287780873,10.0557653584,13.3040271624,-9.8558739141
0,i_1,1,5,'BL',13.5520549097,3.9055581980,-13.4480341587,-9.2607524207
0,i_2,2,3,'BL',50.5332215112,2.0121021330,-49.5192911333,-2.8427970533
0,i_5,3,4,'BL',-27.0549580428,7.5799854481,27.5272324751,-7.8358544663
0,i_15,12,13,'BL',4.9024044626,-0.4700896273,-4.8569625450,0.5112037432
0,i_3,2,4,'BL',27.2804811690,2.8385350797,-26.9065522875,-5.6820921188
0,i_9,6,13,'BL',28.2851130214,5.5602236003,-27.8308299711,-4.6655984609
0,i_14,10,11,'BL',-20.9332260506,5.7167291996,21.2666233634,-4.9362828636
0,i_0,1,2,'BL',10.0612437004,-2.6606600069,-10.0448249523,-3.6019782199
0,i_17,4,7,'BL',-4.0710410463,2.9118115107,4.0710410463,-2.8681137318
0,i_19,5,6,'BL',-32.5530927622,25.0338560460,32.5530927622,-21.8337890096
1,i_7,6,11,'BL',26.0925620280,-2.2158564629,-25.5542908909,3.3430635503
1,i_10,7,8,'BL',-21.7039865452,-6.4757391004,21.7039865452,7.2377673590
1,i_16,13,14,'BL',16.7835837945,-2.6930760540,-16.3524153505,3.5709514525
1,i_18,4,9,'BL',2.2768767825,5.0501056264,-2.2768767825,-4.9102993520
1,i_13,9,14,'BL',2.0909463549,9.2797988632,-1.9922549571,-9.0698690375
1,i_4,2,5,'BL',14.1703159305,4.9744164475,-14.0508464396,-8.6696551237
1,i_11,7,9,'BL',18.1001180619,9.4727893997,-18.1001180619,-9.0856181685
1,i_6,4,5,'BL',-54.9505458690,9.5648990336,55.3128615575,-8.4220440791
1,i_12,9,10,'BL',-13.8163396982,10.1856566839,13.8967604985,-9.9720270825
1,i_1,1,5,'BL',13.5284221073,3.9516402698,-13.4244042139,-9.3064033577
1,i_2,2,3,'BL',50.5403055103,2.0110394232,-49.5260970698,-2.8405628591
1,i_5,3,4,'BL',-26.9540440057,7.6569003837,27.4238618309,-7.9187765595
1,i_15,12,13,'BL',-4.5115773708,-1.8545123500,4.5585971951,1.8970540958
1,i_3,2,4,'BL',27.3785667828,2.9277849862,-27.0016003482,-5.7614271365
1,i_9,6,13,'BL',36.6226962051,7.1162799723,-35.8617725813,-5.6177838200
1,i_14,10,11,'BL',-21.5259593867,5.8328823680,21.8786249293,-5.0073312313
1,i_0,1,2,'BL',10.0944306246,-2.6713497149,-10.0779053693,-3.5909633297
1,i_17,4,7,'BL',-3.6038684833,3.0357940524,3.6038684833,-2.9970502993
1,i_19,5,6,'BL',-33.1600404831,25.0306777774,33.1600404831,-21.7547176583
--end of line flow
