--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_15,2,'1 ',17.7028381346
1,l_18,8,'1 ',6.0086455581
1,l_14,1,'1 ',0.8820429501
1,l_16,3,'1 ',24.9837008359
1,l_17,6,'1 ',0.0460498720
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,14,1.0572481519,106.2232266661
0,9,1.0728687318,106.3721249239
0,13,1.0800167418,108.9934559052
0,11,1.0797077255,108.4119444855
0,6,1.1000000000,110.2836862809
0,8,1.0871484859,110.5435901804
0,10,1.0683990463,106.7354013661
0,1,1.0893031658,111.3850131392
0,4,1.0596800106,107.1683106594
0,5,1.0636352550,108.3920927525
0,12,1.0868462899,109.3902054593
0,7,1.0790874710,107.7871733959
0,2,1.0788978193,109.6783664567
0,3,1.0500285017,104.1433593743
1,14,1.0541649964,-3.2223300012
1,9,1.0720549404,-2.9415816956
1,13,1.0739346234,-0.5958866784
1,11,1.0792817474,-0.8245252276
1,6,1.1000000000,1.1004691679
1,8,1.0871484859,1.2543949697
1,10,1.0676739510,-2.5549039360
1,1,1.0893031658,2.1398122230
1,4,1.0595054971,-2.0829444374
1,5,1.0635610269,-0.8498714172
1,12,1.0610176344,-0.8160591145
1,7,1.0786620615,-1.5035042533
1,2,1.0788978193,0.4322425816
1,3,1.0500285017,-5.1035864216
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0015261520
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_0,1,2,'BL',59.3499143236,-2.5344863519,-58.7745531716,-1.9144401361
0,i_10,7,8,'BL',-32.0270976657,-4.1676065573,32.0270976657,5.7455699680
0,i_19,5,6,'BL',-16.4422323037,18.9462280652,16.4422323037,-17.7285187068
0,i_6,4,5,'BL',-54.6357228633,7.9783064150,54.9981733545,-6.8350262515
0,i_7,6,11,'BL',20.3696404334,1.8140309315,-20.0413605416,-1.1265717772
0,i_13,9,14,'BL',3.2798993282,4.6577343092,-3.2440623760,-4.5815043104
0,i_15,12,13,'BL',3.6849523367,-0.3451999776,-3.6593336356,0.3683788025
0,i_9,6,13,'BL',23.2304206036,5.3088716638,-22.9199876414,-4.6975322535
0,i_2,2,3,'BL',56.3862298797,2.4683388975,-55.0925813668,-1.9819775891
0,i_14,10,11,'BL',-17.0394382907,1.2456346964,17.2492534503,-0.7544805500
0,i_17,4,7,'BL',-6.0389331700,2.3278981430,6.0389331700,-2.2532856431
0,i_12,9,10,'BL',-5.6529934389,7.8303464674,5.6787694402,-7.7618751655
0,i_16,13,14,'BL',15.7230656804,-0.2731450976,-15.3606868469,1.0109622252
0,i_8,6,12,'BL',8.1509297148,1.7966983975,-8.0801642514,-1.6494157259
0,i_4,2,5,'BL',16.2300167027,2.3069934560,-16.0920072115,-5.8565612438
0,i_1,1,5,'BL',28.6499105454,3.3852405540,-28.2580613633,-7.4696942630
0,i_11,7,9,'BL',25.9881644958,6.4208922004,-25.9881644958,-5.7438694317
0,i_18,4,9,'BL',2.9312979772,4.0928917658,-2.9312979772,-3.9750244920
0,i_5,3,4,'BL',-31.4677390999,6.6045098528,32.1020397830,-6.4098888615
0,i_3,2,4,'BL',29.2957353872,0.7475861039,-28.8635755936,-3.3241090295
1,i_0,1,2,'BL',59.3790790024,-2.5430855334,-58.8031539693,-1.9041193425
1,i_10,7,8,'BL',-32.0316761218,-4.4256363182,32.0316761218,6.0086455581
1,i_19,5,6,'BL',-16.9514999378,18.9259618859,16.9514999378,-17.6766560110
1,i_6,4,5,'BL',-55.0873277629,7.8799536480,55.4556051064,-6.7182938025
1,i_7,6,11,'BL',20.9135852762,1.8081184839,-20.5676953216,-1.0837816555
1,i_13,9,14,'BL',4.4103871936,5.0249747244,-4.3609479882,-4.9198109107
1,i_15,12,13,'BL',-4.3952119147,-1.9946157035,4.4409289716,2.0359787550
1,i_9,6,13,'BL',30.3872762323,6.9766285875,-29.8558567066,-5.9300976486
1,i_2,2,3,'BL',56.3941427298,2.4672525569,-55.1001383612,-1.9793920198
1,i_14,10,11,'BL',-17.5525754888,1.3193189016,17.7755882303,-0.7972706717
1,i_17,4,7,'BL',-5.6510970805,2.4514234948,5.6510970805,-2.3838129775
1,i_12,9,10,'BL',-6.1640751130,7.9094909612,6.1919066384,-7.8355593708
1,i_16,13,14,'BL',14.5586721384,-0.7081796550,-14.2438012347,1.3492688255
1,i_4,2,5,'BL',16.1991271357,2.3620825611,-16.0613733451,-5.9121578917
1,i_1,1,5,'BL',28.6283766268,3.4251284835,-28.2368593475,-7.5105638848
1,i_11,7,9,'BL',26.3805790413,6.8094492956,-26.3805790413,-6.1076015744
1,i_18,4,9,'BL',3.1582896229,4.2200984232,-3.1582896229,-4.0908421472
1,i_5,3,4,'BL',-31.3850191184,6.6765123169,32.0168028557,-6.4880786513
1,i_3,2,4,'BL',29.3763097902,0.8302583892,-28.9415615019,-3.3982984818
--end of line flow
