--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_15,2,'1 ',13.6917722743
1,l_18,8,'1 ',7.7471497277
1,l_16,3,'1 ',22.6813609514
1,l_14,1,'1 ',4.4929046793
1,l_17,6,'1 ',-9.4349504244
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,12,1.0783473559,-0.3167872578
0,14,1.0656542244,-2.0525724798
0,8,1.1000000000,1.4020860455
0,1,1.0943868405,4.1950376297
0,5,1.0624677905,0.1994769406
0,13,1.0757640578,-0.4335759727
0,9,1.0847217908,-1.8287913931
0,3,1.0443527065,-4.6137205215
0,10,1.0791818354,-1.7192935791
0,11,1.0817570617,-0.7189878320
0,4,1.0605170800,-0.9138348488
0,7,1.0887588911,-0.6583875752
0,2,1.0770800403,1.4655599775
0,6,1.0925749928,0.6754398616
1,12,1.0499109501,0.6619655533
1,14,1.0622467715,-0.2036641597
1,8,1.1000000000,3.4205969420
1,1,1.0943868405,6.2632244417
1,5,1.0623879969,2.2702060928
1,13,1.0690575587,1.2464532255
1,9,1.0838427542,0.1632546527
1,3,1.0443527065,-2.5460108344
1,10,1.0784106827,0.2972549082
1,11,1.0813140954,1.3544625279
1,4,1.0603268296,1.1471360781
1,7,1.0882986446,1.3586680369
1,2,1.0770800403,3.5328887705
1,6,1.0925749928,2.8067173353
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0023056431
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_12,9,10,'BL',0.0268003237,7.1040507604,-0.0131562190,-7.0678065966
0,i_1,1,5,'BL',38.1852097966,4.7323416722,-37.5008265862,-7.6303951758
0,i_19,5,6,'BL',-4.1054579273,21.4633472503,4.1054579273,-20.5372944110
0,i_6,4,5,'BL',-48.5111101071,10.9716851758,48.8047357340,-10.0454997713
0,i_7,6,11,'BL',14.1543247119,-0.6407089949,-13.9945908911,0.9752115949
0,i_9,6,13,'BL',19.6430584494,4.2937686474,-19.4190232577,-3.8525734182
0,i_11,7,9,'BL',21.9280901531,4.2194559147,-21.9280901531,-3.7566913085
0,i_4,2,5,'BL',15.8578725755,2.0112462473,-15.7264973720,-5.5699957247
0,i_3,2,4,'BL',27.4344648033,-0.3374766272,-27.0561205993,-2.3986906261
0,i_10,7,8,'BL',-24.4451419871,-6.5083777020,24.4451419871,7.4593055827
0,i_0,1,2,'BL',95.8119894776,-0.2731799809,-94.3252107134,-1.4120147181
0,i_13,9,14,'BL',4.3140692012,5.6247533506,-4.2597853432,-5.5092843117
0,i_16,13,14,'BL',8.7865620163,-1.0589731842,-8.6708748659,1.2945166352
0,i_17,4,7,'BL',-2.5170518340,-2.2685024605,2.5170518340,2.2889217873
0,i_14,10,11,'BL',-9.4626306001,2.6880107825,9.5308040900,-2.5284241621
0,i_2,2,3,'BL',61.6837446869,3.8192232738,-60.1261899095,-2.1864025752
0,i_8,6,12,'BL',8.8786985670,1.8797604063,-8.7938926241,-1.7032555794
0,i_18,4,9,'BL',3.4084447929,1.9405122996,-3.4084447929,-1.8690839265
0,i_5,3,4,'BL',-39.1213815930,6.1091688404,40.0901667343,-5.0543692673
0,i_15,12,13,'BL',1.2264625647,0.0393243186,-1.2236018640,-0.0367360656
1,i_12,9,10,'BL',-0.5348882499,7.1726105985,0.5488968249,-7.1353982569
1,i_1,1,5,'BL',38.1694059464,4.7736158910,-37.4852803864,-7.6723159027
1,i_19,5,6,'BL',-4.6273605746,21.4276250604,4.6273605746,-20.4955649643
1,i_6,4,5,'BL',-48.9903462667,10.8551301646,49.2893235227,-9.9120640786
1,i_7,6,11,'BL',14.7378991564,-0.6612371486,-14.5647285696,1.0238780173
1,i_9,6,13,'BL',27.5056235928,6.0893903481,-27.0658279891,-5.2232955136
1,i_11,7,9,'BL',22.3689796904,4.6414502045,-22.3689796904,-4.1566808311
1,i_4,2,5,'BL',15.8359847262,2.0669684317,-15.7047287132,-5.6257885005
1,i_3,2,4,'BL',27.5302969388,-0.2499547596,-27.1491671077,-2.4770742823
1,i_10,7,8,'BL',-24.4520589162,-6.7893573723,24.4520589162,7.7471497277
1,i_0,1,2,'BL',95.8393215431,-0.2807112118,-94.3517021999,-1.4019170756
1,i_13,9,14,'BL',5.5697584226,6.0472435927,-5.4966212252,-5.8916709749
1,i_16,13,14,'BL',7.5220163837,-1.4977779567,-7.4340389840,1.6769032983
1,i_17,4,7,'BL',-2.0830792259,-2.1321000247,2.0830792259,2.1479071678
1,i_14,10,11,'BL',-10.0246836439,2.7556024429,10.1009417684,-2.5770905845
1,i_2,2,3,'BL',61.6800991053,3.8196885693,-60.1227240952,-2.1876252349
1,i_18,4,9,'BL',3.6615559035,2.0787093863,-3.6615559035,-1.9963631874
1,i_5,3,4,'BL',-39.0112944871,6.1770565024,39.9753656837,-5.1340301223
1,i_15,12,13,'BL',-7.5674300593,-1.6639312608,7.6877484999,1.7727908023
--end of line flow
