--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',-0.4427204094
1,l_17,6,'1 ',2.2229315183
1,l_16,3,'1 ',17.0444263543
1,l_18,8,'1 ',11.5829931001
1,l_15,2,'1 ',14.2505868121
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,6,1.1000000000,-17.9584306817
0,4,1.0577986434,-19.6260546794
0,13,1.0811540431,-18.9659007261
0,7,1.0839885258,-18.6260503649
0,5,1.0595835555,-18.7557686806
0,3,1.0576457231,-20.3214136248
0,1,1.0807616603,-16.2028516835
0,11,1.0821443012,-19.2053053935
0,12,1.0853324804,-18.8107827978
0,2,1.0718846443,-17.6548633618
0,14,1.0603397853,-20.8363833072
0,8,1.1000000000,-15.1086751291
0,9,1.0771114733,-20.3400375678
0,10,1.0731057236,-20.1170209439
1,6,1.1000000000,2.1209172061
1,4,1.0576052007,0.3894121541
1,13,1.0743355157,0.7253618037
1,7,1.0834948542,1.3509055889
1,5,1.0594983820,1.2684115014
1,3,1.0576457231,-0.3008859930
1,1,1.0807616603,3.8185199529
1,11,1.0816795274,0.8225042526
1,12,1.0574309384,0.3308137778
1,2,1.0718846443,2.3656853587
1,14,1.0568211284,-1.0071437386
1,8,1.1000000000,4.8703584834
1,9,1.0761615628,-0.3863799888
1,10,1.0722793711,-0.1407564536
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0018584706
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_11,7,9,'BL',31.7448543518,7.2511894159,-31.7448543518,-6.2584896985
0,i_18,4,9,'BL',2.6343801412,2.8678887280,-2.6343801412,-2.7971118020
0,i_3,2,4,'BL',22.6108803578,-0.4613957083,-22.3511779042,-2.6059902405
0,i_9,6,13,'BL',19.2424736568,6.2834879932,-19.0184629605,-5.8423410030
0,i_19,5,6,'BL',-6.9053037280,16.6905728941,6.9053037280,-16.0544249133
0,i_16,13,14,'BL',11.2903266056,1.0964030461,-11.1021643557,-0.7132975280
0,i_6,4,5,'BL',-37.9384488379,7.8508655501,38.1175279537,-7.2859950205
0,i_15,12,13,'BL',1.8452476362,0.2315253640,-1.8387612533,-0.2256567320
0,i_4,2,5,'BL',13.6125859648,1.2574685246,-13.5155161392,-4.8910559125
0,i_17,4,7,'BL',-9.7847663153,-1.1532393789,9.7847663153,1.3267631007
0,i_13,9,14,'BL',5.5754389846,4.0760749609,-5.5231781996,-3.9649092693
0,i_7,6,11,'BL',14.4997544031,3.0926377142,-14.3272147697,-2.7313181408
0,i_8,6,12,'BL',8.1226150504,2.4560664659,-8.0494692391,-2.3038296260
0,i_14,10,11,'BL',-9.9322772145,-0.7304111719,10.0029469627,0.8958412577
0,i_12,9,10,'BL',-2.9763880185,6.2369039299,2.9894824650,-6.2021198767
0,i_0,1,2,'BL',49.7865628964,-2.5474184942,-49.3752535496,-2.3136270569
0,i_1,1,5,'BL',24.0663881609,2.0683091995,-23.7871771303,-6.5509817376
0,i_5,3,4,'BL',-6.8979306073,1.9403217759,6.9306606145,-3.2888183595
0,i_10,7,8,'BL',-41.5296206671,-8.5779525165,41.5296206671,11.2737861244
0,i_2,2,3,'BL',27.0922687647,-0.6172170977,-26.7906012683,-3.0777875389
1,i_11,7,9,'BL',32.1332162950,7.7097996157,-32.1332162950,-6.6865185085
1,i_18,4,9,'BL',2.8593767616,3.0175452680,-2.8593767616,-2.9368589653
1,i_3,2,4,'BL',22.6941627441,-0.3693509936,-22.4324087740,-2.6911144944
1,i_9,6,13,'BL',26.4218616541,8.5233753855,-26.0004901426,-7.6935633403
1,i_19,5,6,'BL',-7.3824531429,16.6548866993,7.3824531429,-16.0076621616
1,i_16,13,14,'BL',10.1448350814,0.5731795726,-9.9919332977,-0.2618657086
1,i_6,4,5,'BL',-38.3727895067,7.7235579001,38.5556534623,-7.1467488237
1,i_15,12,13,'BL',-6.2042216029,-2.0723042620,6.2887574530,2.1487890787
1,i_4,2,5,'BL',13.5895892982,1.3167020070,-13.4926372502,-4.9503367471
1,i_17,4,7,'BL',-9.4019797838,-1.0065100409,9.4019797838,1.1663969446
1,i_13,9,14,'BL',6.7056850347,4.5700813500,-6.6334092575,-4.4163410887
1,i_7,6,11,'BL',15.0378477758,3.1046135780,-14.8527737610,-2.7170454421
1,i_14,10,11,'BL',-10.4502262735,-0.6983244609,10.5285059540,0.8815685589
1,i_12,9,10,'BL',-3.4932755048,6.2718105996,3.5074315240,-6.2342065877
1,i_0,1,2,'BL',49.8121608521,-2.5550898709,-49.4004298482,-2.3046682992
1,i_1,1,5,'BL',24.0500825580,2.1123694615,-23.7710321130,-6.5952609051
1,i_5,3,4,'BL',-6.8062038190,2.0233002225,6.8384490011,-3.3727723336
1,i_10,7,8,'BL',-41.5351960788,-8.8761965604,41.5351960788,11.5829931001
1,i_2,2,3,'BL',27.0924702843,-0.6172551243,-26.7907983812,-3.0777309464
--end of line flow
