--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',1.1757344784
1,l_15,2,'1 ',13.9015035931
1,l_17,6,'1 ',-4.1018357995
1,l_18,8,'1 ',8.7066108917
1,l_16,3,'1 ',14.6750113590
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,1,1.0876479846,2.8804023165
0,8,1.0999999737,1.6324540092
0,11,1.0809943157,1.7433530235
0,14,1.0582471190,-0.6474876391
0,3,1.0623361014,-1.3560891534
0,12,1.0856439894,3.2403512493
0,10,1.0722750102,-0.4310912241
0,13,1.0786129996,2.8759674449
0,2,1.0781439653,1.4103037085
0,9,1.0783093666,-1.0087177385
0,4,1.0647561185,0.0076073006
0,6,1.1000000000,4.3110555285
0,7,1.0869445186,0.0162604635
0,5,1.0670195413,0.9920055325
1,1,1.0876479846,71.2342082466
1,8,1.0999999737,69.9323792565
1,11,1.0805162321,70.1064290277
1,14,1.0549136658,67.4653421382
1,3,1.0623361014,66.9963673713
1,12,1.0566161124,70.4033457772
1,10,1.0714919154,67.8683391484
1,13,1.0719183016,70.8152763695
1,2,1.0781439653,69.7630817469
1,9,1.0774482694,67.2631326663
1,4,1.0645590614,68.3539062465
1,6,1.1000000000,72.7372369107
1,7,1.0864903885,68.3149847414
1,5,1.0669335436,69.3493169695
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0020724753
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_10,7,8,'BL',-19.1439057172,-7.7859266312,19.1439057172,8.4227328242
0,i_7,6,11,'BL',26.1302778540,-1.3667245123,-25.5928485848,2.4921686231
0,i_3,2,4,'BL',16.8677339154,0.8461760119,-16.7215156169,-4.3058838114
0,i_9,6,13,'BL',25.5398201638,5.3759557903,-25.1674211923,-4.6425859638
0,i_0,1,2,'BL',51.2786440318,-1.7960366857,-50.8475809089,-3.0796475061
0,i_2,2,3,'BL',28.5196512852,-0.0318588951,-28.1882903033,-3.5892950752
0,i_11,7,9,'BL',19.0584431832,8.7023638775,-19.0584431832,-8.2936327326
0,i_13,9,14,'BL',0.9046330822,7.5841811085,-0.8408587960,-7.4485246575
0,i_1,1,5,'BL',18.5622902571,2.9352637838,-18.3893147022,-7.9321191153
0,i_8,6,12,'BL',9.5288093879,1.6763468110,-9.4337234221,-1.4784463888
0,i_12,9,10,'BL',-9.5204273199,11.3539745254,9.5804911192,-11.1944212077
0,i_4,2,5,'BL',6.4077055672,2.8057128579,-6.3762227861,-6.6901899255
0,i_15,12,13,'BL',3.5828701686,-0.1292996815,-3.5587773546,0.1510979418
0,i_14,10,11,'BL',-20.9655034066,4.5230077935,21.2937750608,-3.7545600588
0,i_16,13,14,'BL',18.9823179423,-2.3912237565,-18.4445151586,3.4862107381
0,i_6,4,5,'BL',-43.6523452398,8.5140668032,43.8852674464,-7.7793586295
0,i_5,3,4,'BL',-14.0919199585,3.4831218960,14.2203324197,-4.6032227412
0,i_17,4,7,'BL',-0.0854625340,0.9179367295,0.0854625340,-0.9164372462
0,i_18,4,9,'BL',3.7786928472,4.0856129278,-3.7786928472,-3.9429489315
0,i_19,5,6,'BL',-28.9309289835,21.2219788914,28.9309289835,-18.7466908130
1,i_10,7,8,'BL',-19.1501231432,-8.0623791214,19.1501231432,8.7066108917
1,i_7,6,11,'BL',26.7703463699,-1.3783917548,-26.2063132407,2.5595476760
1,i_3,2,4,'BL',16.9677982301,0.9354621472,-16.8196314193,-4.3885443681
1,i_9,6,13,'BL',33.9116283952,7.0013442133,-33.2561325488,-5.7104682661
1,i_0,1,2,'BL',51.3110127623,-1.8057259783,-50.8794098276,-3.0683100885
1,i_2,2,3,'BL',28.5227562682,-0.0324391932,-28.1913248663,-3.5884180956
1,i_11,7,9,'BL',19.5342972513,9.1095696030,-19.5342972513,-8.6766230212
1,i_13,9,14,'BL',2.2434144688,7.9278584340,-2.1690863359,-7.7697525369
1,i_1,1,5,'BL',18.5402839033,2.9814604567,-18.3674336213,-7.9783814771
1,i_12,9,10,'BL',-10.1105760185,11.4772087863,10.1746813159,-11.3069196436
1,i_4,2,5,'BL',6.3757422197,2.8691231060,-6.3441583794,-6.7529741379
1,i_15,12,13,'BL',-5.8508532535,-1.6077460703,5.9237071662,1.6736615152
1,i_14,10,11,'BL',-21.5596936033,4.6355062294,21.9072397167,-3.8219391117
1,i_16,13,14,'BL',17.5885447779,-2.8459050276,-17.1162876187,3.8074386175
1,i_6,4,5,'BL',-44.1901891798,8.4137248196,44.4285630188,-7.6618205229
1,i_5,3,4,'BL',-13.9868159852,3.5626198761,14.1138768999,-4.6859017391
1,i_17,4,7,'BL',0.3841741081,1.0493945729,-0.3841741081,-1.0471904816
1,i_18,4,9,'BL',4.0514714672,4.2198366226,-4.0514714672,-4.0621402507
1,i_19,5,6,'BL',-29.5281700434,21.2134873590,29.5281700434,-18.6713512560
--end of line flow
