--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_17,6,'1 ',-5.7263601826
1,l_18,8,'1 ',6.4643209118
1,l_16,3,'1 ',23.1427994389
1,l_14,1,'1 ',0.9475586832
1,l_15,2,'1 ',15.9907854091
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,4,1.0689756747,-0.8099481538
0,6,1.1000000000,0.5039789055
0,1,1.1000000000,3.3363829276
0,7,1.0902742029,-1.5935891180
0,8,1.1000000000,-0.4002684338
0,11,1.0844438233,-1.1997467054
0,2,1.0914991308,1.8708191611
0,3,1.0703541714,-2.0523855793
0,9,1.0831843052,-2.7664185757
0,13,1.0824503256,-0.6125528036
0,14,1.0657868281,-2.5705046975
0,12,1.0879433794,-0.3669306496
0,5,1.0711933763,0.2108425931
0,10,1.0777479643,-2.5216153888
1,4,1.0688131908,0.9983460207
1,6,1.1000000000,2.3765127672
1,1,1.1000000000,5.1504703937
1,7,1.0898849666,0.1767595658
1,8,1.1000000000,1.3708847212
1,11,1.0840615782,0.6218203542
1,2,1.0914991308,3.6840618355
1,3,1.0703541714,-0.2397727495
1,9,1.0824483414,-1.0174706111
1,13,1.0768481558,0.8649883757
1,14,1.0629549565,-0.9466798017
1,12,1.0638135295,0.4907073123
1,5,1.0711284771,2.0278145996
1,10,1.0770948369,-0.7507378758
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0014973099
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_2,2,3,'BL',41.1535195259,0.6638083915,-40.4813004334,-2.9498253960
0,i_18,4,9,'BL',7.3349522158,4.0901827522,-7.3349522158,-3.7678473176
0,i_9,6,13,'BL',20.2119161988,4.7290511510,-19.9763535989,-4.2651548564
0,i_1,1,5,'BL',30.6387799280,4.5942100875,-30.1940138982,-8.5575215854
0,i_0,1,2,'BL',51.7408193979,-3.6737905464,-51.3120021088,-1.3565847179
0,i_14,10,11,'BL',-13.1700274189,2.0308179465,13.2954636967,-1.7371854555
0,i_15,12,13,'BL',2.6270648028,0.0916755631,-2.6141676880,-0.0800067449
0,i_4,2,5,'BL',21.4454421459,3.9437625817,-21.2083604747,-7.2660720326
0,i_5,3,4,'BL',-12.2288922916,5.0780753213,12.3361151262,-6.2689647863
0,i_6,4,5,'BL',-45.5173608653,9.2320749443,45.7693652616,-8.4371756837
0,i_7,6,11,'BL',17.9685639087,0.2878801653,-17.7150598052,0.2429891356
0,i_11,7,9,'BL',21.9729230113,7.2514704850,-21.9729230113,-6.7559820542
0,i_10,7,8,'BL',-14.1791080333,-5.8720855822,14.1791080333,6.2211090502
0,i_17,4,7,'BL',7.7938149780,1.4895944476,-7.7938149780,-1.3793849028
0,i_13,9,14,'BL',1.4887565209,6.2723073071,-1.4437337629,-6.1765378688
0,i_8,6,12,'BL',7.8219556451,1.4802258740,-7.7575812190,-1.3462447337
0,i_19,5,6,'BL',-2.5665795961,22.5124631842,2.5665795961,-21.5330058424
0,i_12,9,10,'BL',-2.8681919602,8.0610491756,2.8880397335,-8.0083256027
0,i_3,2,4,'BL',32.2784008644,2.0038494207,-31.7622901355,-4.4057777050
0,i_16,13,14,'BL',11.2520974056,-0.1500659762,-11.0673635272,0.5261911992
1,i_2,2,3,'BL',41.1597461531,0.6627743349,-40.4873275764,-2.9479509076
1,i_18,4,9,'BL',7.5510723472,4.2098828165,-7.5510723472,-3.8682001838
1,i_9,6,13,'BL',27.0882206571,6.1106480520,-26.6666583418,-5.2804602545
1,i_1,1,5,'BL',30.6190289038,4.6295049522,-30.1745639404,-8.5937172494
1,i_0,1,2,'BL',51.7680569715,-3.6819462691,-51.3387868604,-1.3470464629
1,i_14,10,11,'BL',-13.6628965428,2.1042263644,13.7980530904,-1.7878397941
1,i_15,12,13,'BL',-5.1305164161,-1.2545691706,5.1849727209,1.3038391607
1,i_4,2,5,'BL',21.4165389325,3.9926849268,-21.1797674561,-7.3157009351
1,i_5,3,4,'BL',-12.1491226381,5.1473931533,12.2556820934,-6.3397534571
1,i_6,4,5,'BL',-45.9511097502,9.1300317549,46.2076082733,-8.3209566384
1,i_7,6,11,'BL',18.4859498644,0.2682116785,-18.2176491988,0.2936434742
1,i_11,7,9,'BL',22.3506233119,7.6005103160,-22.3506233119,-7.0843626078
1,i_10,7,8,'BL',-14.1835999629,-6.1106205152,14.1835999629,6.4643209118
1,i_17,4,7,'BL',8.1670233490,1.6112230365,-8.1670233490,-1.4898898008
1,i_13,9,14,'BL',2.5742509449,6.5941748482,-2.5198897516,-6.4785413068
1,i_19,5,6,'BL',-3.0528655841,22.4820687054,3.0528655841,-21.4998880807
1,i_12,9,10,'BL',-3.3598659522,8.1376323384,3.3809088574,-8.0817340206
1,i_3,2,4,'BL',32.3563110893,2.0813222817,-31.8374367202,-4.4742744979
1,i_16,13,14,'BL',10.1432617396,-0.5186064838,-9.9912075385,0.8281946372
--end of line flow
