--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',0.8076423993
1,l_18,8,'1 ',5.5657667526
1,l_17,6,'1 ',-12.2150206358
1,l_16,3,'1 ',26.0775039670
1,l_15,2,'1 ',16.6811967475
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,1,1.0934960302,-1.4381221450
0,3,1.0653055648,-6.5081976704
0,9,1.0850838297,-5.0135942367
0,14,1.0669439081,-4.4106912058
0,10,1.0788120015,-4.2984758075
0,4,1.0696711287,-4.2728961006
0,6,1.1000000000,-0.0017523355
0,12,1.0863403924,-1.1691355546
0,2,1.0901299755,-1.9484971976
0,13,1.0805036595,-1.5578904727
0,5,1.0723505125,-3.1115330444
0,8,1.0999366555,-4.0298189355
0,7,1.0914800121,-4.5441504539
0,11,1.0850251364,-2.2837678784
1,1,1.0934960302,1.6007682735
1,3,1.0653055648,-3.4703422859
1,9,1.0843055241,-2.0613389871
1,14,1.0637831895,-1.6292303329
1,10,1.0780968913,-1.3173174916
1,4,1.0694816695,-1.2424313044
1,6,1.1000000000,3.1121988294
1,12,1.0574996682,0.5251705689
1,2,1.0901299755,1.0893788630
1,13,1.0740603584,1.0251222649
1,5,1.0722709690,-0.0694039657
1,8,1.0999366555,-1.0491259568
1,7,1.0910674208,-1.5642521093
1,11,1.0845831209,0.7636854760
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0023786043
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_18,4,9,'BL',2.7840750760,3.7509483860,-2.7840750760,-3.6513549462
0,i_19,5,6,'BL',-27.2440965980,23.8365718548,27.2440965980,-21.3419495796
0,i_6,4,5,'BL',-51.9672656366,10.2284533533,52.2945666302,-9.1960455001
0,i_17,4,7,'BL',2.7026144586,1.1848848219,-2.7026144586,-1.1696621426
0,i_2,2,3,'BL',47.6361156838,1.6168469005,-46.7318092962,-2.8949202316
0,i_8,6,12,'BL',10.0627557738,1.1357883249,-9.9585879553,-0.9189860336
0,i_12,9,10,'BL',-12.4528406059,12.8495676409,12.5393448766,-12.6197779248
0,i_5,3,4,'BL',-23.2800167819,6.1826276405,23.6282073540,-6.7525451370
0,i_4,2,5,'BL',15.6621012519,4.0996001217,-15.5263894601,-7.7305361036
0,i_10,7,8,'BL',-6.1180847669,-5.2125376026,6.1180847669,5.3080571126
0,i_1,1,5,'BL',16.9253075881,3.5496591666,-16.7768269770,-8.7070659785
0,i_16,13,14,'BL',15.1108409924,-2.8012424795,-14.7650472373,3.5052917550
0,i_14,10,11,'BL',-19.2433903641,5.1075037974,19.5228472642,-4.4533260180
0,i_9,6,13,'BL',26.4795587025,3.3531040570,-26.0900880951,-2.5861148503
0,i_3,2,4,'BL',28.1164570553,1.9065648152,-27.7223582431,-4.6761577763
0,i_15,12,13,'BL',3.3784529804,-0.5483193702,-3.3565233867,0.5681604312
0,i_11,7,9,'BL',8.8206992255,6.3821997453,-8.8206992255,-6.2727398285
0,i_13,9,14,'BL',-0.8779707661,7.7163320660,0.9430827982,-7.5778300501
0,i_0,1,2,'BL',18.0705679420,-2.7748127917,-18.0176190460,-3.3575951144
0,i_7,6,11,'BL',22.8621492634,-2.1596700262,-22.4482075600,3.0265157286
1,i_18,4,9,'BL',3.0752710290,3.8699176998,-3.0752710290,-3.7583591604
1,i_19,5,6,'BL',-27.8706068500,23.8303844202,27.8706068500,-21.2702099781
1,i_6,4,5,'BL',-52.5351863045,10.1417009344,52.8693240701,-9.0877278028
1,i_17,4,7,'BL',3.2046433785,1.3017312097,-3.2046433785,-1.2808089310
1,i_2,2,3,'BL',47.6363192297,1.6168154158,-46.7320052792,-2.8948568843
1,i_12,9,10,'BL',-13.0689061457,13.0033532070,13.1608643325,-12.7590757223
1,i_5,3,4,'BL',-23.1626745347,6.2512265678,23.5082097498,-6.8276619663
1,i_4,2,5,'BL',15.6305788527,4.1587724746,-15.4949889979,-7.7897856337
1,i_10,7,8,'BL',-6.1252205800,-5.4660400393,6.1252205800,5.5657667526
1,i_1,1,5,'BL',16.9048966541,3.5927177125,-16.7564746271,-8.7499467111
1,i_16,13,14,'BL',13.6435970364,-3.1770662461,-13.3528256018,3.7690879782
1,i_14,10,11,'BL',-19.8649098200,5.2468015950,20.1629145537,-4.5492053828
1,i_9,6,13,'BL',35.3435605857,4.5579070718,-34.6492907576,-3.1906730506
1,i_3,2,4,'BL',28.2250852070,1.9912786489,-27.8276648438,-4.7501042296
1,i_15,12,13,'BL',-6.5801349749,-1.4673054038,6.6699232318,1.5485423981
1,i_11,7,9,'BL',9.3298639584,6.7468489703,-9.3298639584,-6.6243416391
1,i_13,9,14,'BL',0.5384554596,7.9890720158,-0.4691388373,-7.8416262733
1,i_0,1,2,'BL',18.1028718977,-2.7850753133,-18.0497348618,-3.3467581738
1,i_7,6,11,'BL',23.5265638206,-2.2045631673,-23.0882748495,3.1223950934
--end of line flow
