--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',-0.0977696293
1,l_16,3,'1 ',22.0756477954
1,l_17,6,'1 ',-2.2790537171
1,l_15,2,'1 ',17.4969202025
1,l_18,8,'1 ',11.2419565065
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,2,1.0767423300,-7.9249882452
0,5,1.0670304335,-7.9695223288
0,7,1.0848778157,-6.7732168344
0,3,1.0516871167,-12.6457940701
0,12,1.0872442991,-4.7136335979
0,1,1.0820566450,-7.1106970873
0,6,1.1000000000,-3.7560357866
0,10,1.0716215420,-7.5560542761
0,4,1.0652652511,-8.8784706712
0,8,1.1000000000,-2.8889660139
0,11,1.0812425073,-5.7741195848
0,9,1.0754118858,-8.1312479542
0,14,1.0604492817,-7.7561557424
0,13,1.0791013985,-5.1265895350
1,2,1.0767423300,3099.6653173747
1,5,1.0669609276,3099.6252551888
1,7,1.0844909538,3100.7712282301
1,3,1.0516871167,3094.9435958989
1,12,1.0615290560,3101.8170880404
1,1,1.0820566450,3100.4805801227
1,6,1.1000000000,3103.9012942872
1,10,1.0709468369,3099.9892070400
1,4,1.0651037300,3098.7063979665
1,8,1.1000000000,3104.6572511871
1,11,1.0808375740,3101.8273112570
1,9,1.0746639191,3099.3894088657
1,14,1.0575011788,3099.6248444289
1,13,1.0731859263,3102.0955219116
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0015110808
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_8,6,12,'BL',8.5145967873,1.4592909642,-8.4387908883,-1.3015177395
0,i_14,10,11,'BL',-17.6975935327,2.4840756000,17.9257838653,-1.9499072005
0,i_18,4,9,'BL',-2.7720979479,4.7486828607,2.7720979479,-4.6095433710
0,i_4,2,5,'BL',2.2428016935,3.2739479259,-2.2266383083,-7.2000132296
0,i_3,2,4,'BL',11.8749965502,1.2142489454,-11.7992318527,-4.8844392314
0,i_2,2,3,'BL',48.0634500117,1.6204756108,-47.1201446850,-2.6075770276
0,i_19,5,6,'BL',-36.7152115393,21.7399138834,36.7152115393,-18.2393737600
0,i_16,13,14,'BL',14.5791002593,-1.0308548829,-14.2655399333,1.6692756673
0,i_5,3,4,'BL',-39.6671497085,7.8999284937,40.6653374152,-6.7863833360
0,i_11,7,9,'BL',25.1344809558,9.6328331401,-25.1344809558,-8.9556142868
0,i_13,9,14,'BL',0.0334097167,5.9445717406,0.0054307925,-5.8619527737
0,i_7,6,11,'BL',21.3254783602,0.5610821945,-20.9682508561,0.1869968809
0,i_10,7,8,'BL',-45.8926130785,-7.7572995645,45.8926130785,10.9995093603
0,i_17,4,7,'BL',-20.7581321227,2.6473986437,20.7581321227,-1.8755335756
0,i_1,1,5,'BL',9.0103301068,2.2849947078,-8.9605540950,-7.7606408001
0,i_12,9,10,'BL',-10.3786462952,8.7996448836,10.4295720923,-8.6643657307
0,i_15,12,13,'BL',4.1154759449,-0.1041194101,-4.0838022464,0.1327765659
0,i_6,4,5,'BL',-40.0979875224,8.5863791567,40.2958128345,-7.9623773672
0,i_9,6,13,'BL',24.5557760803,5.4382456099,-24.2099588300,-4.7572234905
0,i_0,1,2,'BL',28.2059241818,-2.4120686448,-28.0741634417,-3.3374288296
1,i_14,10,11,'BL',-18.2275343379,2.5817879861,18.4699861291,-2.0142350850
1,i_18,4,9,'BL',-2.5317460703,4.8598575363,2.5317460703,-4.7216267336
1,i_4,2,5,'BL',2.2089195058,3.3280482878,-2.1925481624,-7.2532220498
1,i_3,2,4,'BL',11.9588077171,1.2862804485,-11.8818092222,-4.9521421213
1,i_2,2,3,'BL',48.0722434328,1.6191408141,-47.1285999768,-2.6048176837
1,i_19,5,6,'BL',-37.2568460575,21.7449989663,37.2568460575,-18.1665326486
1,i_16,13,14,'BL',13.3593502576,-1.4216149210,-13.0914770565,1.9670149762
1,i_5,3,4,'BL',-39.5842736884,7.9631705639,40.5791441781,-6.8578717341
1,i_11,7,9,'BL',25.5477688166,9.9956877676,-25.5477688166,-9.2917312791
1,i_13,9,14,'BL',1.2133100615,6.2547281261,-1.1686320843,-6.1596920826
1,i_7,6,11,'BL',21.8887671773,0.5367239400,-21.5124531199,0.2513247654
1,i_10,7,8,'BL',-45.8971463208,-7.9912908042,45.8971463208,11.2419565065
1,i_17,4,7,'BL',-20.3493775043,2.7478254528,20.3493775043,-2.0043969634
1,i_1,1,5,'BL',8.9875927474,2.3237460174,-8.9378201508,-7.7990413285
1,i_12,9,10,'BL',-10.9049069016,8.9071333400,10.9595128974,-8.7620781168
1,i_15,12,13,'BL',-4.3233149434,-1.4056371496,4.3638327499,1.4422961173
1,i_6,4,5,'BL',-40.5783234119,8.5139689600,40.7806232625,-7.8758531015
1,i_9,6,13,'BL',32.0240039125,6.8303151985,-31.4378438245,-5.6759830039
1,i_0,1,2,'BL',28.2362169451,-2.4215156467,-28.1041753073,-3.3271242055
--end of line flow
