--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',22.4814111106
1,l_17,6,'1 ',-0.0763827851
1,l_18,8,'1 ',8.8008791923
1,l_14,1,'1 ',-0.8562852575
1,l_15,2,'1 ',15.5253897204
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,6,1.1000000000,-1.5956969669
0,7,1.0779599801,-6.7354793827
0,9,1.0691032792,-7.6529586899
0,10,1.0662553907,-6.8112954508
0,4,1.0565957069,-7.3974633512
0,11,1.0771411218,-4.3934477629
0,14,1.0506676379,-7.0369237172
0,3,1.0446019223,-10.7493756928
0,13,1.0763632767,-3.3152618948
0,2,1.0707399510,-5.7593987262
0,5,1.0601595108,-6.2304084666
0,1,1.0754812481,-5.0103300403
0,8,1.0910562837,-4.7434763332
0,12,1.0850408889,-2.7812276198
1,6,1.1000000000,4.7844314098
1,7,1.0774994300,-0.4956398855
1,9,1.0682267759,-1.4426513675
1,10,1.0654484214,-0.5702397346
1,4,1.0563907051,-1.1053698788
1,11,1.0766380322,1.9176541826
1,14,1.0472181779,-1.0039788648
1,3,1.0446019223,-4.4503576664
1,13,1.0693734470,2.5237833974
1,2,1.0707399510,0.5400343607
1,5,1.0600678187,0.0740185068
1,1,1.0754812481,1.2902317881
1,8,1.0910562837,1.4977955552
1,12,1.0543155737,2.1792629012
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0022530141
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_1,1,5,'BL',11.9985559931,1.7519622815,-11.9214338998,-7.0438676767
0,i_18,4,9,'BL',0.9346484027,4.1769504032,-0.9346484027,-4.0912501451
0,i_10,7,8,'BL',-23.2084970037,-7.6108720377,23.2084970037,8.5152110735
0,i_9,6,13,'BL',29.9050110351,5.1826355634,-29.4014130552,-4.1908939330
0,i_13,9,14,'BL',-0.8422829658,7.7095776776,0.9091719455,-7.5672958560
0,i_16,13,14,'BL',20.4091219454,-1.3914633343,-19.7917267483,2.6485035058
0,i_3,2,4,'BL',19.1761146399,0.5826779290,-18.9864839006,-3.8541852331
0,i_2,2,3,'BL',50.1797744331,1.8569011675,-49.1399195919,-2.3764808248
0,i_6,4,5,'BL',-51.6482769120,7.9836403912,51.9748875207,-6.9534102239
0,i_7,6,11,'BL',28.8694226167,-0.4339509607,-28.2150560420,1.8042764156
0,i_14,10,11,'BL',-23.3239421209,4.4529590407,23.7308613652,-3.5004059724
0,i_15,12,13,'BL',4.8075527993,-0.5776223938,-4.7635565652,0.6174285104
0,i_11,7,9,'BL',16.7743314432,8.8127624776,-16.7743314432,-8.4728451339
0,i_5,3,4,'BL',-34.8237874163,6.7242406854,35.6023359976,-6.1500028663
0,i_0,1,2,'BL',25.5765347761,-2.6465248050,-25.4669017285,-3.0990493701
0,i_19,5,6,'BL',-40.1180047639,18.5539754789,40.1180047639,-14.7487250874
0,i_12,9,10,'BL',-16.1206431031,9.8173430741,16.2197915126,-9.5539655010
0,i_17,4,7,'BL',-6.4341655604,1.2789932806,6.4341655604,-1.2018904399
0,i_4,2,5,'BL',6.7805107812,2.3332121703,-6.7484173498,-6.1630548187
0,i_8,6,12,'BL',10.3928127197,1.5389179033,-10.2806915517,-1.3055624727
1,i_1,1,5,'BL',11.9750497519,1.8011266093,-11.8979786035,-7.0927640651
1,i_18,4,9,'BL',1.2325832214,4.3080220525,-1.2325832214,-4.2140624780
1,i_10,7,8,'BL',-23.2152560461,-7.8887560279,23.2152560461,8.8008791923
1,i_9,6,13,'BL',39.0406444878,6.7393242282,-38.1825584892,-5.0494850288
1,i_13,9,14,'BL',0.6061116063,8.0273340174,-0.5339237052,-7.8737806802
1,i_16,13,14,'BL',18.8869896123,-1.8588698584,-18.3486310975,2.9549883300
1,i_3,2,4,'BL',19.2846949559,0.6736881331,-19.0927097831,-3.9373151257
1,i_2,2,3,'BL',50.1837142889,1.8563220221,-49.1436994545,-2.3752276241
1,i_6,4,5,'BL',-52.2325820538,7.8979278285,52.5664177775,-6.8449074297
1,i_7,6,11,'BL',29.5636271435,-0.4521090797,-28.8774064929,1.8891409539
1,i_14,10,11,'BL',-23.9629239381,4.5925269728,24.3932118161,-3.5852705107
1,i_15,12,13,'BL',-5.4731387524,-1.8831848665,5.5397212019,1.9434261303
1,i_11,7,9,'BL',17.2926352840,9.2250692807,-17.2926352840,-8.8610835476
1,i_5,3,4,'BL',-34.7090466072,6.7997253868,35.4833874048,-6.2359498913
1,i_0,1,2,'BL',25.6113060880,-2.6574118668,-25.5013762862,-3.0872562738
1,i_19,5,6,'BL',-40.7682838022,18.5614019452,40.7682838022,-14.6524916107
1,i_12,9,10,'BL',-16.7527990157,9.9750433211,16.8587733298,-9.6935334331
1,i_17,4,7,'BL',-5.9226207621,1.4027111116,5.9226207621,-1.3363132529
1,i_4,2,5,'BL',6.7452724358,2.4007497213,-6.7131238646,-6.2300876907
--end of line flow
