--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',22.5347270683
1,l_18,8,'1 ',6.1309033653
1,l_15,2,'1 ',19.6708819657
1,l_14,1,'1 ',0.0523586749
1,l_17,6,'1 ',-11.4910969314
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,4,1.0751729574,-6.4006361354
0,13,1.0769116475,-3.9058411485
0,2,1.0965618235,-4.2480590466
0,8,1.1000000000,-0.7445060954
0,14,1.0615164664,-6.3586999263
0,11,1.0876283170,-4.1618283226
0,3,1.0659341076,-10.0808885137
0,1,1.1000000000,-3.5978534041
0,5,1.0774201131,-5.2965611196
0,10,1.0827899489,-5.6905217794
0,7,1.0931849735,-4.6108458767
0,6,1.1000000000,-2.4099205972
0,12,1.0839030271,-3.6143292150
0,9,1.0878937416,-6.0993473560
1,4,1.0749565752,-1.3084072789
1,13,1.0692736999,0.7208009434
1,2,1.0965618235,0.8520583853
1,8,1.1000000000,4.2982258340
1,14,1.0576502508,-1.5278504231
1,11,1.0871107903,0.9461206819
1,3,1.0659341076,-4.9801284329
1,1,1.1000000000,1.5032461993
1,5,1.0773253197,-0.1924567345
1,10,1.0819115325,-0.6513201359
1,7,1.0926723285,0.4293340212
1,6,1.1000000000,2.7672182918
1,12,1.0510941261,0.1292680778
1,9,1.0869085059,-1.0900040576
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0029123183
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_7,6,11,'BL',17.7443133994,-1.3501622370,-17.4957298626,1.8707272557
0,i_9,6,13,'BL',26.8682708402,6.1622441684,-26.4528503539,-5.3441515494
0,i_11,7,9,'BL',28.0818523601,5.6227655154,-28.0818523601,-4.8677293410
0,i_4,2,5,'BL',14.8332372056,5.2468643674,-14.7036028171,-8.9395418045
0,i_5,3,4,'BL',-38.7746371029,10.0886383419,39.7303241610,-9.1164488291
0,i_10,7,8,'BL',-46.0311077007,-2.6757102638,46.0311077007,5.8094516741
0,i_8,6,12,'BL',10.7015321792,1.8829722889,-10.5816000796,-1.6333601305
0,i_19,5,6,'BL',-25.4104977963,26.3416004900,25.4104977963,-23.8154270648
0,i_1,1,5,'BL',17.4801390175,4.1585329542,-17.3209669132,-9.3337101372
0,i_12,9,10,'BL',-6.5339395930,9.0660557254,6.5675058983,-8.9768902808
0,i_2,2,3,'BL',61.3012767719,2.8378391316,-59.8210644604,-1.7233418143
0,i_16,13,14,'BL',13.3299211970,-1.4821532980,-13.0647968203,2.0219566419
0,i_3,2,4,'BL',26.7496308872,2.9138489910,-26.3919551492,-5.8379290554
0,i_6,4,5,'BL',-49.6710713794,10.5202398255,49.9687784254,-9.5811803716
0,i_0,1,2,'BL',22.8218298419,-4.1462470816,-22.7382648948,-1.9674790799
0,i_17,4,7,'BL',-17.9492553406,3.5260221213,17.9492553406,-2.9470552516
0,i_18,4,9,'BL',-1.1412584079,4.3273005260,1.1412584079,-4.2368223468
0,i_13,9,14,'BL',5.6713479197,7.9512734437,-5.5689017646,-7.7333567463
0,i_14,10,11,'BL',-14.7394748409,3.7871338026,14.9015507242,-3.4077320364
0,i_15,12,13,'BL',3.2273515280,0.2317492864,-3.2076644914,-0.2139372056
1,i_7,6,11,'BL',18.4481563749,-1.3775516979,-18.1795183007,1.9401134262
1,i_9,6,13,'BL',36.3387618335,8.0686189185,-35.5812578339,-6.5768570738
1,i_11,7,9,'BL',28.6240880478,6.1044475400,-28.6240880478,-5.3151664243
1,i_4,2,5,'BL',14.8069841220,5.3143702071,-14.6772475961,-9.0063824357
1,i_5,3,4,'BL',-38.6372909522,10.1630107951,39.5876595688,-9.2040978107
1,i_10,7,8,'BL',-46.0398446555,-2.9904032294,46.0398446555,6.1309033653
1,i_19,5,6,'BL',-26.0505483400,26.3254292979,26.0505483400,-23.7382927607
1,i_1,1,5,'BL',17.4630255558,4.2085834549,-17.3038004305,-9.3830392940
1,i_12,9,10,'BL',-7.1996929196,9.1786305581,7.2363350781,-9.0812944250
1,i_2,2,3,'BL',61.2948888138,2.8386823991,-59.8149789361,-1.7254592425
1,i_16,13,14,'BL',11.7843368422,-1.9664004443,-11.5709448697,2.4008746399
1,i_3,2,4,'BL',26.8690462487,3.0124332393,-26.5077991032,-5.9248858523
1,i_6,4,5,'BL',-50.2609393637,10.4089092297,50.5653072654,-9.4488393915
1,i_0,1,2,'BL',22.8535048949,-4.1562247801,-22.7697051675,-1.9567845625
1,i_17,4,7,'BL',-17.4157566077,3.6622810492,17.4157566077,-3.1140443106
1,i_18,4,9,'BL',-0.8263806104,4.4769779723,0.8263806104,-4.3833077537
1,i_13,9,14,'BL',7.1942147316,8.3919099391,-7.0627537152,-8.1122747444
1,i_14,10,11,'BL',-15.4083040207,3.8915379468,15.5853391623,-3.4771182069
1,i_15,12,13,'BL',-7.3542485516,-1.4016108441,7.4663273434,1.5030154652
--end of line flow
