--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',1.5209315790
1,l_16,3,'1 ',22.0682908017
1,l_18,8,'1 ',7.6737633330
1,l_15,2,'1 ',20.3189541946
1,l_17,6,'1 ',-4.5671832510
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,7,1.0907592926,6.6769685772
0,14,1.0608644658,4.0024421153
0,2,1.0859809743,7.0527705797
0,3,1.0678902702,3.7351825717
0,10,1.0814423905,4.9944382266
0,1,1.1000000000,9.4313772318
0,4,1.0697166255,5.2576809654
0,8,1.1000000000,10.5815566277
0,11,1.0866617135,5.7932932074
0,9,1.0856578056,4.9600397342
0,12,1.0845969481,5.9300217594
0,5,1.0713581857,6.2059973516
0,6,1.1000000000,6.9319535200
0,13,1.0773308095,5.6807897889
1,7,1.0902452914,75.2332309739
1,14,1.0571185772,72.3846518026
1,2,1.0859809743,75.6587480924
1,3,1.0678902702,72.3413899076
1,10,1.0805818206,73.5494574265
1,1,1.1000000000,78.0382531941
1,4,1.0695123820,73.8575368652
1,8,1.1000000000,79.1402377601
1,11,1.0861759904,74.4064448047
1,9,1.0846681547,73.4899375089
1,12,1.0544685962,73.4560689901
1,5,1.0712707165,74.8157270720
1,6,1.1000000000,75.6039118392
1,13,1.0700929292,73.8947810589
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0022723742
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_11,7,9,'BL',32.2518314398,5.5414377181,-32.2518314398,-4.5512479378
0,i_0,1,2,'BL',83.8951901927,-2.8711082107,-82.7678656056,0.0051002072
0,i_6,4,5,'BL',-42.0234065509,9.5252752702,42.2400197536,-8.8420107036
0,i_13,9,14,'BL',9.6863296079,5.4610710755,-9.5529830303,-5.1774250393
0,i_7,6,11,'BL',12.6395000025,1.4596062843,-12.5124250749,-1.1934954916
0,i_10,7,8,'BL',-46.3826267708,-4.1409941080,46.3826267708,7.3515734567
0,i_12,9,10,'BL',1.0552225134,5.0189865800,-1.0481235502,-5.0001289129
0,i_1,1,5,'BL',31.5044087047,4.3543572435,-31.0372185741,-8.2259689716
0,i_2,2,3,'BL',34.5429411027,0.1236782742,-34.0646003639,-3.1886572647
0,i_8,6,12,'BL',9.2390093718,2.2556195584,-9.1471345390,-2.0644023996
0,i_16,13,14,'BL',9.8218238995,0.4142178673,-9.6795005491,-0.1244420969
0,i_15,12,13,'BL',3.1089283021,0.5121283429,-3.0902839460,-0.4952596398
0,i_19,5,6,'BL',-6.3570057539,22.6302924166,6.3570057539,-21.5764820472
0,i_17,4,7,'BL',-14.1307953311,1.7548615783,14.1307953311,-1.4004436101
0,i_4,2,5,'BL',11.6536532779,3.3487055990,-11.5740492295,-7.1316502121
0,i_9,6,13,'BL',23.6066244527,7.3715089126,-23.2722597855,-6.7130405047
0,i_18,4,9,'BL',1.1194148558,3.6314120159,-1.1194148558,-3.5655098191
0,i_5,3,4,'BL',-15.6918037169,4.5136814506,15.8526473784,-5.5653565717
0,i_3,2,4,'BL',21.6907170334,1.1872474223,-21.4538744545,-4.4188110880
0,i_14,10,11,'BL',-8.2540956653,0.6468010112,8.3021872869,-0.5342238295
1,i_11,7,9,'BL',32.7016603883,6.0247088450,-32.7016603883,-5.0013702602
1,i_0,1,2,'BL',83.9241452027,-2.8792777297,-82.7960431740,0.0156433698
1,i_6,4,5,'BL',-42.5212418896,9.3950135926,42.7425624512,-8.6969005701
1,i_13,9,14,'BL',10.9852643780,5.9664635334,-10.8164246400,-5.6073187897
1,i_7,6,11,'BL',13.2464285508,1.4509222648,-13.1070410487,-1.1590274010
1,i_10,7,8,'BL',-46.3894438935,-4.4552158173,46.3894438935,7.6737633330
1,i_12,9,10,'BL',0.4676986980,5.0700283218,-0.4606894617,-5.0514090048
1,i_1,1,5,'BL',31.4868155659,4.4002093087,-31.0198191538,-8.2721596831
1,i_2,2,3,'BL',34.5406898556,0.1240766523,-34.0624102244,-3.1893130905
1,i_16,13,14,'BL',8.5245415467,-0.0845769270,-8.4160589394,0.3054516534
1,i_15,12,13,'BL',-6.0382062369,-1.5522740567,6.1154345536,1.6221472955
1,i_19,5,6,'BL',-6.9013285903,22.5928401084,6.9013285903,-21.5283222323
1,i_17,4,7,'BL',-13.6877835052,1.9034466556,13.6877835052,-1.5694930277
1,i_4,2,5,'BL',11.6293232711,3.4106517722,-11.5496685110,-7.1931173258
1,i_9,6,13,'BL',31.7824369407,9.5166685363,-31.1806959323,-8.3316526458
1,i_18,4,9,'BL',1.3809968620,3.7868076023,-1.3809968620,-3.7126311340
1,i_5,3,4,'BL',-15.5820794261,4.5962105244,15.7414192824,-5.6514441849
1,i_3,2,4,'BL',21.7886509658,1.2829144803,-21.5494048519,-4.5064424608
1,i_14,10,11,'BL',-8.8415297538,0.6980811032,8.8968032607,-0.5686919201
--end of line flow
