--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_18,8,'1 ',8.7953908494
1,l_16,3,'1 ',16.7418999897
1,l_17,6,'1 ',-5.7164531325
1,l_15,2,'1 ',14.5501968638
1,l_14,1,'1 ',-1.0170212648
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,11,1.0846074191,2.9144643711
0,2,1.0735110768,2.1373168595
0,9,1.0821042185,0.9676777883
0,6,1.1000000000,4.7436905966
0,8,1.1000000000,5.1857177389
0,10,1.0767933625,1.3301042328
0,4,1.0629184317,0.9522121690
0,14,1.0628148540,0.9349216769
0,12,1.0854711093,3.5966522698
0,3,1.0553916531,-1.1986894126
0,1,1.0782921448,2.8734612607
0,5,1.0641630088,1.7825022117
0,7,1.0878437282,2.2014706802
0,13,1.0796662106,3.3448233116
1,11,1.0841440548,1.6835295114
1,2,1.0735110768,0.8979729681
1,9,1.0812390069,-0.3571281728
1,6,1.1000000000,3.5784180903
1,8,1.1000000000,3.8912981026
1,10,1.0760162599,0.0336827370
1,4,1.0627242252,-0.2945162659
1,14,1.0593718678,-0.5587941511
1,12,1.0554326383,1.0533024241
1,3,1.0553916531,-2.4376587368
1,1,1.0782921448,1.6350964001
1,5,1.0640805377,0.5472063939
1,7,1.0873918648,0.9051723080
1,13,1.0727961103,1.6565039171
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0025150848
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_12,9,10,'BL',-5.3882287958,8.8570490626,5.4174268874,-8.7794873291
0,i_3,2,4,'BL',14.0317062126,0.0041105484,-13.9304834084,-3.5767524822
0,i_4,2,5,'BL',5.3852655348,2.0264609728,-5.3629472387,-5.9111419170
0,i_2,2,3,'BL',33.9522105231,0.2125341955,-33.4791243099,-3.1825584876
0,i_17,4,7,'BL',-12.3261457531,-0.3931623422,12.3261457531,0.6624209511
0,i_18,4,9,'BL',-0.0576069096,2.9226431720,0.0576069096,-2.8831444308
0,i_8,6,12,'BL',10.0665199263,1.5043524287,-9.9612867210,-1.2853327699
0,i_5,3,4,'BL',-22.7617000511,4.0227265022,23.0868807258,-4.6287002021
0,i_19,5,6,'BL',-25.7454194812,19.6060452263,25.7454194812,-17.5816750047
0,i_7,6,11,'BL',19.0207311359,-0.2644913543,-18.7366874271,0.8593144083
0,i_10,7,8,'BL',-35.3665187024,-6.5860688473,35.3665187024,8.5124398143
0,i_0,1,2,'BL',25.3243765216,-2.4897703794,-25.2174252390,-3.2956611216
0,i_1,1,5,'BL',10.8367607169,1.4386114086,-10.7736021780,-6.8239739686
0,i_13,9,14,'BL',3.1715283985,6.2289965582,-3.1184905346,-6.1161779157
0,i_14,10,11,'BL',-15.7161456679,2.5654507486,15.8955887577,-2.1453942676
0,i_9,6,13,'BL',24.7348183712,4.8814255448,-24.3873179037,-4.1970886454
0,i_15,12,13,'BL',2.7311507711,0.1394393725,-2.7171284335,-0.1267524956
0,i_6,4,5,'BL',-36.1927076209,8.6145966181,36.3562597446,-8.0987029905
0,i_11,7,9,'BL',23.0403729493,5.9236478962,-23.0403729493,-5.3975386081
0,i_16,13,14,'BL',13.3536765428,-1.0392328365,-13.0906113663,1.5748435704
1,i_12,9,10,'BL',-6.0115268613,8.9779512128,6.0432917706,-8.8935709915
1,i_3,2,4,'BL',14.1403638356,0.0882461673,-14.0374273471,-3.6549865789
1,i_4,2,5,'BL',5.3580393393,2.0860079406,-5.3356272374,-5.9700988297
1,i_2,2,3,'BL',33.9486258039,0.2131673597,-33.4756374258,-3.1836038336
1,i_17,4,7,'BL',-11.8300448457,-0.2719788929,11.8300448457,0.5199690036
1,i_18,4,9,'BL',0.2329900362,3.0533180076,-0.2329900362,-3.0099582105
1,i_5,3,4,'BL',-22.6413190075,4.0919903284,22.9636090517,-4.7050776002
1,i_19,5,6,'BL',-26.3516182981,19.5962719215,26.3516182981,-17.5112701669
1,i_7,6,11,'BL',19.6815912931,-0.3016132422,-19.3774543395,0.9385140642
1,i_10,7,8,'BL',-35.3740639568,-6.8611134781,35.3740639568,8.7953908494
1,i_0,1,2,'BL',25.3546908667,-2.4992694963,-25.2474853356,-3.2853857467
1,i_1,1,5,'BL',10.8190217959,1.4822482315,-10.7558665407,-6.8671925714
1,i_13,9,14,'BL',4.5890695716,6.5898115648,-4.5189569516,-6.4406726286
1,i_14,10,11,'BL',-16.3420105511,2.6795344110,16.5363556701,-2.2245939235
1,i_9,6,13,'BL',33.6317388603,6.4026414749,-32.9909653084,-5.1407583213
1,i_15,12,13,'BL',-7.2301359499,-1.1458933974,7.3364133781,1.2420491658
1,i_6,4,5,'BL',-36.7491898611,8.5173498280,36.9174029229,-7.9867541702
1,i_11,7,9,'BL',23.5440191111,6.3411444746,-23.5440191111,-5.7880052291
1,i_16,13,14,'BL',11.9037821359,-1.4643648220,-11.6901449492,1.8993382833
--end of line flow
