--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',23.8301907663
1,l_15,2,'1 ',23.0294388011
1,l_14,1,'1 ',2.7620486087
1,l_18,8,'1 ',4.6620110330
1,l_17,6,'1 ',-10.7998003502
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,3,1.0589927142,-9.1423917553
0,13,1.0777738202,-2.9434696919
0,2,1.0862217434,-4.1620532120
0,11,1.0809679922,-4.1070979836
0,9,1.0768602971,-7.3771158980
0,4,1.0655455055,-6.2931805034
0,8,1.0909487609,-5.7334843463
0,10,1.0728656669,-6.5524753816
0,6,1.1000000000,-1.2652960987
0,12,1.0863819767,-2.4616220009
0,5,1.0698632321,-4.9774371151
0,14,1.0588721531,-6.2327561078
0,1,1.0960059262,-2.6411704536
0,7,1.0839610589,-6.6302900110
1,3,1.0589927142,-5.3475653896
1,13,1.0713867467,0.3866210696
1,2,1.0862217434,-0.3667068962
1,11,1.0805146433,-0.3005562709
1,9,1.0760980007,-3.6691253167
1,4,1.0653556345,-2.5051513543
1,8,1.0909487609,-1.9960974247
1,10,1.0721544816,-2.8145653929
1,6,1.1000000000,2.6095596392
1,12,1.0575228007,-0.0502204952
1,5,1.0697829022,-1.1773054227
1,14,1.0557735468,-2.7002864738
1,1,1.0960059262,1.1552847097
1,7,1.0835542386,-2.8937938658
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0021628126
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_4,2,5,'BL',11.6322602718,4.4357351305,-11.5467009109,-8.1958639690
0,i_17,4,7,'BL',3.3227458189,2.9032896682,-3.3227458189,-2.8689900552
0,i_15,12,13,'BL',4.5554379206,-0.3355625715,-4.5163825876,0.3708983490
0,i_7,6,11,'BL',28.5141624240,-2.3555901764,-27.8715903335,3.7012165062
0,i_0,1,2,'BL',53.7981140471,-1.9597492591,-53.3309361871,-2.9000093893
0,i_1,1,5,'BL',23.2823285866,4.6883409941,-23.0122355537,-9.3441335202
0,i_14,10,11,'BL',-23.2231196783,5.9446931457,23.6327511491,-4.9857910543
0,i_6,4,5,'BL',-59.4267147895,8.6281264762,59.8507095165,-7.2907168918
0,i_8,6,12,'BL',10.2496519735,1.0329790037,-10.1418544068,-0.8086221937
0,i_9,6,13,'BL',28.9224975027,4.4715297861,-28.4542509333,-3.5494061188
0,i_13,9,14,'BL',-4.1071706509,9.1792173194,4.2180185848,-8.9434289128
0,i_2,2,3,'BL',51.6026337246,2.3014507261,-50.5326247067,-2.8334187080
0,i_19,5,6,'BL',-32.4390393517,22.8790966581,32.4390393517,-19.8654241079
0,i_3,2,4,'BL',25.9404461196,2.6366351709,-25.5984190937,-5.5347915720
0,i_12,9,10,'BL',-15.5100288149,11.0710763037,15.6096396861,-10.8064702484
0,i_5,3,4,'BL',-29.5322727862,7.6112911400,30.0948561037,-7.6197923612
0,i_11,7,9,'BL',13.8300998041,7.0867265384,-13.8300998041,-6.8606216322
0,i_18,4,9,'BL',4.0276069487,4.5407638442,-4.0276069487,-4.3713143191
0,i_10,7,8,'BL',-10.5073539852,-4.2177364832,10.5073539852,4.4099227142
0,i_16,13,14,'BL',17.6885029300,-2.2938739989,-17.2203495899,3.2470520566
1,i_4,2,5,'BL',11.5958196661,4.4970550935,-11.5102836455,-8.2569578461
1,i_17,4,7,'BL',3.8285575407,3.0167694142,-3.8285575407,-2.9748989609
1,i_15,12,13,'BL',-5.5864164863,-1.1441847652,5.6506510536,1.2023017547
1,i_7,6,11,'BL',29.1947692833,-2.3944372227,-28.5212214523,3.8049306276
1,i_0,1,2,'BL',53.8335734626,-1.9703294569,-53.3657839771,-2.8875618088
1,i_1,1,5,'BL',23.2576832341,4.7323780656,-22.9878024446,-9.3886239299
1,i_14,10,11,'BL',-23.8497971822,6.1021391477,24.2823822679,-5.0895051757
1,i_6,4,5,'BL',-60.0072750362,8.5500014366,60.4394188666,-7.1868870775
1,i_9,6,13,'BL',37.9257918802,5.5834388026,-37.1224026018,-4.0013145200
1,i_13,9,14,'BL',-2.6812661867,9.4096019677,2.7863469479,-9.1860811100
1,i_2,2,3,'BL',51.6077094321,2.3007037467,-50.5374946851,-2.8318049873
1,i_19,5,6,'BL',-33.0885990763,22.8808511305,33.0885990763,-19.7851546432
1,i_3,2,4,'BL',26.0477522471,2.7212817591,-25.7025870797,-5.6092284550
1,i_12,9,10,'BL',-16.1301029583,11.2460634553,16.2363171901,-10.9639162504
1,i_5,3,4,'BL',-29.4208842876,7.6811835091,29.9802424533,-7.6976573616
1,i_11,7,9,'BL',14.3423999636,7.4411371435,-14.3423999636,-7.1965148284
1,i_18,4,9,'BL',4.3211371100,4.6577110212,-4.3211371100,-4.4719755807
1,i_10,7,8,'BL',-10.5138424229,-4.4662381827,10.5138424229,4.6620110330
1,i_16,13,14,'BL',16.1896209574,-2.6733690033,-15.7886779530,3.4897042538
--end of line flow
