--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',-0.9740662757
1,l_18,8,'1 ',9.9168770302
1,l_17,6,'1 ',0.7214436517
1,l_16,3,'1 ',25.3599761189
1,l_15,2,'1 ',8.8797997156
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,6,1.1000000000,-9.8649156645
0,4,1.0629577710,-14.3313605180
0,12,1.0839431997,-11.0995374204
0,13,1.0767426465,-11.4061018967
0,2,1.0759163144,-12.8989511086
0,1,1.0766378546,-12.8362435969
0,5,1.0642317846,-13.4912675667
0,7,1.0851236537,-13.6207141061
0,8,1.1000000000,-11.8775181945
0,14,1.0574638303,-14.0143609693
0,9,1.0753654456,-14.3563372835
0,3,1.0575407908,-16.2680186498
0,10,1.0718337747,-13.8241456741
0,11,1.0806219389,-12.0058185472
1,6,1.1000000000,2.7452248746
1,4,1.0627392944,-1.8090430343
1,12,1.0509828035,0.0308548881
1,13,1.0691355841,0.6392668342
1,2,1.0759163144,-0.3685728581
1,1,1.0766378546,-0.3048338682
1,5,1.0641352821,-0.9565926754
1,7,1.0846223075,-1.1529553845
1,8,1.1000000000,0.5917712118
1,14,1.0536657272,-1.7599745146
1,9,1.0744063090,-1.9193200385
1,3,1.0575407908,-3.7370289502
1,10,1.0709689770,-1.3560483658
1,11,1.0801014171,0.5334751669
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0028542205
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_6,4,5,'BL',-36.6334033963,8.6866160783,36.8008826978,-8.1583349258
0,i_8,6,12,'BL',10.8967683503,1.7771268046,-10.7729464392,-1.5194188632
0,i_19,5,6,'BL',-31.5235640424,19.9731873085,31.5235640424,-17.2814014183
0,i_13,9,14,'BL',0.6883202863,6.8037983050,-0.6369167805,-6.6944561613
0,i_7,6,11,'BL',22.5095928523,0.3851089473,-22.1117521834,0.4480191747
0,i_1,1,5,'BL',6.9252702840,1.4930039795,-6.8941177017,-7.0020800902
0,i_16,13,14,'BL',14.4893109541,-0.8127901455,-14.1788161069,1.4449694979
0,i_0,1,2,'BL',2.3237265446,-2.5071823880,-2.3227726358,-3.6061119497
0,i_11,7,9,'BL',13.6183340577,9.7127879653,-13.6183340577,-9.4513809848
0,i_10,7,8,'BL',-20.6132196682,-8.8505664475,20.6132196682,9.6033966859
0,i_2,2,3,'BL',34.4421207132,0.2696719119,-33.9573918957,-3.2119124300
0,i_17,4,7,'BL',-6.9948856104,0.9504375358,6.9948856104,-0.8622215177
0,i_3,2,4,'BL',17.0364710670,0.5274337406,-16.8876474474,-3.9645740938
0,i_5,3,4,'BL',-20.2662397639,4.2505091727,20.5271062220,-5.0235921622
0,i_4,2,5,'BL',8.2970114397,2.5451006081,-8.2529693187,-6.3726514111
0,i_9,6,13,'BL',27.5014366332,6.0024192401,-27.0682590691,-5.1493573917
0,i_12,9,10,'BL',-9.5957377709,8.1656357583,9.6394075595,-8.0496314471
0,i_14,10,11,'BL',-17.8435697393,3.0220332419,18.0774906509,-2.4744501891
0,i_15,12,13,'BL',3.3531431353,0.2070908961,-3.3319214652,-0.1878903374
0,i_18,4,9,'BL',0.0924584259,4.2598709901,-0.0924584259,-4.1759581666
1,i_6,4,5,'BL',-37.2351131724,8.5786758783,37.4076948648,-8.0343002180
1,i_19,5,6,'BL',-32.1757587673,19.9664138963,32.1757587673,-17.1943498585
1,i_13,9,14,'BL',2.2201882239,7.1995371699,-2.1576846747,-7.0665837467
1,i_7,6,11,'BL',23.2246360659,0.3593753067,-22.8011407561,0.5274768424
1,i_1,1,5,'BL',6.9077005449,1.5435060800,-6.8764555210,-7.0516953178
1,i_16,13,14,'BL',12.9098186766,-1.3044828153,-12.6580482127,1.8170970833
1,i_0,1,2,'BL',2.3555673860,-2.5175723557,-2.3545904700,-3.5956517376
1,i_11,7,9,'BL',14.1682040042,10.1670215592,-14.1682040042,-9.8826405684
1,i_10,7,8,'BL',-20.6217823296,-9.1546245087,20.6217823296,9.9168770302
1,i_2,2,3,'BL',34.4362433145,0.2707065446,-33.9516764704,-3.2136294607
1,i_17,4,7,'BL',-6.4535783254,1.0882544589,6.4535783254,-1.0123970505
1,i_3,2,4,'BL',17.1560344158,0.6235903847,-17.0049130412,-4.0529692795
1,i_5,3,4,'BL',-20.1313848306,4.3293337829,20.3894599803,-5.1092438187
1,i_4,2,5,'BL',8.2693735131,2.6133537438,-8.2252489416,-6.4402974790
1,i_9,6,13,'BL',37.1415680886,7.8114990094,-36.3540465454,-6.2606232507
1,i_12,9,10,'BL',-10.2624214356,8.2996105658,10.3104253649,-8.1720930548
1,i_14,10,11,'BL',-18.5145875447,3.1444948495,18.7668792235,-2.5539078568
1,i_15,12,13,'BL',-7.4198033039,-1.3123279671,7.5333582886,1.4150681913
1,i_18,4,9,'BL',0.4077727523,4.4040411092,-0.4077727523,-4.3135888293
--end of line flow
