--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_18,8,'1 ',3.0222062031
1,l_15,2,'1 ',22.6205539825
1,l_14,1,'1 ',4.9737527731
1,l_17,6,'1 ',1.6744707920
1,l_16,3,'1 ',23.3574706854
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,13,1.0769894155,-26.0879043855
0,10,1.0641936365,-28.7701468148
0,1,1.0974550253,-21.6449567728
0,9,1.0660181428,-29.2858826897
0,2,1.0815109261,-24.1960082744
0,11,1.0776611524,-26.9049436210
0,14,1.0503934962,-29.0573143634
0,3,1.0513833302,-29.8068307131
0,7,1.0723164641,-28.5819605092
0,4,1.0556476915,-27.4161028176
0,12,1.0849975699,-25.8146651424
0,6,1.1000000000,-24.8385092011
0,5,1.0618022803,-25.9529479982
0,8,1.0767593296,-28.4504823477
1,13,1.0700244614,0.7852969144
1,10,1.0633523220,-1.5703415820
1,1,1.0974550253,5.6059825697
1,9,1.0650737067,-2.1122972365
1,2,1.0815109261,3.0539367100
1,11,1.0771663936,0.3545753833
1,14,1.0468601774,-2.0283239860
1,3,1.0513833302,-2.5574858349
1,7,1.0718180658,-1.3832898849
1,4,1.0554388858,-0.1719634830
1,12,1.0557775162,0.3895958978
1,6,1.1000000000,2.4795869813
1,5,1.0617114020,1.3013609891
1,8,1.0767593296,-1.2512557537
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0018861217
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_2,2,3,'BL',57.4782859660,3.0059908897,-56.1385875517,-2.3442186644
0,i_11,7,9,'BL',12.7657547766,6.2176737669,-12.7657547766,-6.0247754842
0,i_19,5,6,'BL',-9.6714507616,17.8476009007,9.6714507616,-17.0474819700
0,i_7,6,11,'BL',22.4546480798,2.0192074945,-22.0556626743,-1.1836821507
0,i_5,3,4,'BL',-24.1661250958,6.7042788283,24.5534491328,-7.1363808412
0,i_9,6,13,'BL',23.6954096764,7.6140173831,-23.3567622955,-6.9471149748
0,i_1,1,5,'BL',41.4220231205,6.0217658909,-40.6161058480,-8.4311831116
0,i_13,9,14,'BL',1.0200598066,5.6840256482,-0.9827580710,-5.6046798590
0,i_14,10,11,'BL',-19.0165217296,0.9781041980,19.2792137301,-0.3631711994
0,i_3,2,4,'BL',37.8283144728,2.4307659828,-37.1076883760,-4.1271080499
0,i_10,7,8,'BL',-1.5041445661,-2.7028770007,1.5041445661,2.7175344241
0,i_6,4,5,'BL',-65.9543623874,6.3483583794,66.4803014621,-4.6893850134
0,i_18,4,9,'BL',6.8129501933,4.6949655619,-6.8129501933,-4.3741500069
0,i_4,2,5,'BL',22.0045894606,3.3384284605,-21.7548374282,-6.5498500556
0,i_15,12,13,'BL',3.4209166480,0.5726569619,-3.3983397104,-0.5522302088
0,i_0,1,2,'BL',89.9685346780,-1.0868433529,-88.6653783005,-1.2019817313
0,i_12,9,10,'BL',-9.8076247407,6.0481896249,9.8447897942,-5.9494644750
0,i_8,6,12,'BL',9.0023068824,2.1934827191,-8.9150987882,-2.0119783453
0,i_17,4,7,'BL',11.2616102104,3.7679125077,-11.2616102104,-3.5147967662
0,i_16,13,14,'BL',16.9957284558,0.3194162291,-16.5699061961,0.5475741343
1,i_2,2,3,'BL',57.4840858608,3.0052024393,-56.1441231062,-2.3423165418
1,i_11,7,9,'BL',13.2028025747,6.6549662116,-13.2028025747,-6.4456295546
1,i_19,5,6,'BL',-10.2240650648,17.8130719259,10.2240650648,-16.9938556390
1,i_7,6,11,'BL',23.0572219041,2.0271789758,-22.6366842671,-1.1465205636
1,i_5,3,4,'BL',-24.0676980457,6.7915072745,24.4529325797,-7.2286602212
1,i_9,6,13,'BL',31.6156156487,9.6522186620,-31.0182360585,-8.4757917652
1,i_1,1,5,'BL',41.3995866424,6.0694837861,-40.5941172970,-8.4802753506
1,i_13,9,14,'BL',2.2675772123,6.1090433112,-2.2199972519,-6.0078343608
1,i_14,10,11,'BL',-19.5812006298,1.0535222259,19.8602353229,-0.4003327865
1,i_3,2,4,'BL',37.9200136794,2.5321075523,-37.1954866277,-4.2158637934
1,i_10,7,8,'BL',-1.5098029314,-3.0048660021,1.5098029314,3.0222062031
1,i_6,4,5,'BL',-66.4467581795,6.2237977144,66.9805307598,-4.5401150659
1,i_18,4,9,'BL',7.0622713573,4.8452320187,-7.0622713573,-4.5013508422
1,i_4,2,5,'BL',21.9738769052,3.4034459312,-21.7244409737,-6.6154987893
1,i_15,12,13,'BL',-5.4941821401,-1.4393213834,5.5581148911,1.4971653009
1,i_0,1,2,'BL',90.0004017649,-1.0957310130,-88.6963285337,-1.1902947815
1,i_12,9,10,'BL',-10.3687731842,6.1329859486,10.4094686944,-6.0248825029
1,i_17,4,7,'BL',11.6929996434,3.9232418394,-11.6929996434,-3.6501002096
1,i_16,13,14,'BL',15.7007476172,-0.2013024902,-15.3326670152,0.9507286361
--end of line flow
