--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',29.3329618318
1,l_17,6,'1 ',-7.5225069650
1,l_14,1,'1 ',1.9189234484
1,l_15,2,'1 ',23.9751033472
1,l_18,8,'1 ',7.2616816118
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,2,1.0907951333,0.2063393161
0,8,1.0999999621,0.9684559774
0,3,1.0644020198,-4.6433420837
0,4,1.0704387652,-1.8339937309
0,11,1.0820401277,0.7833357834
0,14,1.0604300107,-1.1805700480
0,9,1.0810708191,-2.0942739211
0,10,1.0749006221,-1.4893234374
0,5,1.0741573774,-0.5090857714
0,7,1.0895515716,-1.1327606139
0,6,1.1000000000,3.4520055099
0,13,1.0776541070,1.9364783871
0,12,1.0853727393,2.3252955050
0,1,1.1000000000,1.7110996581
1,2,1.0907951333,-0.0285495267
1,8,1.0999999621,0.6789181777
1,3,1.0644020198,-4.8785332219
1,4,1.0702411203,-2.0758567583
1,11,1.0815589701,0.5590210981
1,14,1.0570507299,-1.6642778312
1,9,1.0802196410,-2.4131427367
1,10,1.0741217898,-1.7796567167
1,5,1.0740700254,-0.7394038356
1,7,1.0891046610,-1.4237257088
1,6,1.1000000000,3.2933415022
1,13,1.0708050821,1.2649177409
1,12,1.0555080894,0.8251579027
1,1,1.1000000000,1.4772623456
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0022327815
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_13,9,14,'BL',-2.3391068747,9.4064585183,2.4412905544,-9.1891001411
0,i_7,6,11,'BL',26.8032492820,-2.2177123094,-26.2354632213,3.4067273387
0,i_6,4,5,'BL',-59.8816821833,10.2613625711,60.3117280341,-8.9048658839
0,i_1,1,5,'BL',22.3924982901,4.7418240455,-22.1419964353,-9.5227156389
0,i_3,2,4,'BL',25.1356942000,2.7064894217,-24.8162065076,-5.7077297551
0,i_10,7,8,'BL',-24.9464441418,-6.0052244677,24.9464441418,6.9821665807
0,i_14,10,11,'BL',-21.5786878330,5.6989122132,21.9324192564,-4.8708659672
0,i_5,3,4,'BL',-29.3104394851,7.8025127575,29.8615784419,-7.8542638150
0,i_9,6,13,'BL',26.8790527366,5.5382310420,-26.4673069923,-4.7273751370
0,i_12,9,10,'BL',-10.0892678959,11.7687424527,10.1546717062,-11.5950039437
0,i_17,4,7,'BL',-6.9791758129,2.6421860589,6.9791758129,-2.5449724431
0,i_16,13,14,'BL',16.6877542298,-2.3768926630,-16.2695602581,3.2283515412
0,i_0,1,2,'BL',53.3606632661,-2.8600725601,-52.9045971558,-2.0830520373
0,i_8,6,12,'BL',9.9465522677,1.6009988934,-9.8434530237,-1.3864206035
0,i_2,2,3,'BL',50.6767238687,2.0076449836,-49.6540892548,-2.7861614066
0,i_19,5,6,'BL',-34.7500865257,25.2242438640,34.7500865257,-21.7259836753
0,i_18,4,9,'BL',0.9754248530,4.6922560429,-0.9754248530,-4.5875730718
0,i_4,2,5,'BL',10.7014953779,4.9264163032,-10.6233290569,-8.7422697377
0,i_11,7,9,'BL',17.9672683289,8.5501969108,-17.9672683289,-8.1832920594
0,i_15,12,13,'BL',3.8793870459,-0.0829580728,-3.8511511228,0.1085048604
1,i_13,9,14,'BL',-0.9426429446,9.7356443739,1.0468596806,-9.5139614136
1,i_7,6,11,'BL',27.4665674975,-2.2363494609,-26.8704592099,3.4846747757
1,i_6,4,5,'BL',-60.4427264546,10.1732401744,60.8805893580,-8.7920861024
1,i_1,1,5,'BL',22.3697739233,4.7891178214,-22.1193992805,-9.5700729314
1,i_3,2,4,'BL',25.2415981486,2.7966552925,-24.9190843536,-5.7879944280
1,i_10,7,8,'BL',-24.9531424863,-6.2784568913,24.9531424863,7.2616816118
1,i_14,10,11,'BL',-22.1930119614,5.8252501950,22.5674152450,-4.9488134042
1,i_5,3,4,'BL',-29.1976150269,7.8773669894,29.7456080570,-7.9368766330
1,i_9,6,13,'BL',35.6241024045,7.1291456695,-34.9025199485,-5.7081245577
1,i_12,9,10,'BL',-10.6991409792,11.9069041788,10.7689958346,-11.7213419255
1,i_17,4,7,'BL',-6.4866384836,2.7640255525,6.4866384836,-2.6772077334
1,i_16,13,14,'BL',15.2329350304,-2.8247068701,-14.8751293843,3.5532128138
1,i_0,1,2,'BL',53.3945515403,-2.8701943730,-52.9379070597,-2.0711643742
1,i_2,2,3,'BL',50.6797014027,2.0071998421,-49.6569492242,-2.7852209629
1,i_19,5,6,'BL',-35.3747911931,25.2231811857,35.3747911931,-21.6413254639
1,i_18,4,9,'BL',1.2627800260,4.8214164368,-1.2627800260,-4.7081599895
1,i_4,2,5,'BL',10.6683466477,4.9913983126,-10.5900828682,-8.8066295485
1,i_11,7,9,'BL',18.4665040027,8.9556646247,-18.4665040027,-8.5650059426
1,i_15,12,13,'BL',-5.9640659778,-1.4693786763,6.0388810329,1.5370684881
--end of line flow
