--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_17,6,'1 ',8.4835921328
1,l_16,3,'1 ',22.6062796730
1,l_14,1,'1 ',3.1791560737
1,l_18,8,'1 ',0.2189870762
1,l_15,2,'1 ',11.2512983358
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,1,1.0814112274,4.2673921608
0,2,1.0637444918,1.4189322997
0,6,1.1000000000,1.3686964485
0,10,1.0636737670,-1.8051866555
0,11,1.0768593149,-0.3406420789
0,12,1.0852599320,0.4982115330
0,4,1.0480681563,-0.7906312091
0,5,1.0526175569,0.3637236680
0,13,1.0793850282,0.2619216129
0,8,1.0665138228,0.6345065342
0,14,1.0538384003,-1.6832287569
0,7,1.0670583813,-0.9696870949
0,3,1.0418522077,-2.6255651670
0,9,1.0654452554,-2.0672286189
1,1,1.0814112274,-6.9418643541
1,2,1.0637444918,-9.7912302873
1,6,1.1000000000,-9.7802665265
1,10,1.0628535417,-13.0607272079
1,11,1.0763877449,-11.5424500972
1,12,1.0571946444,-11.6126490403
1,4,1.0478723891,-12.0058912201
1,5,1.0525314268,-10.8424359790
1,13,1.0725560815,-11.2838918279
1,8,1.0665138228,-10.6201105504
1,14,1.0503508507,-13.0874582065
1,7,1.0665707783,-12.2254961909
1,3,1.0418522077,-13.8361360907
1,9,1.0645118601,-13.3462022879
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0017216073
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_7,6,11,'BL',19.5455263887,3.7292717434,-19.2347337200,-3.0784330217
0,i_10,7,8,'BL',-18.0862876726,0.5830861583,18.0862876726,-0.0764965140
0,i_4,2,5,'BL',12.7559435457,0.7808511161,-12.6702768253,-4.3937250868
0,i_5,3,4,'BL',-18.8974733647,3.2502386923,19.1275433416,-4.0607276411
0,i_0,1,2,'BL',97.5141169829,-0.3358468070,-95.9370409092,-0.9237540324
0,i_18,4,9,'BL',4.6161181232,3.1925743339,-4.6161181232,-3.0428096970
0,i_12,9,10,'BL',-4.6313395733,3.9911306576,4.6418138115,-3.9633069188
0,i_9,6,13,'BL',21.0919422659,6.8670161870,-20.8229545310,-6.3372953673
0,i_13,9,14,'BL',-0.5147978003,4.8250776790,0.5411636516,-4.7689939809
0,i_17,4,7,'BL',1.7088681058,2.3527599236,-1.7088681058,-2.3373626340
0,i_1,1,5,'BL',36.2845166478,3.4781774942,-35.6575883659,-6.4927060276
0,i_16,13,14,'BL',12.1477728611,2.1452531045,-11.9245205464,-1.6907028761
0,i_19,5,6,'BL',-8.6461302310,13.2593837388,8.6461302310,-12.7643336039
0,i_14,10,11,'BL',-15.4572981605,-0.5041048523,15.6307546382,0.9101473344
0,i_11,7,9,'BL',19.7951557785,1.7542764757,-19.7951557785,-1.3727091532
0,i_3,2,4,'BL',24.9410505380,-0.2157853755,-24.6201005826,-2.6013723469
0,i_6,4,5,'BL',-51.0676328896,5.3985856747,51.3881271270,-4.3876484210
0,i_8,6,12,'BL',8.2552579746,2.4257498047,-8.1800557996,-2.2692330982
0,i_15,12,13,'BL',2.6773462206,0.2356243546,-2.6637965950,-0.2233651696
0,i_2,2,3,'BL',40.3349732306,1.1054952880,-39.6540329529,-3.0919258457
1,i_7,6,11,'BL',20.0939147231,3.7447143391,-19.7659681760,-3.0579532502
1,i_10,7,8,'BL',-18.0914524944,0.2879571367,18.0914524944,0.2189870762
1,i_4,2,5,'BL',12.7297847989,0.8412746583,-12.6442852172,-4.4543452599
1,i_5,3,4,'BL',-18.8089799397,3.3330891770,19.0373977613,-4.1475323284
1,i_0,1,2,'BL',97.5423004982,-0.3435497039,-95.9643204204,-0.9132910774
1,i_18,4,9,'BL',4.8413125146,3.3393899203,-4.8413125146,-3.1748790579
1,i_12,9,10,'BL',-5.1489287075,4.0440444171,5.1609616879,-4.0120800397
1,i_9,6,13,'BL',28.3742439135,9.0772983002,-27.8890554973,-8.1218108478
1,i_13,9,14,'BL',0.6187909229,5.2886376586,-0.5869876764,-5.2209878923
1,i_17,4,7,'BL',2.0945084816,2.5009330004,-2.0945084816,-2.4815480495
1,i_1,1,5,'BL',36.2649411688,3.5227057776,-35.6384066369,-6.5384137029
1,i_16,13,14,'BL',10.9793412265,1.6112469523,-10.7963692185,-1.2387089647
1,i_19,5,6,'BL',-9.1374105047,13.2257631385,9.1374105047,-12.7151274288
1,i_14,10,11,'BL',-15.9764460370,-0.4553317314,16.1619890941,0.8896675630
1,i_11,7,9,'BL',20.1859609760,2.1935909128,-20.1859609760,-1.7948872810
1,i_3,2,4,'BL',25.0233685995,-0.1227249110,-24.7001387722,-2.6868175828
1,i_6,4,5,'BL',-51.5082838869,5.2758469345,51.8342340637,-4.2476999724
1,i_15,12,13,'BL',-5.5027095790,-2.0336087435,5.5707360059,2.0951564631
1,i_2,2,3,'BL',40.3388039649,1.1048674402,-39.6577372207,-3.0907651914
--end of line flow
