--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_18,8,'1 ',9.5655959005
1,l_14,1,'1 ',2.2452957561
1,l_15,2,'1 ',19.1384732317
1,l_16,3,'1 ',16.8237152719
1,l_17,6,'1 ',1.9277160438
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,13,1.0786259701,14.6722653692
0,14,1.0619030362,13.5937648947
0,3,1.0580009138,14.3284102697
0,1,1.0973662424,21.4573134471
0,11,1.0875140470,15.2054250281
0,7,1.0888233560,17.4967624177
0,10,1.0817608435,14.8631279780
0,8,1.0999999542,22.1575649265
0,12,1.0847105209,14.8591845903
0,4,1.0650388488,16.6540033593
0,6,1.1000000000,15.7137631093
0,5,1.0662426875,17.5131132940
0,2,1.0846064415,19.3767717708
0,9,1.0851212724,14.9934327778
1,13,1.0714825483,1.2551079188
1,14,1.0581484395,0.3184135756
1,3,1.0580009138,1.2453793161
1,1,1.0973662424,8.3750016488
1,11,1.0870314166,2.1277223503
1,7,1.0882850236,4.3707954211
1,10,1.0808775974,1.7347680560
1,8,1.0999999542,9.0344078937
1,12,1.0558904474,0.9029264941
1,4,1.0648351975,3.5659627996
1,6,1.1000000000,2.6873959133
1,5,1.0661555611,4.4333527865
1,2,1.0846064415,6.2936734849
1,9,1.0840895565,1.8431647718
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0019677401
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_9,6,13,'BL',20.5081427850,7.7848414345,-20.2450802664,-7.2667892155
0,i_8,6,12,'BL',8.2386007326,2.6680270044,-8.1624240502,-2.5094820761
0,i_15,12,13,'BL',2.5038651201,0.5376543661,-2.4915509239,-0.5265129504
0,i_16,13,14,'BL',7.0647776624,1.7714150460,-6.9868388665,-1.6127286846
0,i_0,1,2,'BL',73.3435785581,-2.2110651489,-72.4777130794,-1.4300610039
0,i_4,2,5,'BL',23.0262987991,2.2297049053,-22.7608100276,-5.4210265365
0,i_12,9,10,'BL',4.1912066812,2.7411664359,-4.1844312309,-2.7231681476
0,i_14,10,11,'BL',-4.2611135123,-1.4090449205,4.2752365875,1.4421054818
0,i_10,7,8,'BL',-55.2492568304,-4.6601075652,55.2492568304,9.2278272725
0,i_11,7,9,'BL',46.9094961230,4.6890676309,-46.9094961230,-2.6267442644
0,i_3,2,4,'BL',31.8705298224,0.2728809060,-31.3662309914,-2.6708685990
0,i_5,3,4,'BL',-24.4710833838,5.0603750015,24.8495481332,-5.5367684495
0,i_18,4,9,'BL',6.2141035777,2.8547360445,-6.2141035777,-2.6394334912
0,i_1,1,5,'BL',37.8723122565,4.4187333893,-37.2043283802,-7.4203164175
0,i_2,2,3,'BL',52.0665059078,1.8900499692,-50.9756636909,-2.3219696522
0,i_17,4,7,'BL',-8.3397607074,0.1516453374,8.3397607074,-0.0289600656
0,i_19,5,6,'BL',15.6790412322,20.2367801190,-15.6790412322,-18.9748527449
0,i_13,9,14,'BL',12.1623594660,3.7276555285,-11.9876762928,-3.3560810153
0,i_6,4,5,'BL',-37.5310077655,9.1567535773,37.7066553579,-8.6027071266
0,i_7,6,11,'BL',7.0395263503,3.5673645406,-6.9906383256,-3.4649869019
1,i_9,6,13,'BL',27.8142330814,10.2389880651,-27.3339794689,-9.2932187816
1,i_15,12,13,'BL',-5.6585589300,-1.9718277100,5.7297099608,2.0362024522
1,i_16,13,14,'BL',5.9324159802,1.2351292096,-5.8777471047,-1.1238212938
1,i_0,1,2,'BL',73.3687951772,-2.2183217599,-72.5023365576,-1.4209934458
1,i_4,2,5,'BL',23.0054272943,2.2895999153,-22.7401545742,-5.4812597819
1,i_12,9,10,'BL',3.6573769252,2.7464339446,-3.6517147862,-2.7313930533
1,i_14,10,11,'BL',-4.7938299570,-1.4008200148,4.8113476114,1.4418269116
1,i_10,7,8,'BL',-55.2551600508,-4.9876854612,55.2551600508,9.5655959005
1,i_11,7,9,'BL',47.2961458042,5.1938233364,-47.2961458042,-3.0909925593
1,i_3,2,4,'BL',31.9540676817,0.3731673343,-31.4469049354,-2.7617278281
1,i_5,3,4,'BL',-24.3748010577,5.1461928486,24.7510483570,-5.6279683060
1,i_18,4,9,'BL',6.4395378986,3.0232939389,-6.4395378986,-2.7902075901
1,i_1,1,5,'BL',37.8569343381,4.4636175159,-37.1891747792,-7.4656695047
1,i_2,2,3,'BL',52.0658500943,1.8901456918,-50.9750348147,-2.3221788625
1,i_17,4,7,'BL',-7.9590142466,0.3180608614,7.9590142466,-0.2061378752
1,i_19,5,6,'BL',15.2126896787,20.1783002620,-15.2126896787,-18.9484631325
1,i_13,9,14,'BL',13.3082732240,4.2948882388,-13.0967680545,-3.8449884061
1,i_6,4,5,'BL',-37.9580148269,9.0038392444,38.1371978571,-8.4386409370
1,i_7,6,11,'BL',7.5819351637,3.5802743292,-7.5267493495,-3.4647083316
--end of line flow
