--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_15,2,'1 ',16.4770821811
1,l_16,3,'1 ',21.2009722837
1,l_17,6,'1 ',-0.7222610424
1,l_18,8,'1 ',11.5428411476
1,l_14,1,'1 ',-0.6795324954
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,4,1.0651531258,5.6330000329
0,13,1.0772652368,8.9556657775
0,10,1.0730634333,7.0357545658
0,5,1.0666344571,6.5587005326
0,11,1.0818493150,8.5891563965
0,7,1.0853871751,8.1481329207
0,2,1.0766140133,6.7250972212
0,1,1.0815608434,7.5138123801
0,9,1.0774287658,6.5813919852
0,12,1.0859512481,9.3789650667
0,8,1.1000000000,12.7068067597
0,6,1.1000000000,10.4349969271
0,3,1.0483261373,1.2344811676
0,14,1.0556333233,6.4397077421
1,4,1.0649731622,2.0443900369
1,13,1.0706985237,4.9632395055
1,10,1.0723077065,3.4026483613
1,5,1.0665566578,2.9808509010
1,11,1.0814011191,5.0173051637
1,7,1.0849514995,4.5149229338
1,2,1.0766140133,3.1427735979
1,1,1.0815608434,3.9324943759
1,9,1.0765848339,2.9215285350
1,12,1.0575372286,4.6199399857
1,8,1.1000000000,9.0759240038
1,6,1.1000000000,6.9243233100
1,3,1.0483261373,-2.3483436124
1,14,1.0523170073,2.6239143470
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0019361486
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_5,3,4,'BL',-46.2584001095,9.0296460870,47.6209139301,-6.9815592748
0,i_19,5,6,'BL',-33.7691686366,21.3315443583,33.7691686366,-18.2617951443
0,i_0,1,2,'BL',27.1943842053,-2.7665029799,-27.0718461199,-3.0075911636
0,i_11,7,9,'BL',29.0644106707,8.2493777116,-29.0644106707,-7.3969948406
0,i_7,6,11,'BL',19.7172877066,0.9330170209,-19.4114348727,-0.2925229308
0,i_18,4,9,'BL',-3.5245758677,4.3377958958,3.5245758677,-4.1940029907
0,i_12,9,10,'BL',-7.6538659720,8.4903936684,7.6896720928,-8.3952783837
0,i_16,13,14,'BL',14.3305720195,-0.0275038472,-14.0280885446,0.6433717402
0,i_6,4,5,'BL',-40.5856020781,9.4718917597,40.7899799846,-8.8272210749
0,i_13,9,14,'BL',4.1964278825,6.7136751269,-4.1277913377,-6.5676760004
0,i_14,10,11,'BL',-15.5491891796,1.9560253173,15.7241988414,-1.5463470022
0,i_17,4,7,'BL',-24.8062503426,2.4853168752,24.8062503426,-1.3895729122
0,i_9,6,13,'BL',26.5418997362,6.0226660296,-26.1369387586,-5.2251714483
0,i_15,12,13,'BL',4.3020743623,-0.0198276108,-4.2674023197,0.0511975541
0,i_10,7,8,'BL',-53.8706610133,-6.8598047994,53.8706610133,11.2694486793
0,i_4,2,5,'BL',3.5607301014,3.0103676134,-3.5421405605,-6.9270857041
0,i_8,6,12,'BL',9.3812462145,1.6129281544,-9.2892066174,-1.4213680752
0,i_2,2,3,'BL',55.6845722723,2.2437590742,-54.4182434722,-1.8538924649
0,i_3,2,4,'BL',13.2970399596,0.7633985906,-13.2046507005,-4.3822700618
0,i_1,1,5,'BL',9.8164817789,2.0543118454,-9.7607381360,-7.5006057865
1,i_5,3,4,'BL',-46.1584529876,9.0954184924,47.5161180425,-7.0594618710
1,i_19,5,6,'BL',-34.3509643772,21.3320157705,34.3509643772,-18.1855115307
1,i_0,1,2,'BL',27.2257154812,-2.7762891869,-27.1028959421,-2.9969456368
1,i_11,7,9,'BL',29.5237207807,8.6620091310,-29.5237207807,-7.7772705965
1,i_7,6,11,'BL',20.3349762523,0.9067065030,-20.0097416735,-0.2256246149
1,i_18,4,9,'BL',-3.2566894906,4.4628918682,3.2566894906,-4.3223457246
1,i_12,9,10,'BL',-8.2353315380,8.5976919682,8.2742327045,-8.4943550122
1,i_16,13,14,'BL',12.9909475467,-0.4555420897,-12.7390063209,0.9685040354
1,i_6,4,5,'BL',-41.1081719106,9.3879638772,41.3174575944,-8.7278125556
1,i_13,9,14,'BL',5.5050899355,7.0804563426,-5.4168735614,-6.8928082956
1,i_14,10,11,'BL',-16.1337497912,2.0551019458,16.3225056422,-1.6132453181
1,i_17,4,7,'BL',-24.3527486785,2.5965971475,24.3527486785,-1.5388022638
1,i_9,6,13,'BL',34.7986874240,7.6012206800,-34.1050816023,-6.2352942946
1,i_15,12,13,'BL',-4.9871322551,-1.4411956860,5.0403649969,1.4893586429
1,i_10,7,8,'BL',-53.8764694592,-7.1232068671,53.8764694592,11.5428411476
1,i_4,2,5,'BL',3.5282382597,3.0690326486,-3.5094710588,-6.9849211947
1,i_2,2,3,'BL',55.6893785081,2.2430954269,-54.4228352739,-1.8523254015
1,i_3,2,4,'BL',13.3925622118,0.8431472024,-13.2986730215,-4.4568158277
1,i_1,1,5,'BL',9.7948312461,2.0967566915,-9.7390895069,-7.5426502273
--end of line flow
