--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_15,2,'1 ',15.5079840557
1,l_17,6,'1 ',-4.2366324988
1,l_14,1,'1 ',3.9994958628
1,l_16,3,'1 ',17.2744534882
1,l_18,8,'1 ',6.7278136040
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,11,1.0884525784,-4.7042298522
0,7,1.0920366622,-3.4042430485
0,13,1.0779644609,-5.0323987299
0,6,1.0982763377,-3.8591783673
0,5,1.0670454595,-3.1810239485
0,8,1.1000000000,0.3356853534
0,9,1.0903782454,-5.3666296168
0,14,1.0655995445,-6.3658487859
0,10,1.0847468381,-5.3552063915
0,12,1.0839578127,-4.7869300656
0,3,1.0536305804,-7.0173836048
0,2,1.0818942557,-1.8363140129
0,1,1.1000000000,1.0921571135
0,4,1.0658483703,-4.1509664060
1,11,1.0880046716,-6.1533625703
1,7,1.0915535850,-4.9058362764
1,13,1.0712488490,-6.8501206631
1,6,1.0982763377,-5.2537246167
1,5,1.0669668642,-4.6331066396
1,8,1.1000000000,-1.1637409031
1,9,1.0894536348,-6.8926138022
1,14,1.0621175120,-8.0266884150
1,10,1.0839452910,-6.8580116203
1,12,1.0560054892,-7.2368156879
1,3,1.0536305804,-8.4729502790
1,2,1.0818942557,-3.2918989641
1,1,1.1000000000,-0.3625788024
1,4,1.0656581950,-5.6121157463
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0020160772
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_0,1,2,'BL',103.5335978305,-0.8187963656,-101.8158492277,-0.2211709260
0,i_15,12,13,'BL',2.7470074928,0.2194191354,-2.7327286828,-0.2065002121
0,i_4,2,5,'BL',16.8580898250,1.8754769270,-16.7124137162,-5.4254084307
0,i_18,4,9,'BL',4.5750043904,1.9408754278,-4.5750043904,-1.8273409089
0,i_16,13,14,'BL',7.7389640504,0.1183260773,-7.6508436260,0.0610904679
0,i_2,2,3,'BL',53.2231114090,2.6021147574,-52.0752010118,-2.7605260005
0,i_5,3,4,'BL',-30.7434816581,4.6296488873,31.3312126127,-4.5671287603
0,i_12,9,10,'BL',2.1515779747,6.4567699629,-2.1391851574,-6.4238497160
0,i_9,6,13,'BL',21.7834382682,6.2535499438,-21.5017603463,-5.6988381843
0,i_3,2,4,'BL',26.9110768194,-0.4796511510,-26.5504077226,-2.3470877817
0,i_6,4,5,'BL',-42.3048886872,10.7688161804,42.5288321254,-10.0624297997
0,i_10,7,8,'BL',-44.4815045362,-3.4845874347,44.4815045362,6.4251077987
0,i_7,6,11,'BL',9.3528182131,1.0235866350,-9.2831130847,-0.8776153775
0,i_1,1,5,'BL',41.0921101504,4.7847031494,-40.3112206577,-7.3386527864
0,i_14,10,11,'BL',-6.6480277977,0.7867561800,6.6792776313,-0.7136037664
0,i_13,9,14,'BL',10.0100934719,5.3521023570,-9.8723409446,-5.0590842754
0,i_11,7,9,'BL',37.0645942010,2.2810564059,-37.0645942010,-1.0089658958
0,i_8,6,12,'BL',8.5454542282,2.1025539949,-8.4665390989,-1.9383095948
0,i_19,5,6,'BL',5.9052658326,21.2149007127,-5.9052658326,-20.2825211698
0,i_17,4,7,'BL',-7.4169103352,-1.1045265899,7.4169103352,1.2035310288
1,i_0,1,2,'BL',103.5609299134,-0.8262255666,-101.8422803677,-0.2109910132
1,i_15,12,13,'BL',-5.7195316061,-1.7188904593,5.7901921360,1.7828214149
1,i_4,2,5,'BL',16.8345946493,1.9311102262,-16.6890910369,-5.4812782354
1,i_18,4,9,'BL',4.8140176002,2.0898165115,-4.8140176002,-1.9631610007
1,i_16,13,14,'BL',6.5479008836,-0.3363329421,-6.4838705053,0.4667012345
1,i_2,2,3,'BL',53.2229345115,2.6021401589,-52.0750315683,-2.7605828062
1,i_5,3,4,'BL',-30.6443593008,4.7046277384,31.2289040581,-4.6499803305
1,i_12,9,10,'BL',1.6025017912,6.4988694633,-1.5904941880,-6.4669724981
1,i_9,6,13,'BL',29.3430127757,8.2366581262,-28.8336179983,-7.2335007919
1,i_3,2,4,'BL',26.9994854990,-0.3896245054,-26.6363111924,-2.4288238943
1,i_6,4,5,'BL',-42.7617366434,10.6389886605,42.9900018194,-9.9189701915
1,i_10,7,8,'BL',-44.4875527678,-3.7807137155,44.4875527678,6.7278136040
1,i_7,6,11,'BL',9.9154247564,1.0109372875,-9.8372038652,-0.8471329576
1,i_1,1,5,'BL',41.0748584533,4.8257214294,-40.2943168631,-7.3806946354
1,i_14,10,11,'BL',-7.1967187671,0.8298789621,7.2333684118,-0.7440861863
1,i_13,9,14,'BL',11.2102778677,5.8283579552,-11.0393140653,-5.4646950421
1,i_11,7,9,'BL',37.4766892034,2.7334686196,-37.4766892034,-1.4297953237
1,i_19,5,6,'BL',5.4038696647,21.1693527582,-5.4038696647,-20.2514518451
1,i_17,4,7,'BL',-7.0108635643,-0.9590524709,7.0108635643,1.0472450960
--end of line flow
