--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_17,6,'1 ',4.4303954359
1,l_18,8,'1 ',5.3501501353
1,l_14,1,'1 ',-5.6736830006
1,l_16,3,'1 ',26.1838129881
1,l_15,2,'1 ',26.9864208497
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,1,1.1000000000,7.9806541204
0,4,1.0668436361,2.0430066009
0,2,1.0879770551,5.2444954139
0,9,1.0947208942,0.1983134282
0,6,1.1000000000,-0.2201212445
0,12,1.0856834016,-0.9470357683
0,8,1.1000000000,6.1046322363
0,3,1.0606194996,-0.4977286594
0,13,1.0813948577,-1.0000459708
0,5,1.0669369880,2.9468625800
0,7,1.0942568452,2.3697129472
0,10,1.0883592402,-0.0757576553
0,11,1.0912252259,-0.2805997698
0,14,1.0752862164,-0.9401963323
1,1,1.1000000000,-10.4431465703
1,4,1.0666580648,-16.3855678398
1,2,1.0879770551,-13.1799894063
1,9,1.0937622279,-18.2832008602
1,6,1.1000000000,-18.5961826032
1,12,1.0592492709,-20.0860003800
1,8,1.1000000000,-12.3543799753
1,3,1.0606194996,-18.9222225275
1,13,1.0747235653,-19.7078747967
1,5,1.0668577551,-15.4747488820
1,7,1.0937581461,-16.0914320918
1,10,1.0875455056,-18.5387791811
1,11,1.0907896607,-18.7007557914
1,14,1.0717901583,-19.5229270860
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0016950071
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_4,2,5,'BL',28.2239275752,2.4097709943,-27.8311116026,-5.2275675669
0,i_11,7,9,'BL',41.2575708643,0.3203005693,-41.2575708643,1.2436646970
0,i_13,9,14,'BL',10.1474102881,3.1842449412,-10.0274406314,-2.9290534080
0,i_15,12,13,'BL',1.4036327746,0.7782658888,-1.3988049139,-0.7738978243
0,i_12,9,10,'BL',8.6302531211,5.0089739650,-8.6038235502,-4.9387665227
0,i_2,2,3,'BL',59.2441241428,1.3052072945,-57.8447556774,-0.4654853699
0,i_19,5,6,'BL',27.6046713423,21.1050803823,-27.6046713423,-18.7831153516
0,i_3,2,4,'BL',37.3440604441,-0.2521093731,-36.6579117566,-1.6130911381
0,i_9,6,13,'BL',16.2577353947,7.5392409015,-16.0821622987,-7.1934826669
0,i_6,4,5,'BL',-38.7166708861,12.3740515368,38.9104537925,-11.7628007363
0,i_1,1,5,'BL',47.8065868669,3.7782259448,-46.7656844397,-5.2582527412
0,i_18,4,9,'BL',6.9757596499,1.3500903952,-6.9757596499,-1.1184497039
0,i_7,6,11,'BL',2.4059033526,3.7042700210,-2.3905888187,-3.6721994716
0,i_14,10,11,'BL',1.2842380198,-2.1686620261,-1.2798378513,2.1789623352
0,i_16,13,14,'BL',0.4699693187,1.6674815200,-0.4655823088,-1.6585494004
0,i_0,1,2,'BL',94.4919134798,-9.4862839513,-93.0555015917,7.5525090726
0,i_10,7,8,'BL',-44.5123251155,-2.1163716994,44.5123251155,5.0377333331
0,i_8,6,12,'BL',7.2297428377,2.7201024202,-7.1691328301,-2.5939560850
0,i_5,3,4,'BL',-26.5151517766,6.4593164278,26.9646566079,-6.7604069207
0,i_17,4,7,'BL',-3.2547542512,-1.7719363710,3.2547542512,1.7960711301
1,i_4,2,5,'BL',28.2061792078,2.4637793911,-27.8136120391,-5.2820431273
1,i_11,7,9,'BL',41.5889766331,0.7915024224,-41.5889766331,0.7996189314
1,i_13,9,14,'BL',11.1438809486,3.7508830805,-10.9969831216,-3.4384117215
1,i_15,12,13,'BL',-5.7655000555,-1.8156901962,5.8374416653,1.8807802241
1,i_12,9,10,'BL',8.1577784296,4.9898945766,-8.1334623295,-4.9253013525
1,i_2,2,3,'BL',59.2442129123,1.3051954338,-57.8448403081,-0.4654560725
1,i_19,5,6,'BL',27.2060140243,21.0431126141,-27.2060140243,-18.7678521560
1,i_3,2,4,'BL',37.4153699877,-0.1586581488,-36.7264383813,-1.6974252452
1,i_9,6,13,'BL',22.6827271455,9.9961420673,-22.3468223837,-9.3346407321
1,i_6,4,5,'BL',-39.0815451662,12.2255266301,39.2782975636,-11.6049091428
1,i_1,1,5,'BL',47.7929349721,3.8186951895,-46.7523704563,-5.2997010059
1,i_18,4,9,'BL',7.1683498500,1.5081229548,-7.1683498500,-1.2618251662
1,i_7,6,11,'BL',2.8776786465,3.7205391535,-2.8603126556,-3.6841725964
1,i_14,10,11,'BL',0.8138767991,-2.1821271963,-0.8101140145,2.1909354600
1,i_16,13,14,'BL',-0.5016171753,1.1539615367,0.5039601815,-1.1491910868
1,i_0,1,2,'BL',94.5140404101,-9.4923781901,-93.0769464025,7.5606859229
1,i_10,7,8,'BL',-44.5174101368,-2.4234049100,44.5174101368,5.3501501353
1,i_5,3,4,'BL',-26.4315880463,6.5394556534,26.8791465650,-6.8452603442
1,i_17,4,7,'BL',-2.9284335037,-1.6122564933,2.9284335037,1.6319024876
--end of line flow
