--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',24.6264873249
1,l_17,6,'1 ',-5.3194888610
1,l_14,1,'1 ',0.3222217802
1,l_18,8,'1 ',8.1877841999
1,l_15,2,'1 ',13.7889096541
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,13,1.0797886915,-0.2021423879
0,3,1.0639235462,-2.9805304010
0,2,1.0806676237,0.0528167183
0,9,1.0797287319,-3.1680534316
0,6,1.1000000000,1.0034867254
0,10,1.0749611671,-2.7349593077
0,11,1.0830483740,-1.0018672191
0,4,1.0651009926,-1.7774391947
0,5,1.0668155123,-0.8452462383
0,8,1.1000000000,-0.7018515286
0,1,1.0872403818,1.0833141657
0,12,1.0847777089,0.0198719871
0,14,1.0622391498,-2.5029321417
0,7,1.0877115323,-2.1033953323
1,13,1.0726770653,-1.1427806997
1,3,1.0639235462,-3.5403716213
1,2,1.0806676237,-0.5070641529
1,9,1.0787821256,-3.8043818434
1,6,1.1000000000,0.5105222510
1,10,1.0741199456,-3.3456100055
1,11,1.0825554119,-1.5534697165
1,4,1.0648945994,-2.3433005417
1,5,1.0667243951,-1.4011128043
1,8,1.1000000000,-1.3114689792
1,1,1.0872403818,0.5243482313
1,12,1.0550311874,-1.5928953386
1,14,1.0586469991,-3.2809944453
1,7,1.0872141907,-2.7141998456
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0021552024
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_9,6,13,'BL',22.2227941571,5.9837318314,-21.9332333966,-5.4134963020
0,i_5,3,4,'BL',-12.2592998604,3.4923973123,12.3587978874,-4.6889269375
0,i_6,4,5,'BL',-41.0366017811,9.0302436044,41.2443700457,-8.3748786887
0,i_1,1,5,'BL',18.8764376334,2.7703199876,-18.6988368776,-7.7448303766
0,i_11,7,9,'BL',19.8362130362,8.0772058052,-19.8362130362,-7.6506762240
0,i_19,5,6,'BL',-16.1178562557,20.5405127601,16.1178562557,-19.2292788418
0,i_3,2,4,'BL',21.7421173027,0.7229373912,-21.5032498168,-3.9120353053
0,i_8,6,12,'BL',9.0876311824,2.2480529889,-8.9986090106,-2.0627730136
0,i_15,12,13,'BL',2.3713590951,0.0910356050,-2.3607863502,-0.0814697882
0,i_0,1,2,'BL',35.9197820231,-2.4870472911,-35.7081871463,-3.0707485078
0,i_17,4,7,'BL',3.2225842883,0.7115914843,-3.2225842883,-0.6923881879
0,i_18,4,9,'BL',5.1785443797,3.9060870701,-5.1785443797,-3.7123985894
0,i_13,9,14,'BL',-1.3327516539,7.6393754911,1.3983189079,-7.4999051571
0,i_14,10,11,'BL',-17.0379931599,3.0295249392,17.2506347168,-2.5317545087
0,i_16,13,14,'BL',12.9193603387,-0.6346208574,-12.6740762199,1.1340286794
0,i_7,6,11,'BL',20.8558843857,-0.2174459766,-20.5144154326,0.9325246750
0,i_12,9,10,'BL',-7.0722831705,8.7935248492,7.1070296129,-8.7012244914
0,i_2,2,3,'BL',31.3301546323,-0.0401995759,-30.9326510181,-3.3216171950
0,i_4,2,5,'BL',11.9558203540,2.7543645280,-11.8749971598,-6.4968672631
0,i_10,7,8,'BL',-16.6136287479,-7.3848176173,16.6136287479,7.8769590890
1,i_9,6,13,'BL',30.2418899498,8.0919788920,-29.7061011746,-7.0368435367
1,i_5,3,4,'BL',-12.1535313089,3.5778615625,12.2519317586,-4.7769111860
1,i_6,4,5,'BL',-41.5345497085,8.9050291489,41.7469745265,-8.2349760337
1,i_1,1,5,'BL',18.8584124506,2.8181318212,-18.6808733607,-7.7924185420
1,i_11,7,9,'BL',20.2846191484,8.5262839589,-20.2846191484,-8.0756812488
1,i_19,5,6,'BL',-16.6646335728,20.5123524699,16.6646335728,-19.1686348039
1,i_3,2,4,'BL',21.8381268717,0.8199089349,-21.5969113983,-4.0011351303
1,i_15,12,13,'BL',-6.6272499155,-1.9717374086,6.7221369206,2.0575875560
1,i_0,1,2,'BL',35.9485832177,-2.4959100410,-35.7366508171,-3.0608552480
1,i_17,4,7,'BL',3.6645247933,0.8632237845,-3.6645247933,-0.8382232534
1,i_18,4,9,'BL',5.4350795124,4.0567532989,-5.4350795124,-3.8449257920
1,i_13,9,14,'BL',-0.0600656122,8.0795224723,0.1313685827,-7.9278515011
1,i_14,10,11,'BL',-17.6084614438,3.1008535807,17.8358032265,-2.5686715430
1,i_16,13,14,'BL',11.6093048458,-1.1503309669,-11.4071258947,1.5619750234
1,i_7,6,11,'BL',21.4611565506,-0.2122634424,-21.0995839423,0.9694417093
1,i_12,9,10,'BL',-7.6400279674,8.8720881545,7.6774978968,-8.7725531329
1,i_2,2,3,'BL',31.3297699088,-0.0401295262,-30.9322758524,-3.3217275121
1,i_4,2,5,'BL',11.9296080246,2.8188458524,-11.8487878406,-6.5610214626
1,i_10,7,8,'BL',-16.6200943550,-7.6880607055,16.6200943550,8.1877841999
--end of line flow
