--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',0.9449520213
1,l_17,6,'1 ',-8.8008963463
1,l_16,3,'1 ',23.7232346830
1,l_18,8,'1 ',8.5424153384
1,l_15,2,'1 ',18.9021383694
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,6,1.1000000000,10.3936762306
0,13,1.0780842779,8.8813469830
0,11,1.0794314693,7.4373924173
0,14,1.0560506155,5.1112433374
0,5,1.0708384177,4.8034948891
0,8,1.0991930610,5.2325680641
0,3,1.0592192054,0.3275841122
0,12,1.0855100166,9.2607979837
0,1,1.0880304003,5.5898803388
0,10,1.0706594974,4.7162010305
0,2,1.0875607144,5.5740561195
0,4,1.0669887898,3.4641434458
0,9,1.0756358208,3.7279755050
0,7,1.0861434251,4.1052821250
1,6,1.1000000000,4.1192795031
1,13,1.0713304464,2.0918455276
1,11,1.0789498776,1.0967988470
1,14,1.0527618938,-1.4925378757
1,5,1.0707483317,-1.5443752152
1,8,1.0991930610,-1.1760132281
1,3,1.0592192054,-6.0256901095
1,12,1.0558222152,1.6334744691
1,1,1.0880304003,-0.7617900067
1,10,1.0698969699,-1.6915504437
1,2,1.0875607144,-0.7786936704
1,4,1.0667930286,-2.8956100106
1,9,1.0748159910,-2.7091704840
1,7,1.0857140060,-2.3042873513
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0021369299
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_7,6,11,'BL',29.8034085248,-2.0621955873,-29.1028361965,3.5292816696
0,i_12,9,10,'BL',-18.4325146569,13.4761998105,18.5758573272,-13.0954247194
0,i_13,9,14,'BL',-5.2590884782,10.3862729949,5.4079879722,-10.0695438216
0,i_3,2,4,'BL',25.7610017803,2.6343453735,-25.4243623247,-5.5590294093
0,i_16,13,14,'BL',20.3109789841,-2.4422658926,-19.6955061649,3.6953920292
0,i_17,4,7,'BL',-6.3406370140,2.5642649737,6.3406370140,-2.4820776597
0,i_19,5,6,'BL',-48.8517045761,24.7098569944,48.8517045761,-18.9882864021
0,i_6,4,5,'BL',-60.2250487172,10.0800158068,60.6622835048,-8.7008430048
0,i_18,4,9,'BL',-0.9805943094,5.0483255125,0.9805943094,-4.9270084017
0,i_9,6,13,'BL',26.6991833609,5.2651168683,-26.2943192033,-4.4678129559
0,i_5,3,4,'BL',-32.6430158935,8.2496441340,33.3274745272,-7.9493591700
0,i_11,7,9,'BL',6.9934089223,10.3973247095,-6.9934089223,-10.2509079015
0,i_1,1,5,'BL',8.7022240091,3.4155373748,-8.6493863305,-8.9304618379
0,i_0,1,2,'BL',0.7543060716,-2.5085727225,-0.7541506664,-3.7387727346
0,i_15,12,13,'BL',3.7580588053,-0.1080278443,-3.7315583571,0.1320044403
0,i_4,2,5,'BL',11.2464565132,4.7900861188,-11.1630539341,-8.5654469615
0,i_10,7,8,'BL',-13.3340459364,-7.9152470498,13.3340459364,8.2742755146
0,i_2,2,3,'BL',54.4165079856,2.5008103601,-53.2297978073,-2.5485384962
0,i_8,6,12,'BL',9.9656623838,1.5337897678,-9.8623906209,-1.3188524179
0,i_14,10,11,'BL',-25.6794725356,6.7586828373,26.1841754969,-5.5772288731
1,i_7,6,11,'BL',30.4702590427,-2.0786954238,-29.7380828255,3.6119640024
1,i_12,9,10,'BL',-19.0352839343,13.6373186535,19.1862670290,-13.2362475594
1,i_13,9,14,'BL',-3.8655774323,10.6785711318,4.0074882708,-10.3767077653
1,i_3,2,4,'BL',25.8662485972,2.7232910119,-25.5265297748,-5.6379213831
1,i_16,13,14,'BL',18.8359202671,-2.9012348359,-18.2950064634,4.0025559729
1,i_17,4,7,'BL',-5.8446076702,2.6780661014,5.8446076702,-2.6054232645
1,i_19,5,6,'BL',-49.4875341422,24.7267649686,49.4875341422,-18.8832478849
1,i_6,4,5,'BL',-60.7935629234,10.0073377669,61.2388576980,-8.6027412906
1,i_18,4,9,'BL',-0.6922926744,5.1685589700,0.6922926744,-5.0437735298
1,i_9,6,13,'BL',35.4449716938,6.7762154248,-34.7330319840,-5.3741838904
1,i_5,3,4,'BL',-32.5328606586,8.3234580614,33.2138252047,-8.0318237415
1,i_11,7,9,'BL',7.4958490558,10.7819867216,-7.4958490558,-10.6210568424
1,i_1,1,5,'BL',8.6788791902,3.4646596837,-8.6259418696,-8.9786982167
1,i_0,1,2,'BL',0.7883355400,-2.5197076624,-0.7881737688,-3.7276183585
1,i_15,12,13,'BL',-6.1043318155,-1.4268802622,6.1822131405,1.4973443181
1,i_4,2,5,'BL',11.2107041524,4.8573719615,-11.1272430221,-8.6322202711
1,i_10,7,8,'BL',-13.3404567260,-8.1765634571,13.3404567260,8.5424153384
1,i_2,2,3,'BL',54.4216382996,2.5000796741,-53.2347092453,-2.5468856800
1,i_14,10,11,'BL',-26.2898822374,6.8995056773,26.8194221259,-5.6599112059
--end of line flow
