--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_18,8,'1 ',9.9937700982
1,l_16,3,'1 ',19.6792523406
1,l_17,6,'1 ',-0.2923903763
1,l_15,2,'1 ',13.8545451631
1,l_14,1,'1 ',-1.7630148476
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,12,1.0863027404,-1.1071913233
0,13,1.0788026975,-1.4587582151
0,8,1.1000000000,0.9062496781
0,3,1.0534328335,-5.8660336598
0,2,1.0715229205,-2.5003736946
0,14,1.0589286846,-3.7095347227
0,7,1.0861086320,-2.2791352610
0,4,1.0612517308,-3.6740550645
0,10,1.0753195183,-3.3356207237
0,5,1.0617309834,-2.9910471004
0,6,1.1000000000,-0.1384242180
0,11,1.0834289145,-1.9063406192
0,9,1.0794544552,-3.5678193840
0,1,1.0720266803,-2.4628240981
1,12,1.0590508030,3.0639035045
1,13,1.0724199399,3.3974401810
1,8,1.1000000000,6.0914695280
1,3,1.0534328335,-0.6354870776
1,2,1.0715229205,2.7306266291
1,14,1.0556902181,1.3079062702
1,7,1.0856755538,2.9043628250
1,4,1.0610744214,1.5512766126
1,10,1.0745786475,1.8480989404
1,5,1.0616552839,2.2441662719
1,6,1.1000000000,5.1590103225
1,11,1.0829945798,3.3342061573
1,9,1.0786197802,1.5913273508
1,1,1.0720266803,2.7691078317
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0017713710
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_15,12,13,'BL',3.6527219818,0.0499225196,-3.6277388064,-0.0273186943
0,i_3,2,4,'BL',13.8119351750,-0.1266262505,-13.7136979909,-3.4418062550
0,i_4,2,5,'BL',6.8522827363,1.8275915797,-6.8217782474,-5.6709560423
0,i_2,2,3,'BL',34.1097101318,0.1640700992,-33.6306076269,-3.0903615324
0,i_7,6,11,'BL',18.7274307293,0.5068740895,-18.4519309697,0.0700568664
0,i_9,6,13,'BL',24.0106149542,5.9484773878,-23.6760960368,-5.2897052129
0,i_12,9,10,'BL',-3.1306085419,6.4720173731,3.1447190414,-6.4345342795
0,i_18,4,9,'BL',-0.3941223945,3.1014982559,0.3941223945,-3.0561744726
0,i_5,3,4,'BL',-23.1473530102,4.0213397802,23.4844121580,-4.5920864423
0,i_6,4,5,'BL',-29.2764873384,8.2637408059,29.3861793331,-7.9177385664
0,i_13,9,14,'BL',4.0120042923,6.3098129598,-3.9510141105,-6.1800786717
0,i_16,13,14,'BL',12.9240009424,0.0662265569,-12.6786771832,0.4332619746
0,i_17,4,7,'BL',-13.7195843978,-0.3436661173,13.7195843978,0.6781620092
0,i_19,5,6,'BL',-24.7456319202,18.3339093537,24.7456319202,-16.4920122930
0,i_1,1,5,'BL',5.5811319645,0.7911172434,-5.5603327722,-6.3054807316
0,i_11,7,9,'BL',23.9680472289,6.8391005772,-23.9680472289,-6.2597446509
0,i_14,10,11,'BL',-14.3667099954,1.7858935979,14.5154328652,-1.4377497635
0,i_0,1,2,'BL',1.4191301243,-2.5856899794,-1.4187566175,-3.4783124404
0,i_8,6,12,'BL',8.7416924549,1.7565281995,-8.6609349185,-1.5884492362
0,i_10,7,8,'BL',-37.6876316266,-7.5172625865,37.6876316266,9.7226122047
1,i_15,12,13,'BL',-5.0082129368,-1.5385267167,5.0622799163,1.5874444600
1,i_3,2,4,'BL',13.8998947333,-0.0465743138,-13.8002727426,-3.5170166246
1,i_4,2,5,'BL',6.8221537712,1.8836969068,-6.7916398023,-5.7267543459
1,i_2,2,3,'BL',34.1140368866,0.1633082115,-33.6348152426,-3.0890977088
1,i_7,6,11,'BL',19.3060190512,0.4893152229,-19.0132594491,0.1237600021
1,i_9,6,13,'BL',31.7048736113,7.6171000467,-31.1236178125,-6.4724259286
1,i_12,9,10,'BL',-3.6787420644,6.5570328741,3.6941977819,-6.5159763469
1,i_18,4,9,'BL',-0.1484440991,3.2289734894,0.1484440991,-3.1805097310
1,i_5,3,4,'BL',-23.0559053719,4.0923689648,23.3908220900,-4.6683429249
1,i_6,4,5,'BL',-29.7609020944,8.1669759482,29.8738332784,-7.8107563108
1,i_13,9,14,'BL',5.2300315035,6.6936598411,-5.1511946430,-6.5259632764
1,i_16,13,14,'BL',11.6815039955,-0.3658158817,-11.4784966506,0.7791465794
1,i_17,4,7,'BL',-13.3006831175,-0.2229096409,13.3006831175,0.5372871343
1,i_19,5,6,'BL',-25.2831180229,18.3230538032,25.2831180229,-16.4294409507
1,i_1,1,5,'BL',5.5614751307,0.8319933007,-5.5406390599,-6.3458091331
1,i_11,7,9,'BL',24.3922626221,7.2427671908,-24.3922626221,-6.6384962962
1,i_14,10,11,'BL',-14.9161887359,1.8673356653,15.0767613446,-1.4914528991
1,i_0,1,2,'BL',1.4476438132,-2.5950081484,-1.4472579162,-3.4689564424
1,i_10,7,8,'BL',-37.6929457397,-7.7800543251,37.6929457397,9.9937700982
--end of line flow
