--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_15,2,'1 ',16.6743990926
1,l_16,3,'1 ',27.6723884065
1,l_18,8,'1 ',9.1969853426
1,l_14,1,'1 ',-1.9270505402
1,l_17,6,'1 ',-0.0417232288
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,2,1.0751997230,-21.7602350742
0,10,1.0614061898,-24.6104382655
0,6,1.1000000000,-19.5696586682
0,11,1.0743479810,-22.2528789478
0,12,1.0842104418,-20.7590815701
0,7,1.0747397198,-24.4823537289
0,8,1.0888361627,-23.1589678848
0,3,1.0448300406,-27.6829354677
0,14,1.0535629681,-24.5019689706
0,4,1.0540981465,-24.5927384742
0,5,1.0585065672,-23.3260146345
0,13,1.0786962827,-21.1006391010
0,1,1.0736295933,-21.9789205764
0,9,1.0646037296,-25.2688131789
1,2,1.0751997230,-273.2893929202
1,10,1.0605483385,-276.2007936026
1,6,1.1000000000,-271.0199331166
1,11,1.0738200592,-273.7724559902
1,12,1.0520232448,-273.6226891685
1,7,1.0742445393,-276.0732946262
1,8,1.0888361627,-274.7486157435
1,3,1.0448300406,-279.2118998684
1,14,1.0498983429,-276.3006640942
1,4,1.0538782081,-276.1297144748
1,5,1.0584075626,-274.8507053899
1,13,1.0712781361,-273.0938743021
1,1,1.0736295933,-273.5070296600
1,9,1.0636644623,-276.8900505676
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0026374491
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_16,13,14,'BL',18.9191411533,-0.9267627040,-18.3920768095,1.9998858124
0,i_11,7,9,'BL',14.2757581985,10.0003065213,-14.2757581985,-9.7109600443
0,i_19,5,6,'BL',-32.4764291080,17.1698183044,32.4764291080,-14.5331263125
0,i_14,10,11,'BL',-23.0553258210,3.1996631877,23.4499130694,-2.2759779616
0,i_8,6,12,'BL',10.5521580323,1.8200343443,-10.4356875369,-1.5776267500
0,i_2,2,3,'BL',59.8182057360,2.7930874759,-58.3522470503,-1.5394844053
0,i_3,2,4,'BL',32.7109964800,0.9071680717,-32.1690003176,-3.1168202008
0,i_17,4,7,'BL',-1.0671760822,1.5834408113,1.0671760822,-1.5768771589
0,i_5,3,4,'BL',-31.6995310570,6.9957294323,32.3526857894,-6.7384662725
0,i_9,6,13,'BL',26.7402957926,4.7355170496,-26.3371260077,-3.9415498859
0,i_18,4,9,'BL',2.4569248038,4.5554307956,-2.4569248038,-4.4295243191
0,i_12,9,10,'BL',-12.1010843980,8.6722689930,12.1632921701,-8.5070204315
0,i_6,4,5,'BL',-56.2180423383,7.4349934859,56.6044102897,-6.2162703076
0,i_4,2,5,'BL',19.2778076359,2.2527971604,-19.0858222999,-5.6049553892
0,i_13,9,14,'BL',-2.8589301958,5.7284115881,2.9048989146,-5.6306299644
0,i_0,1,2,'BL',-7.5633642068,-3.4006047110,7.5730034786,-2.6650254327
0,i_7,6,11,'BL',28.4198611645,1.2668228226,-27.7845993276,0.0634949216
0,i_1,1,5,'BL',13.0124150151,1.4327016039,-12.9245081235,-6.6616821616
0,i_10,7,8,'BL',-15.3429342807,-8.4234293624,15.3429342807,8.8906347213
0,i_15,12,13,'BL',3.0632931671,-0.3842993381,-3.0453802266,0.4005062842
1,i_16,13,14,'BL',17.3695243997,-1.4438396643,-16.9170643817,2.3650655195
1,i_11,7,9,'BL',14.8057564358,10.4369456508,-14.8057564358,-10.1241322351
1,i_19,5,6,'BL',-33.1157648786,17.1629387091,33.1157648786,-14.4442662701
1,i_14,10,11,'BL',-23.7002819119,3.3287135971,24.1181202618,-2.3506001070
1,i_2,2,3,'BL',59.8163572872,2.7933285310,-58.3504874439,-1.5400997553
1,i_3,2,4,'BL',32.8251337815,1.0078457189,-32.2790818537,-3.2044034979
1,i_17,4,7,'BL',-0.5450901921,1.7216325268,0.5450901921,-1.7157594994
1,i_5,3,4,'BL',-31.5713962965,7.0748451450,32.2203257586,-6.8280694464
1,i_9,6,13,'BL',36.0555216397,6.5366008720,-35.3214601239,-5.0910045958
1,i_18,4,9,'BL',2.7601085123,4.6975884598,-2.7601085123,-4.5580072455
1,i_12,9,10,'BL',-12.7407592396,8.8153484990,12.8082482609,-8.6360708408
1,i_6,4,5,'BL',-56.8008703700,7.3318305773,57.1951340653,-6.0882017977
1,i_4,2,5,'BL',19.2479210994,2.3223908140,-19.0562089852,-5.6750206640
1,i_13,9,14,'BL',-1.3860734085,6.0890059592,1.4298864869,-5.9958096715
1,i_0,1,2,'BL',-7.5311538637,-3.4112905641,7.5407126947,-2.6545851772
1,i_7,6,11,'BL',29.1196587306,1.2583548713,-28.4528065200,0.1381170670
1,i_1,1,5,'BL',12.9933919174,1.4842400239,-12.9055094431,-6.7128058014
1,i_10,7,8,'BL',-15.3508466279,-8.7211861514,15.3508466279,9.1969853426
1,i_15,12,13,'BL',-7.3723943698,-1.9619260880,7.4885706433,2.0670379545
--end of line flow
