--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_15,2,'1 ',13.5602116722
1,l_18,8,'1 ',9.1445714761
1,l_14,1,'1 ',-1.2300543804
1,l_17,6,'1 ',-3.4831275560
1,l_16,3,'1 ',23.5646058568
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,5,1.0632545544,1.1880370858
0,1,1.0786672818,2.4863316175
0,3,1.0563946816,-1.6460561737
0,14,1.0581028800,-0.7539058440
0,11,1.0826585733,1.2633950753
0,6,1.1000000000,3.5094590381
0,12,1.0842319714,2.2861497110
0,2,1.0778011962,2.3615721962
0,8,1.1000000000,1.6288898243
0,4,1.0614211241,0.2504659477
0,7,1.0863111603,-0.0141754815
0,13,1.0779338529,2.0466101009
0,9,1.0788150676,-1.2004556487
0,10,1.0749514617,-0.6203471924
1,5,1.0631584198,6.7345501172
1,1,1.0786672818,8.0297064967
1,3,1.0563946816,3.8969276613
1,14,1.0543685094,4.5142493045
1,11,1.0821372750,6.8136929556
1,6,1.1000000000,9.1301899242
1,12,1.0517414699,6.4374497501
1,2,1.0778011962,7.9039342751
1,8,1.1000000000,7.1101339590
1,4,1.0611983769,5.7848326091
1,7,1.0858034591,5.4655753550
1,13,1.0704622274,7.1086334309
1,9,1.0778583000,4.2483903627
1,10,1.0740876385,4.8593291983
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0028580467
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_18,4,9,'BL',5.3798538797,3.3301034697,-5.3798538797,-3.1445370984
0,i_19,5,6,'BL',-20.1693379793,18.8918466109,20.1693379793,-17.4130194128
0,i_7,6,11,'BL',23.0167732968,-0.9405789620,-22.6002298396,1.8128730623
0,i_5,3,4,'BL',-19.7420227297,4.2752136222,19.9910004047,-5.0750005984
0,i_6,4,5,'BL',-41.0761954422,8.7597362266,41.2852218446,-8.1004027580
0,i_16,13,14,'BL',15.4858744729,-1.0721649832,-15.1314021335,1.7938841872
0,i_17,4,7,'BL',2.6040013170,-0.5199691482,-2.6040013170,0.5324878694
0,i_3,2,4,'BL',24.6667026869,0.3488619590,-24.3596359565,-3.3072055219
0,i_1,1,5,'BL',12.7407777087,1.6372800732,-12.6559969473,-6.9306206090
0,i_10,7,8,'BL',-19.4507765723,-8.1629479594,19.4507765723,8.8271518251
0,i_2,2,3,'BL',40.9862897009,0.7881088331,-40.3022735559,-2.8943314259
0,i_4,2,5,'BL',14.8983163704,2.2657935019,-14.7805393459,-5.8716427547
0,i_12,9,10,'BL',-10.5206738652,8.9635290931,10.5728858192,-8.8248333963
0,i_14,10,11,'BL',-18.2839303999,3.8247168347,18.5316953650,-3.2447263795
0,i_13,9,14,'BL',0.4920369967,8.0456618508,-0.4210742372,-7.8947145538
0,i_0,1,2,'BL',4.3322438224,-2.9071150188,-4.3291131984,-3.2217980256
0,i_11,7,9,'BL',22.0547778893,7.6304600900,-22.0547778893,-7.1227322921
0,i_15,12,13,'BL',2.8025539801,0.3239109286,-2.7875963940,-0.3103778745
0,i_9,6,13,'BL',26.1148358889,5.6684120404,-25.7244330498,-4.8995869783
0,i_8,6,12,'BL',10.7749410429,1.7095423583,-10.6540403780,-1.4579143454
1,i_18,4,9,'BL',5.6906340628,3.4807311602,-5.6906340628,-3.2743746776
1,i_19,5,6,'BL',-20.8119171701,18.8699911589,20.8119171701,-17.3414934207
1,i_7,6,11,'BL',23.7295851577,-0.9636028650,-23.2868513969,1.8907427369
1,i_5,3,4,'BL',-19.6070597386,4.3565877811,19.8533401122,-5.1629564979
1,i_6,4,5,'BL',-41.6692422194,8.6388924089,41.8839244307,-7.9617187820
1,i_16,13,14,'BL',13.9172223139,-1.5528203590,-13.6247034231,2.1483999786
1,i_17,4,7,'BL',3.1392743187,-0.3718709552,-3.1392743187,0.3896206210
1,i_3,2,4,'BL',24.7852189287,0.4492108406,-24.4749820717,-3.3971316884
1,i_1,1,5,'BL',12.7236787938,1.6872656188,-12.6388901806,-6.9800708640
1,i_10,7,8,'BL',-19.4593507124,-8.4715772900,19.4593507124,9.1445714761
1,i_2,2,3,'BL',40.9802978846,0.7890948918,-40.2964777471,-2.8961432684
1,i_4,2,5,'BL',14.8714390584,2.3331972802,-14.7537695080,-5.9390210238
1,i_12,9,10,'BL',-11.1838392334,9.0977892918,11.2407489261,-8.9466145343
1,i_14,10,11,'BL',-18.9517935067,3.9464979728,19.2183169223,-3.3225960542
1,i_13,9,14,'BL',2.0098296898,8.4237760298,-1.9277729476,-8.2492303452
1,i_0,1,2,'BL',4.3636329709,-2.9173199992,-4.3604574246,-3.2114558910
1,i_11,7,9,'BL',22.5986250312,8.0819566690,-22.5986250312,-7.5444743577
1,i_15,12,13,'BL',-7.8514863979,-1.1340034167,7.9771724857,1.2477194009
1,i_9,6,13,'BL',35.6451351898,7.4039637618,-34.9205497706,-5.9770288780
--end of line flow
