--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_18,8,'1 ',9.9581942554
1,l_15,2,'1 ',19.2257300252
1,l_14,1,'1 ',0.9009030950
1,l_16,3,'1 ',19.7863128742
1,l_17,6,'1 ',-4.3111526977
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,11,1.0802757736,-11.3306636501
0,7,1.0860261356,-12.4418303364
0,8,1.1000000000,-9.3620531701
0,3,1.0593307951,-17.0302940538
0,5,1.0695067122,-13.1546685891
0,6,1.1000000000,-9.2296241202
0,12,1.0866913268,-10.2211422621
0,10,1.0708098702,-13.0783354645
0,13,1.0790423091,-10.6536179902
0,2,1.0817068973,-12.9440637172
0,9,1.0758385007,-13.5076359683
0,14,1.0608186636,-12.8754261070
0,4,1.0675019374,-14.1281441822
0,1,1.0869832244,-12.1573098088
1,11,1.0798546918,16.8280325736
1,7,1.0856228867,15.6582850849
1,8,1.1000000000,18.7396403438
1,3,1.0593307951,11.1170747312
1,5,1.0694332186,14.9977590907
1,6,1.1000000000,18.9866811361
1,12,1.0598691937,16.8297878134
1,10,1.0701084767,15.0224866493
1,13,1.0728470583,17.1113826240
1,2,1.0817068973,15.2039719636
1,9,1.0750599256,14.5680492057
1,14,1.0577299023,15.0569507042
1,4,1.0673319133,14.0141285370
1,1,1.0869832244,15.9916940546
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0017054024
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_6,4,5,'BL',-43.2071504397,9.0069772413,43.4353575613,-8.2871418936
0,i_18,4,9,'BL',-2.3077726498,5.1257388048,2.3077726498,-4.9809286245
0,i_7,6,11,'BL',22.2339300217,0.6926719363,-21.8455109298,0.1207262252
0,i_9,6,13,'BL',25.2587480583,5.1518861555,-24.8954444491,-4.4364279367
0,i_11,7,9,'BL',19.7553862901,10.2410501738,-19.7553862901,-9.7792094233
0,i_10,7,8,'BL',-36.4365980588,-7.6358639172,36.4365980588,9.7057385699
0,i_8,6,12,'BL',8.8307357661,1.5498483943,-8.7490829717,-1.3799061492
0,i_17,4,7,'BL',-16.6812117687,3.1105868994,16.6812117687,-2.6051862566
0,i_15,12,13,'BL',4.0703861071,-0.3235803676,-4.0391950710,0.3518008289
0,i_12,9,10,'BL',-6.8234273705,9.0093064726,6.8585309509,-8.9160574143
0,i_3,2,4,'BL',14.8396531634,1.9745815430,-14.7224853316,-5.5454709251
0,i_16,13,14,'BL',12.6066726511,-0.2942293194,-12.3732307559,0.7695259226
0,i_2,2,3,'BL',42.1233061739,1.1368292835,-41.4052344364,-3.1316504694
0,i_14,10,11,'BL',-17.3384580424,2.4095984035,17.5577298083,-1.8963073848
0,i_5,3,4,'BL',-30.4524139815,7.0000792361,31.0417445149,-6.9434425567
0,i_13,9,14,'BL',-1.5034530428,6.7088666474,1.5553646390,-6.5984437272
0,i_19,5,6,'BL',-34.2852634194,22.8212409035,34.2852634194,-19.5748599956
0,i_4,2,5,'BL',4.4550127167,4.1108435444,-4.4270331502,-8.0285227495
0,i_1,1,5,'BL',10.5366195591,3.1371287494,-10.4691483290,-8.5790300753
0,i_0,1,2,'BL',27.5646399765,-2.2672940508,-27.4398937526,-3.5601203002
1,i_6,4,5,'BL',-43.7020032382,8.9281149395,43.9351572430,-8.1926756028
1,i_18,4,9,'BL',-2.0583119540,5.2418197510,2.0583119540,-5.0964394129
1,i_7,6,11,'BL',22.8147810688,0.6703354681,-22.4058461821,0.1860253338
1,i_9,6,13,'BL',33.0200352981,6.6458440446,-32.3998161924,-5.4244390121
1,i_11,7,9,'BL',20.1860399726,10.6160123288,-20.1860399726,-10.1304729770
1,i_10,7,8,'BL',-36.4417142661,-7.8805498851,36.4417142661,9.9581942554
1,i_17,4,7,'BL',-16.2556742935,3.2176041507,16.2556742935,-2.7354624437
1,i_15,12,13,'BL',-4.6786968646,-1.7034865168,4.7274545743,1.7476006352
1,i_12,9,10,'BL',-7.3666460432,9.1155262073,7.4044519386,-9.0150987267
1,i_3,2,4,'BL',14.9285125196,2.0509463141,-14.8097274711,-5.6163116094
1,i_16,13,14,'BL',11.3443947491,-0.7020180503,-11.1525432281,1.0926350652
1,i_2,2,3,'BL',42.1297756810,1.1357738007,-41.4114881805,-3.1296859716
1,i_14,10,11,'BL',-17.8843790300,2.5086397158,18.1180650606,-1.9616064934
1,i_5,3,4,'BL',-30.3621691674,7.0669216525,30.9488412818,-7.0168377680
1,i_13,9,14,'BL',-0.2801199918,7.0376031724,0.3346771112,-6.9215528698
1,i_19,5,6,'BL',-34.8399452429,22.8223008521,34.8399452429,-19.5019906245
1,i_4,2,5,'BL',4.4222727724,4.1671012365,-4.3940971495,-8.0839098875
1,i_1,1,5,'BL',10.5146873621,3.1777121212,-10.4472021880,-8.6191691768
1,i_0,1,2,'BL',27.5950991856,-2.2768090262,-27.4700800254,-3.5497720098
--end of line flow
