--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',-1.7040120857
1,l_17,6,'1 ',-8.2822762103
1,l_16,3,'1 ',21.7284835841
1,l_18,8,'1 ',5.6756624965
1,l_15,2,'1 ',22.1344486262
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,6,1.1000000000,-2.8228794217
0,11,1.0865358938,-4.7490975779
0,9,1.0862600060,-6.8102216418
0,10,1.0817652985,-6.3168950791
0,4,1.0678105880,-5.1776919581
0,8,1.1000000000,-5.0936362964
0,13,1.0804970337,-4.2170248492
0,2,1.0891356170,-2.4849268690
0,5,1.0708741914,-3.9361313669
0,3,1.0612274608,-7.9464417030
0,12,1.0851609249,-3.9698890592
0,14,1.0681795004,-6.3412711321
0,1,1.1000000000,-0.3726997641
0,7,1.0914961871,-5.9084773893
1,6,1.1000000000,-17.4742335748
1,11,1.0860594534,-19.4662597379
1,9,1.0853671245,-21.6211820064
1,10,1.0809651996,-21.0993788163
1,4,1.0676024286,-19.9094765243
1,8,1.1000000000,-19.8753123807
1,13,1.0734655336,-19.3910786822
1,2,1.0891356170,-17.2092628722
1,5,1.0707870315,-18.6566602501
1,3,1.0612274608,-22.6703178835
1,12,1.0546094534,-19.9920758507
1,14,1.0646661682,-21.3185226068
1,1,1.1000000000,-15.0960720279
1,7,1.0910218063,-20.6911800563
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0026643695
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_9,6,13,'BL',24.4048069264,4.3458319436,-24.0688737970,-3.6842747437
0,i_19,5,6,'BL',-9.7436959059,22.4377141966,9.7436959059,-21.2954285741
0,i_13,9,14,'BL',-0.0743307535,7.3132171880,0.1319508450,-7.1906515335
0,i_4,2,5,'BL',18.7888467923,3.4476233284,-18.6048404775,-6.9218835200
0,i_0,1,2,'BL',73.7776954512,-5.7857187437,-72.9048165277,2.1247356383
0,i_1,1,5,'BL',34.5266634685,4.0450567456,-33.9723450708,-7.5544456924
0,i_5,3,4,'BL',-28.8707882451,7.2795623226,29.4048242482,-7.3670500598
0,i_6,4,5,'BL',-55.5188701207,10.4699095767,55.8925939561,-9.2910698235
0,i_12,9,10,'BL',-8.5650494655,9.0538701649,8.6069248497,-8.9426325048
0,i_7,6,11,'BL',19.4747903582,-1.5139694290,-19.1752818682,2.1411776694
0,i_8,6,12,'BL',10.1162150156,1.6138251175,-10.0096162516,-1.3919633501
0,i_10,7,8,'BL',-9.6932164284,-5.2003742784,9.6932164284,5.3792831842
0,i_14,10,11,'BL',-15.0469288442,3.9700852041,15.2167281006,-3.5726038734
0,i_3,2,4,'BL',32.0842141627,1.3102630144,-31.5745145969,-3.7186503879
0,i_11,7,9,'BL',16.9615942389,5.3287062605,-16.9615942389,-5.0368294714
0,i_2,2,3,'BL',56.6496966121,1.9599940905,-55.3702007031,-1.6336471108
0,i_17,4,7,'BL',7.2683778105,0.2210921390,-7.2683778105,-0.1283319821
0,i_16,13,14,'BL',11.5070488813,-1.5995619523,-11.3094379941,2.0019052562
0,i_15,12,13,'BL',2.4013473329,-0.1166083885,-2.3905035809,0.1264194023
0,i_18,4,9,'BL',6.1315257548,3.2003535415,-6.1315257548,-2.9812515537
1,i_9,6,13,'BL',33.3539408255,5.9760757165,-32.7262271567,-4.7399115497
1,i_19,5,6,'BL',-10.3482193720,22.4053825112,10.3482193720,-21.2424893394
1,i_13,9,14,'BL',1.3528167698,7.6798188510,-1.2872023226,-7.5402481310
1,i_4,2,5,'BL',18.7631721549,3.5094822572,-18.5793002133,-6.9838297838
1,i_0,1,2,'BL',73.8088036356,-5.7946520991,-72.9351819414,2.1359367823
1,i_1,1,5,'BL',34.5088771316,4.0906400133,-33.9548202532,-7.6006493306
1,i_5,3,4,'BL',-28.7438833387,7.3544406599,29.2742851088,-7.4509195863
1,i_6,4,5,'BL',-56.0732249662,10.3518347328,56.4540523405,-9.1505882362
1,i_12,9,10,'BL',-9.1919489024,9.1719740639,9.2374803844,-9.0510243554
1,i_7,6,11,'BL',20.1405923279,-1.5449806696,-19.8203053053,2.2157017561
1,i_10,7,8,'BL',-9.7012095370,-5.4917580948,9.7012095370,5.6756624965
1,i_14,10,11,'BL',-15.6774843788,4.0784770548,15.8617515377,-3.6471279601
1,i_3,2,4,'BL',32.1953929314,1.4060938485,-31.6818755898,-3.8021414930
1,i_11,7,9,'BL',17.4710934009,5.7498134143,-17.4710934009,-5.4371575305
1,i_2,2,3,'BL',56.6451809156,1.9606199961,-55.3658854103,-1.6351173218
1,i_17,4,7,'BL',7.7698838639,0.3642338097,-7.7698838639,-0.2580553195
1,i_16,13,14,'BL',10.0461289744,-2.0341972241,-9.8902848265,2.3515018538
1,i_15,12,13,'BL',-7.6082689187,-1.5085717387,7.7277696857,1.6166914802
1,i_18,4,9,'BL',6.4222746792,3.3426473461,-6.4222746792,-3.1024701636
--end of line flow
