--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',0.0916415532
1,l_18,8,'1 ',7.4566233066
1,l_15,2,'1 ',26.9667666939
1,l_16,3,'1 ',27.3668584648
1,l_17,6,'1 ',-10.5290156577
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,2,1.0873254884,-187.5723955143
0,3,1.0585719024,-193.0686150515
0,11,1.0805366606,-186.3654507841
0,8,1.1000000000,-186.9990813054
0,5,1.0731054448,-187.9609958088
0,9,1.0802583474,-189.7172490579
0,13,1.0802950163,-185.0029371831
0,12,1.0874091646,-184.4884520753
0,1,1.1000000000,-185.2796485918
0,10,1.0730546841,-188.9610672109
0,7,1.0889843796,-188.8294315033
0,14,1.0650571326,-188.4282031584
0,6,1.1000000000,-183.4527568391
0,4,1.0693960578,-189.3477777927
1,2,1.0873254884,2.1561138190
1,3,1.0585719024,-3.3410691360
1,11,1.0801211900,3.3747941322
1,8,1.1000000000,2.6800787671
1,5,1.0730329891,1.7721950031
1,9,1.0795585994,-0.0640219149
1,13,1.0744565728,4.3280864134
1,12,1.0613405726,4.0712012607
1,1,1.1000000000,4.4499071743
1,10,1.0724017426,0.7184108720
1,7,1.0886152907,0.8486877361
1,14,1.0622313109,1.0745340990
1,6,1.1000000000,6.3477800673
1,4,1.0692284014,0.3746572618
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0016604343
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_8,6,12,'BL',9.0099545261,1.1614873603,-8.9261234728,-0.9870115506
0,i_7,6,11,'BL',29.2129421762,-2.4139102934,-28.5384876647,3.8263024006
0,i_13,9,14,'BL',-5.4601457003,8.7479837520,5.5759761618,-8.5015968415
0,i_16,13,14,'BL',18.0190961280,-3.5294573259,-17.5252972108,4.5348507569
0,i_12,9,10,'BL',-12.7812968394,14.1402381201,12.8803305897,-13.8771651271
0,i_5,3,4,'BL',-39.0389697974,9.2741189544,40.0100371230,-8.2447350928
0,i_6,4,5,'BL',-62.4140428612,11.1650341109,62.8833407550,-9.6847244250
0,i_2,2,3,'BL',56.8663949629,2.3786087196,-55.5713063555,-1.9656133798
0,i_9,6,13,'BL',26.4704322760,3.5312807471,-26.0805552586,-2.7634911922
0,i_14,10,11,'BL',-24.4055898256,6.8650983338,24.8636107630,-5.7929218385
0,i_15,12,13,'BL',4.3127299733,-0.8726905694,-4.2765571864,0.9054183290
0,i_19,5,6,'BL',-39.5021051101,25.0382577438,39.5021051101,-20.8801429455
0,i_18,4,9,'BL',1.3822356504,4.6376246799,-1.3822356504,-4.5306851897
0,i_0,1,2,'BL',80.4802612945,-4.3734242340,-79.4426364649,1.2258354326
0,i_4,2,5,'BL',6.7451501847,4.6531255158,-6.7016208605,-8.5577509676
0,i_17,4,7,'BL',-5.1513047293,2.3593434287,5.1513047293,-2.3031954728
0,i_3,2,4,'BL',21.8106024697,2.1752264399,-21.5681815248,-5.3936657019
0,i_11,7,9,'BL',16.5691729997,8.7662376737,-16.5691729997,-8.4402723894
0,i_1,1,5,'BL',26.5537489962,4.4343528757,-26.2143763818,-8.8428226201
0,i_10,7,8,'BL',-21.7204777291,-6.4630422009,21.7204777291,7.2258622376
1,i_7,6,11,'BL',29.8164091493,-2.4403343833,-29.1138919467,3.9114932756
1,i_13,9,14,'BL',-4.2060413551,8.9794092293,4.3132751506,-8.7513085793
1,i_16,13,14,'BL',16.6979201533,-3.8982263198,-16.2625961996,4.7845624947
1,i_12,9,10,'BL',-13.3300965073,14.2893470618,13.4343269607,-14.0124695608
1,i_5,3,4,'BL',-38.9481915381,9.3382738762,39.9157944033,-8.3175029017
1,i_6,4,5,'BL',-62.9309009592,11.1008892677,63.4077444235,-9.5967785347
1,i_2,2,3,'BL',56.8758176729,2.3773086053,-55.5803082242,-1.9625402509
1,i_9,6,13,'BL',34.3551141556,4.6872589234,-33.6978541716,-3.3929088385
1,i_14,10,11,'BL',-24.9595861965,7.0004027674,25.4390150450,-5.8781127136
1,i_15,12,13,'BL',-4.6133934995,-1.8597021201,4.6619177013,1.9036049693
1,i_19,5,6,'BL',-40.0882526139,25.0478256931,40.0882526139,-20.7995413841
1,i_18,4,9,'BL',1.6398257678,4.7432196063,-1.6398257678,-4.6281657584
1,i_0,1,2,'BL',80.5140129201,-4.3830016757,-79.4755141495,1.2380811451
1,i_4,2,5,'BL',6.7086521346,4.7100177229,-6.6649906421,-8.6139706228
1,i_17,4,7,'BL',-4.7085714725,2.4584908828,4.7085714725,-2.4091269946
1,i_3,2,4,'BL',21.9021037469,2.2505799073,-21.6574040814,-5.4614954303
1,i_11,7,9,'BL',17.0168875595,9.0976827943,-17.0168875595,-8.7520414673
1,i_1,1,5,'BL',26.5282995422,4.4746432289,-26.1892627649,-8.8841168044
1,i_10,7,8,'BL',-21.7254590321,-6.6885557997,21.7254590321,7.4566233066
--end of line flow
