--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_18,8,'1 ',4.8846080943
1,l_16,3,'1 ',20.4537829403
1,l_17,6,'1 ',2.5072473064
1,l_15,2,'1 ',11.4111845759
1,l_14,1,'1 ',-1.0694781043
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,8,1.1000000000,5.9705520811
0,14,1.0461321782,0.6234311738
0,3,1.0521104394,-0.5508276358
0,10,1.0545142713,0.6284655224
0,12,1.0842251981,4.7760118115
0,2,1.0745092795,3.6916726046
0,13,1.0747809258,4.3532860761
0,7,1.0927616675,4.2627479253
0,1,1.0785195504,4.3279337814
0,6,1.1000000000,5.8923203561
0,5,1.0630736229,3.0422678532
0,9,1.0565742407,-0.2505788595
0,4,1.0615667124,2.2079741106
0,11,1.0715071034,3.1002056657
1,8,1.1000000000,3.4293081380
1,14,1.0417219061,-2.2239320928
1,3,1.0521104394,-3.0887546475
1,10,1.0526684533,-2.0251003067
1,12,1.0526230005,0.9698919364
1,2,1.0745092795,1.1524256944
1,13,1.0672257324,1.3417866028
1,7,1.0926637279,1.7207746811
1,1,1.0785195504,1.7891879997
1,6,1.1000000000,3.3946313901
1,5,1.0629663833,0.5052664909
1,9,1.0544634698,-2.9405094492
1,4,1.0613584164,-0.3352803246
1,11,1.0704596026,0.5272191652
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0022862143
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_7,6,11,'BL',29.9072294822,2.1797597400,-29.2013995623,-0.7016636033
0,i_11,9,10,'BL',-16.8173337816,9.0618118041,16.9213219878,-8.7855778076
0,i_2,2,3,'BL',43.0751344955,0.9692290616,-42.3149963200,-2.7194480333
0,i_12,9,14,'BL',-3.5176577583,5.7817543899,3.5698096196,-5.6708203938
0,i_14,12,13,'BL',4.4927176080,0.1731650670,-4.4547285088,-0.1387939773
0,i_15,13,14,'BL',20.7039069640,-0.6368885326,-20.0690238460,1.9295347779
0,i_5,3,4,'BL',-28.9674453842,5.5808123245,29.4993595540,-5.6528753637
0,i_4,2,5,'BL',8.8271844618,2.2204499072,-8.7799750680,-6.0288335648
0,i_13,10,11,'BL',-24.6280372040,1.7386273469,25.0778090735,-0.6857610096
0,i_6,4,5,'BL',-36.4704777314,8.0473991797,36.6357181076,-7.5261802852
0,i_8,6,12,'BL',10.0618570667,2.0372968608,-9.9548019019,-1.8144851961
0,i_3,2,4,'BL',17.5186829896,0.3677827294,-17.3614831139,-3.7693396600
0,i_10,7,8,'BL',-20.3369870676,-4.1872471193,20.3369870676,4.8232162559
0,i_0,1,2,'BL',21.8398652251,-2.7936175518,-21.7603834397,-3.0826378043
0,i_16,4,7,'BL',-20.3369870676,-3.4322436233,20.3369870676,4.1872471193
0,i_18,5,6,'BL',-24.7546176163,19.0079955422,24.7546176163,-17.1211278183
0,i_9,6,13,'BL',28.1070322126,7.3498645187,-27.6456082077,-6.4411766106
0,i_17,4,9,'BL',8.9275403158,7.8644498091,-8.9275403158,-7.2084859839
0,i_1,1,5,'BL',12.6332485914,1.6765502223,-12.5495503852,-6.9726292551
1,i_7,6,11,'BL',30.7569579922,2.3910252063,-30.0099069574,-0.8266068991
1,i_11,9,10,'BL',-17.5877401228,9.0285285124,17.6995558394,-8.7315015381
1,i_2,2,3,'BL',43.0624966100,0.9712557530,-42.3027957123,-2.7233169867
1,i_12,9,14,'BL',-2.2357459382,6.0519554671,2.2833307128,-5.9507362761
1,i_14,12,13,'BL',-5.4620842940,-1.6413201290,5.5269403664,1.6999994327
1,i_15,13,14,'BL',19.3459126498,-1.0624125123,-18.7825449393,2.2094506602
1,i_5,3,4,'BL',-28.8670499391,5.6665451193,29.3961064376,-5.7456188031
1,i_4,2,5,'BL',8.8227722820,2.2878692312,-8.7753185283,-6.0951123758
1,i_13,10,11,'BL',-25.4062710556,1.6845510774,25.8863164687,-0.5608177137
1,i_6,4,5,'BL',-36.7975584461,7.9013198492,36.9654276376,-7.3718088637
1,i_3,2,4,'BL',17.5945844775,0.4708355713,-17.4357961188,-3.8668209204
1,i_10,7,8,'BL',-20.3438457105,-4.2473651509,20.3438457105,4.8846080943
1,i_0,1,2,'BL',21.8553911573,-2.7985124738,-21.7757967912,-3.0773991567
1,i_16,4,7,'BL',-20.3438457105,-3.4908494295,20.3438457105,4.2473651509
1,i_18,5,6,'BL',-25.0932530374,18.9711058997,25.0932530374,-17.0538674111
1,i_9,6,13,'BL',37.0691161512,9.4295676543,-36.2692827687,-7.8544460409
1,i_17,4,9,'BL',9.4390457947,8.2593596457,-9.4390457947,-7.5300661930
1,i_1,1,5,'BL',12.6291537306,1.7290343695,-12.5452810338,-7.0238322231
--end of line flow
