--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_17,6,'1 ',24.1689223944
1,l_15,2,'1 ',12.9510408256
1,l_16,3,'1 ',14.9353439098
1,l_18,8,'1 ',-5.2631894254
1,l_14,1,'1 ',2.8467669199
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,6,1.1000000000,-6.4205386188
0,11,1.0677430829,-8.3844726945
0,13,1.0735046409,-7.8469243171
0,7,1.0415069293,-2.9571636478
0,8,1.0323202214,-2.1735434676
0,14,1.0425145396,-10.2556707523
0,9,1.0484362961,-10.5059558319
0,2,1.0502968287,-0.7092999229
0,3,1.0248528580,-5.4781413931
0,12,1.0833608315,-7.4425450444
0,5,1.0341564647,-3.0684619008
0,4,1.0295026316,-3.8694878066
0,1,1.0666108696,1.9886409886
0,10,1.0471124604,-10.0919980098
1,6,1.1000000000,-15.7580897470
1,11,1.0666139858,-17.7915905737
1,13,1.0655167317,-17.6573452290
1,7,1.0413986411,-12.3296397134
1,8,1.0323202214,-11.5453065971
1,14,1.0376980578,-19.9137401910
1,9,1.0460511906,-20.0209926107
1,2,1.0502968287,-10.0794715942
1,3,1.0248528580,-14.8466910664
1,12,1.0511780079,-17.9323779231
1,5,1.0340381884,-12.4370644030
1,4,1.0292714686,-13.2429990231
1,1,1.0666108696,-7.3811146959
1,10,1.0450596555,-19.5738034934
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0022418240
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_3,2,4,'BL',34.4543847595,0.0886942930,-33.8270134551,-1.8621942653
0,i_15,13,14,'BL',14.7835519113,2.5824202778,-14.4494939454,-1.9022655167
0,i_13,10,11,'BL',-18.6382419070,-3.0267304926,18.9050545925,3.6513095604
0,i_6,4,5,'BL',-35.3242307781,0.0681480823,35.4814021293,0.4276186291
0,i_14,12,13,'BL',4.5133737231,0.3681363605,-4.4747751596,-0.3332138507
0,i_18,5,6,'BL',28.3185853557,5.0597493998,-28.3185853557,-3.3658598928
0,i_8,6,12,'BL',9.5726284363,2.6296645856,-9.4725224558,-2.4213161121
0,i_0,1,2,'BL',89.8036448101,-0.9102676059,-88.4290789184,-0.8086448187
0,i_9,6,13,'BL',27.0839290494,8.9005793930,-26.6395981183,-8.0255530832
0,i_16,4,7,'BL',-8.3476338303,5.6812490847,8.3476338303,-5.4888307717
0,i_11,9,10,'BL',-7.6687281027,4.5633525263,7.6917730542,-4.5021359781
0,i_17,4,9,'BL',23.1458539194,4.0166773388,-23.1458539194,-1.2974829133
0,i_7,6,11,'BL',23.5509663653,6.9400783470,-23.0777833021,-5.9491738274
0,i_5,3,4,'BL',-15.8771802595,3.0053872186,16.0466375562,-3.9234077981
0,i_4,2,5,'BL',26.2627829114,-0.2313093338,-25.9052479602,-2.4356665486
0,i_12,9,14,'BL',-0.5606533210,2.5636731138,0.5686169326,-2.5467334451
0,i_1,1,5,'BL',45.1691849805,3.7047125731,-44.1801351806,-5.0513991664
0,i_2,2,3,'BL',46.2478194626,1.9879244288,-45.3284631109,-2.8307025217
0,i_10,7,8,'BL',-8.3476338303,5.4888307717,8.3476338303,-5.3267492595
1,i_3,2,4,'BL',34.5211819952,0.2061399308,-33.8911333479,-1.9707071366
1,i_15,13,14,'BL',13.5452340207,2.1107087946,-13.2622966643,-1.5346375446
1,i_13,10,11,'BL',-19.3990298707,-3.1600186511,19.6892517904,3.8393961542
1,i_6,4,5,'BL',-35.5879855442,-0.1186499761,35.7475855987,0.6220775639
1,i_14,12,13,'BL',-4.9591487327,-2.0531797516,5.0167465747,2.1052920849
1,i_18,5,6,'BL',28.0533475082,4.9880276817,-28.0533475082,-3.3258380916
1,i_0,1,2,'BL',89.8162366138,-0.9137447326,-88.4412879129,-0.8039989191
1,i_9,6,13,'BL',35.6603613815,11.5039116411,-34.8928019620,-9.9923475356
1,i_16,4,7,'BL',-8.3543593024,5.6156619509,8.3543593024,-5.4243440322
1,i_11,9,10,'BL',-8.4261924472,4.4388932211,8.4525610178,-4.3688478196
1,i_17,4,9,'BL',23.5781008503,4.4803082871,-23.5781008503,-1.6409150849
1,i_7,6,11,'BL',24.3687953031,7.1985940106,-23.8619805000,-6.1372604212
1,i_5,3,4,'BL',-15.7810038166,3.1046718867,15.9489907563,-4.0261406829
1,i_4,2,5,'BL',26.2655976928,-0.1615526198,-25.9078631038,-2.5043905377
1,i_12,9,14,'BL',0.6290579543,2.9366486886,-0.6185803485,-2.9143614172
1,i_1,1,5,'BL',45.1678022970,3.7605116525,-44.1784656589,-5.1054123939
1,i_2,2,3,'BL',46.2330110965,1.9901598996,-45.3142297204,-2.8353603789
1,i_10,7,8,'BL',-8.3543593024,5.4243440322,8.3543593024,-5.2631894254
--end of line flow
