--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',1.6672690372
1,l_16,3,'1 ',18.9008479003
1,l_15,2,'1 ',20.0370320472
1,l_18,8,'1 ',1.4301602868
1,l_17,6,'1 ',-1.2887127544
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,13,1.0756672417,-4.2769620990
0,7,1.0978151639,-5.3633156139
0,4,1.0711613538,-5.7039898252
0,12,1.0850501937,-3.9193333813
0,14,1.0443869882,-7.6254825413
0,10,1.0538827837,-7.7134159375
0,2,1.0927729417,-3.6025073070
0,5,1.0738277263,-4.6886790726
0,1,1.0999999726,-2.4098425866
0,8,1.1000000000,-5.0775901549
0,6,1.1000000000,-2.9285941876
0,9,1.0552560219,-8.5782297457
0,11,1.0712602242,-5.3965110357
0,3,1.0727727183,-7.2319325279
1,13,1.0685510101,2.1044556602
1,7,1.0977234752,1.4322982385
1,4,1.0709653510,1.0909717161
1,12,1.0556755227,1.7788691369
1,14,1.0401894767,-1.0983756799
1,10,1.0521204894,-1.0155358008
1,2,1.0927729417,3.1956828217
1,5,1.0737276192,2.1118110699
1,1,1.0999999726,4.3888400257
1,8,1.1000000000,1.7185184096
1,6,1.1000000000,3.9077345995
1,9,1.0532290935,-1.9129969025
1,11,1.0702718357,1.3731145163
1,3,1.0727727183,-0.4329579651
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0018777290
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_0,1,2,'BL',42.2925762609,-3.1709945088,-42.0060946639,-2.3012978719
0,i_8,6,12,'BL',9.0910517807,2.1302546748,-9.0024903434,-1.9459336165
0,i_16,4,7,'BL',-3.4187218178,-1.3296594846,3.4187218178,1.3531162491
0,i_15,13,14,'BL',19.2340439523,0.7724794887,-18.6866455003,0.3420446397
0,i_12,9,14,'BL',-3.8958908794,6.1299085219,3.9561076316,-6.0018194221
0,i_2,2,3,'BL',38.2337350356,0.5372472725,-37.6545977761,-3.2328649463
0,i_1,1,5,'BL',22.9402679396,4.7928599147,-22.6783249550,-9.5247796828
0,i_17,4,9,'BL',10.5169983840,10.2360587497,-10.5169983840,-9.2557409742
0,i_10,7,8,'BL',-3.4187218178,-1.3531162491,3.4187218178,1.3728748043
0,i_11,9,10,'BL',-16.7839220615,8.1831533485,16.8835211002,-7.9185787253
0,i_3,2,4,'BL',26.0733026714,3.2175650822,-25.7290889046,-6.1537529361
0,i_6,4,5,'BL',-45.8113571389,8.1697790989,46.0633073731,-7.3750506823
0,i_13,10,11,'BL',-23.3664646676,0.9274379235,23.7704481614,0.0182428767
0,i_4,2,5,'BL',15.1111197723,5.0124950728,-14.9783252612,-8.6678037951
0,i_14,12,13,'BL',4.1803114565,0.4845736797,-4.1470799972,-0.4545071212
0,i_5,3,4,'BL',-15.1066548827,6.4318974332,15.2694560176,-7.4872450690
0,i_9,6,13,'BL',25.3880438937,7.9062529674,-25.0014974003,-7.1450222540
0,i_18,5,6,'BL',-15.4461074258,24.0907466490,15.4461074258,-22.5360236246
0,i_7,6,11,'BL',27.1681055677,3.4703107691,-26.5792695840,-2.2372145684
1,i_0,1,2,'BL',42.3084504652,-3.1758302670,-42.0217538028,-2.2958054876
1,i_16,4,7,'BL',-3.4243550048,-1.3863109542,3.4243550048,1.4101118534
1,i_15,13,14,'BL',18.0191126538,0.3568262973,-17.5328567939,0.6332091813
1,i_12,9,14,'BL',-2.7465703882,6.4115685712,2.8023189252,-6.2929839637
1,i_2,2,3,'BL',38.2259602912,0.5385795229,-37.6470536440,-3.2351687721
1,i_1,1,5,'BL',22.9337823803,4.8430993042,-22.6716225296,-9.5735949675
1,i_17,4,9,'BL',10.9681377855,10.6205682818,-10.9681377855,-9.5592445773
1,i_10,7,8,'BL',-3.4243550048,-1.4101118534,3.4243550048,1.4301602868
1,i_11,9,10,'BL',-17.4821031512,8.1237956834,17.5886687521,-7.8407151027
1,i_3,2,4,'BL',26.1394956551,3.3185167050,-25.7930795262,-6.2473082848
1,i_6,4,5,'BL',-46.1071909576,8.0254834592,46.3621264759,-7.2213385397
1,i_13,10,11,'BL',-24.0716123195,0.8495743009,24.5016421934,0.1570782022
1,i_4,2,5,'BL',15.1040375229,5.0772041619,-14.9709061880,-8.7311125671
1,i_14,12,13,'BL',-4.8221788868,-1.4613599368,4.8725080164,1.5068958160
1,i_5,3,4,'BL',-15.0217208620,6.5202647240,15.1837742434,-7.5772521431
1,i_9,6,13,'BL',33.4734313739,10.0048492252,-32.8061541154,-8.6907719998
1,i_18,5,6,'BL',-15.7590480274,24.0491585630,15.7590480274,-22.4794046631
1,i_7,6,11,'BL',27.9335912650,3.6809571309,-27.3104636161,-2.3760498939
--end of line flow
