--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_15,2,'1 ',13.5648366315
1,l_18,8,'1 ',2.8602001321
1,l_17,6,'1 ',-3.2599469771
1,l_14,1,'1 ',0.7202314194
1,l_16,3,'1 ',22.1984744915
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,11,1.0740020554,207.0433191110
0,12,1.0837671686,208.5763480601
0,14,1.0524119390,204.9760116664
0,6,1.1000000000,209.7805057909
0,3,1.0669766093,207.0847439063
0,13,1.0781243847,208.2521892984
0,8,1.1000000000,209.8298931403
0,7,1.0955938823,209.1934850672
0,1,1.0924423051,211.6786230568
0,2,1.0880679648,210.9738882372
0,5,1.0683352771,209.3130405615
0,9,1.0629619275,203.9802798454
0,4,1.0665482098,208.4313998682
0,10,1.0593842226,204.6716899743
1,11,1.0729078580,5.4468022927
1,12,1.0505528541,5.6278343654
1,14,1.0478174860,3.0884091369
1,6,1.1000000000,8.2645290561
1,3,1.0669766093,5.5323444831
1,13,1.0702546473,6.1815500350
1,8,1.1000000000,8.2722181094
1,7,1.0954875274,7.6350053311
1,1,1.0924423051,10.1242150103
1,2,1.0880679648,9.4190936838
1,5,1.0682188750,7.7595878660
1,9,1.0607569047,2.2605346664
1,4,1.0663211694,6.8717940197
1,10,1.0574568617,2.9897431314
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0029565640
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_17,4,9,'BL',16.3255866553,8.0966023550,-16.3255866553,-6.5720430175
0,i_4,2,5,'BL',21.2342066360,3.6258717218,-21.0018227514,-6.9390078217
0,i_1,1,5,'BL',23.2047176984,3.6964344638,-22.9410277419,-8.3514373378
0,i_2,2,3,'BL',40.5617325039,0.7220975099,-39.9043513671,-3.0384398204
0,i_14,12,13,'BL',3.0154878733,-0.2639842759,-2.9982535650,0.2795772215
0,i_0,1,2,'BL',24.7484880960,-3.0283455442,-24.6490243743,-2.9441073424
0,i_8,6,12,'BL',10.7216599345,1.9316656772,-10.6011011480,-1.6807492082
0,i_12,9,14,'BL',-4.2675744962,6.2163171363,4.3315349249,-6.0802647353
0,i_5,3,4,'BL',-13.4029418839,4.9737378818,13.5278193726,-6.1116294330
0,i_7,6,11,'BL',28.9522251184,1.2301598832,-28.2930602819,0.1502137320
0,i_3,2,4,'BL',30.4762843221,1.8709819220,-30.0129883943,-4.4116372515
0,i_10,7,8,'BL',-7.5991278917,-2.6982534880,7.5991278917,2.7936822486
0,i_18,5,6,'BL',-4.0819830530,21.0676811401,4.0819830530,-20.1844171076
0,i_11,9,10,'BL',-12.5691605352,9.3292358962,12.6381411433,-9.1459959910
0,i_13,10,11,'BL',-23.4595360379,2.4664039579,23.8663393184,-1.5141223479
0,i_16,4,7,'BL',-7.5991278917,-2.5849633238,7.5991278917,2.6982534880
0,i_9,6,13,'BL',26.8908241767,5.1406884546,-26.4810532986,-4.3337216778
0,i_6,4,5,'BL',-39.0438641048,8.1720609821,39.2306081084,-7.5830130428
0,i_15,13,14,'BL',18.3736323687,-0.5259660599,-17.8767811732,1.5375740458
1,i_17,4,9,'BL',16.8730163303,8.5298234334,-16.8730163303,-6.8880616554
1,i_4,2,5,'BL',21.2395700115,3.6964704700,-21.0066887588,-7.0076577534
1,i_1,1,5,'BL',23.2072135356,3.7524346052,-22.9431334225,-8.4052150824
1,i_2,2,3,'BL',40.5382056544,0.7260196275,-39.8815715079,-3.0455090260
1,i_14,12,13,'BL',-7.5856132746,-1.9447334841,7.7083646242,2.0557942289
1,i_0,1,2,'BL',24.7607750789,-3.0322031858,-24.6612127237,-2.9399485578
1,i_12,9,14,'BL',-2.8934097300,6.4795527954,2.9502953987,-6.3585493565
1,i_5,3,4,'BL',-13.2801109644,5.0652521449,13.4036785312,-6.2061770986
1,i_7,6,11,'BL',29.8578576410,1.4425598705,-29.1564400416,0.0262963153
1,i_3,2,4,'BL',30.5628108620,1.9848871279,-30.0964819433,-4.5155163982
1,i_10,7,8,'BL',-7.6079975838,-2.7640275137,7.6079975838,2.8602001321
1,i_18,5,6,'BL',-4.4087407167,21.0113615720,4.4087407167,-20.1271289595
1,i_11,9,10,'BL',-13.3958956264,9.2930447543,13.4710413714,-9.0934277958
1,i_13,10,11,'BL',-24.2924362660,2.4138357627,24.7297190781,-1.3902049312
1,i_16,4,7,'BL',-7.6079975838,-2.6498542637,7.6079975838,2.7640275137
1,i_9,6,13,'BL',36.4946607812,7.1824478084,-35.7383378603,-5.6930118763
1,i_6,4,5,'BL',-39.3747896972,8.0021576559,39.5643374602,-7.4042657984
1,i_15,13,14,'BL',16.9242987412,-0.9428928689,-16.4955416471,1.8158586671
--end of line flow
